Column1,Column2,Column3,Column4,Column5,Column6
109,111,30713,6153,25571,31724
111,114,34851,9866,28698,38565
114,114,39577,12981,29711,42691
114,116,22851,8865,9871,18735
116,114,24875,10073,16011,26083
114,105,21549,5141,11476,16617
105,122,31131,11362,25990,37352
44,32,25414,7013,19370,26383
116,101,14397,7555,8363,15918
101,99,13297,5954,5741,11695
99,110,32118,5236,26164,31399
111,108,21121,8862,15707,24569
108,111,25487,5031,16626,21656
111,103,11878,9464,6848,16312
103,105,16120,5432,6656,12088
105,97,31113,7466,25681,33147
97,115,29803,13999,22336,36335
32,114,19339,6745,4633,11379
101,110,7954,1557,21355,22912
101,110,7954,7041,21355,5485
111,118,42920,6425,24697,31121
118,97,20430,10464,14005,24469
97,98,15699,5741,5234,10975
98,108,27998,6448,22257,28705
108,101,18461,9235,12012,21247
101,115,30925,11058,21691,32749
115,44,54186,6803,43128,49932
44,32,23130,7744,16327,24071
32,101,31913,8456,24169,32625
101,110,12377,5151,3922,9073
110,116,26786,6144,21635,27780
116,114,18330,6962,12186,19148
114,101,12206,7343,5244,12587
101,32,16197,6550,8854,15404
32,111,28807,1925,22257,24182
116,114,21249,6043,14701,20744
114,97,8356,8969,2314,11282
97,115,21552,9671,12584,22255
44,32,23948,7444,16724,24167
32,116,30012,5631,22568,28200
116,97,16812,12780,11180,23960
97,109,20431,4839,7652,12490
98,105,15611,9660,10376,20036
105,101,11518,7331,1858,9189
101,110,17083,4829,9751,14580
110,32,19760,6423,14932,21354
32,99,35621,5136,29199,34334
99,114,19341,6043,14205,20249
114,101,9869,8703,3826,12529
101,111,29507,5139,20804,25943
111,32,23683,8131,18544,26675
113,117,7955,3927,14505,18431
113,117,7955,6547,14505,2620
117,32,28927,5417,22380,27797
32,32,18349,2621,2114,4734
32,101,8292,12253,5671,17925
101,32,27970,5735,15717,21452
32,32,16209,12995,10980,23975
117,101,9453,11293,3419,14712
101,32,17838,6147,6545,12691
32,109,21243,6750,15097,21846
109,105,20942,5848,14192,20040
105,32,21250,7355,15403,22757
32,112,24270,5347,16916,22263
112,101,8459,9269,3112,12381
101,114,26590,12418,17321,29739
102,105,22359,5335,11073,16408
32,101,13293,9462,7119,16580
101,110,10150,5347,689,6035
110,99,33853,6138,28506,34644
99,97,18524,12893,12385,25279
97,106,31928,6748,19035,25782
106,97,19330,12089,12582,24671
97,32,15630,6125,3542,9666
32,109,20432,8352,14307,22659
109,117,25571,6854,17219,24072
117,121,17819,7866,10966,18832
121,32,26826,6720,18960,25680
32,98,19318,5829,12598,18427
98,105,23283,7346,17454,24800
105,101,17901,8853,10556,19408
101,110,15606,6243,6753,12996
110,32,20652,6738,14409,21147
101,110,13301,4745,4524,9269
110,32,18944,6844,14199,21043
32,101,55688,6544,48844,55388
101,115,20935,7156,14391,21547
115,116,14906,5349,7750,13098
116,117,24792,6435,19443,25878
117,100,12477,8562,6043,14605
100,105,10468,6447,1906,8353
105,97,20741,12496,14294,26790
97,114,17526,6145,5030,11175
114,32,25828,7107,19683,26790
32,105,27756,3924,20648,24572
105,105,53280,4833,49356,54189
105,110,24470,7151,19638,26788
110,103,24470,6135,17319,23454
103,101,12182,7854,6047,13901
101,110,17009,7071,9154,16225
110,105,21662,6750,14591,21341
105,101,20742,12912,13992,26904
101,114,26591,8261,13679,21940
114,105,21755,2242,13494,15736
105,105,35538,14920,33297,48216
105,97,27618,10260,12698,22958
97,32,28281,5743,18021,23764
121,97,11620,11484,5432,16916
97,32,18934,7657,7450,15107
32,113,9058,14311,1401,15712
113,117,19744,5039,5432,10472
117,101,20343,12914,15304,28218
101,32,37467,6756,24553,31309
115,111,22148,6453,8660,15113
111,121,30915,4839,24462,29301
121,32,24681,7362,19841,27203
32,117,22517,5000,15155,20155
117,110,21504,6229,16505,22733
110,97,19245,10169,13016,23186
97,32,12262,6343,2092,8435
32,101,36654,9468,30312,39779
101,101,43608,15508,34141,49649
101,112,59223,6647,43714,50361
112,101,10670,8763,4023,12786
101,114,17823,8761,9060,17821
114,115,27792,7858,19032,26889
115,111,17319,9873,9461,19334
111,110,34248,5942,24375,30318
97,32,5030,4231,25778,30009
97,32,5030,6759,25778,2528
32,109,24368,7050,17609,24659
109,117,25774,4747,18724,23471
117,121,24889,5135,20142,25277
121,32,26588,6540,21454,27993
116,111,30517,7155,24475,31630
111,100,18825,8366,11670,20036
100,105,9166,5844,800,6644
105,100,35052,4633,29208,33840
97,99,10657,4531,18930,23461
97,99,10657,5438,18930,907
99,116,20265,6123,14827,20950
116,97,13577,12988,7454,20443
44,32,31419,5640,25675,31315
97,117,28802,4734,14496,19231
117,116,27100,5124,22366,27491
116,105,31215,6335,26091,32426
100,105,23861,5943,12082,18025
105,115,21052,9774,15109,24882
115,99,23260,13299,13486,26785
99,105,26397,4931,13098,18029
112,108,22591,6952,17100,24051
108,105,21046,6147,14094,20241
105,110,25781,6550,19635,26185
110,97,14199,13810,7649,21459
97,100,18834,4842,5024,9866
100,97,12688,12290,7846,20136
97,44,55888,6545,43599,50144
44,32,26205,5925,19660,25585
112,101,12284,9270,5619,14889
101,114,18751,7541,9480,17021
114,115,22854,9566,15312,24878
115,105,13688,5744,4122,9866
105,115,8361,9869,2617,12486
115,116,19844,5328,9975,15303
116,101,6925,9080,1598,10677
101,110,17740,9078,8661,17739
110,116,24980,5029,15902,20932
116,101,14999,7870,9969,17839
101,44,43709,6155,35839,41994
44,32,23268,5829,17113,22942
32,105,58202,6763,52373,59137
105,110,22962,7153,16199,23352
110,116,25070,5850,17917,23766
116,101,13199,8864,7349,16213
101,108,21451,7762,12587,20349
108,105,22457,5845,14695,20540
105,103,25176,5844,19331,25175
103,101,10671,11183,4827,16009
101,110,15004,6653,3821,10475
110,116,22872,6844,16219,23062
116,101,14904,11597,8061,19657
44,32,26395,5934,18736,24669
97,118,25949,5542,12686,18228
118,101,15205,9671,9664,19335
101,99,11286,6337,1615,7951
99,101,11375,7050,5038,12089
101,115,24065,7960,17014,24974
115,32,16615,7052,8656,15708
