@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1111111'}

@DATA
104,101,16787,15994,2381,18376,1111111
101,114,26419,9604,10424,20028,1111111
114,101,20797,13603,11193,24795,1111111
101,32,18426,11180,4823,16003,1111111
32,105,23180,14399,12000,26399,1111111
105,115,16834,15919,2435,18354,1111111
115,32,17541,12011,1622,13632,1111111
32,110,56022,7993,44012,52005,1111111
119,32,19980,14405,6392,20797,1111111
32,119,23974,13632,9569,23202,1111111
119,97,31235,13589,17603,31192,1111111
97,121,18406,10384,4817,15202,1111111
121,32,21613,11169,11229,22399,1111111
32,116,23970,7997,12800,20797,1111111
116,104,21564,11266,13567,24833,1111111
97,116,10395,6384,16773,23157,1111111
97,116,10395,8784,16773,2399,1111111
116,32,11217,11986,2433,14419,1111111
32,111,35996,7993,24011,32004,1111111
111,110,27154,9632,19161,28794,1111111
110,101,14430,12002,4798,16799,1111111
101,32,15219,11177,3217,14394,1111111
99,97,18418,3977,28833,32810,1111111
97,110,19980,1600,16003,17603,1111111
97,110,19980,8792,16003,7192,1111111
110,32,11997,11981,3204,15185,1111111
32,98,29606,7180,17625,24805,1111111
98,101,15191,10398,8011,18409,1111111
101,32,17602,10388,7204,17592,1111111
32,119,13594,12003,3206,15210,1111111
119,101,23206,11167,11202,22369,1111111
101,108,27209,6388,16043,22430,1111111
108,108,14403,11986,8015,20001,1111111
108,32,23221,12761,11235,23996,1111111
32,116,27990,7136,15229,22365,1111111
116,114,19973,8763,12837,21600,1111111
101,97,15962,3962,20850,24812,1111111
97,116,19187,3214,15225,18439,1111111
97,116,19187,8793,15225,5579,1111111
116,101,13583,12812,4789,17602,1111111
101,100,24027,14386,11214,25600,1111111
115,32,8001,5593,17610,23203,1111111
115,32,8001,11986,17610,6393,1111111
32,105,24799,8798,12813,21611,1111111
105,115,13597,11989,4799,16787,1111111
115,32,16000,12799,4012,16811,1111111
97,32,15210,4804,20006,24810,1111111
97,32,15210,11960,20006,7156,1111111
32,116,58361,8007,46401,54408,1111111
116,101,11999,11990,3992,15982,1111111
101,115,23999,10416,12009,22425,1111111
115,116,14412,9590,3996,13587,1111111
116,32,15190,11994,5600,17594,1111111
32,111,27996,15197,16002,31199,1111111
111,102,16803,12789,1606,14395,1111111
102,32,15211,14384,2422,16806,1111111
32,104,55987,7990,41603,49593,1111111
104,111,36807,7988,28817,36805,1111111
111,119,15189,11204,7201,18405,1111111
119,32,16826,12820,5622,18441,1111111
116,32,19165,13613,8774,22387,1111111
32,105,30415,9590,16802,26392,1111111
105,115,19157,13634,9567,23201,1111111
115,32,16027,12000,2393,14393,1111111
32,103,35213,13603,23213,36816,1111111
103,111,23155,7996,9552,17548,1111111
111,105,21615,7988,13619,21607,1111111
105,103,24027,15201,16039,31241,1111111
103,110,17592,17618,2391,20008,1111111
110,116,25600,12813,7983,20796,1111111
116,116,40010,7988,28814,36802,1111111
110,103,16820,13608,8045,21653,1111111
32,116,56008,11200,37621,48821,1111111
116,111,21596,10411,10396,20807,1111111
111,32,13564,15246,3153,18399,1111111
32,119,28838,13606,13591,27197,1111111
119,111,19206,8786,5600,14386,1111111
111,114,54391,11980,45605,57585,1111111
114,107,19211,11195,7231,18426,1111111
107,32,19997,13606,8802,22408,1111111
105,102,20802,12823,12016,24839,1111111
102,32,21641,12781,8818,21599,1111111
116,104,19989,14406,11999,26405,1111111
104,101,16787,15994,2381,18376,1111111
101,114,26419,9604,10424,20028,1111111
114,101,20797,13603,11193,24795,1111111
101,32,18426,11180,4823,16003,1111111
32,105,23180,14399,12000,26399,1111111
105,115,16834,15919,2435,18354,1111111
115,32,17541,12011,1622,13632,1111111
32,110,56022,7993,44012,52005,1111111
119,32,19980,14405,6392,20797,1111111
32,119,23974,13632,9569,23202,1111111
119,97,31235,13589,17603,31192,1111111
97,121,18406,10384,4817,15202,1111111
121,32,21613,11169,11229,22399,1111111
32,116,23970,7997,12800,20797,1111111
116,104,21564,11266,13567,24833,1111111
97,116,10395,6384,16773,23157,1111111
97,116,10395,8784,16773,2399,1111111
116,32,11217,11986,2433,14419,1111111
32,111,35996,7993,24011,32004,1111111
111,110,27154,9632,19161,28794,1111111
110,101,14430,12002,4798,16799,1111111
101,32,15219,11177,3217,14394,1111111
99,97,18418,3977,28833,32810,1111111
97,110,19980,1600,16003,17603,1111111
97,110,19980,8792,16003,7192,1111111
110,32,11997,11981,3204,15185,1111111
32,98,29606,7180,17625,24805,1111111
98,101,15191,10398,8011,18409,1111111
101,32,17602,10388,7204,17592,1111111
32,119,13594,12003,3206,15210,1111111
119,101,23206,11167,11202,22369,1111111
101,108,27209,6388,16043,22430,1111111
108,108,14403,11986,8015,20001,1111111
108,32,23221,12761,11235,23996,1111111
32,116,27990,7136,15229,22365,1111111
116,114,19973,8763,12837,21600,1111111
101,97,15962,3962,20850,24812,1111111
97,116,19187,3214,15225,18439,1111111
97,116,19187,8793,15225,5579,1111111
116,101,13583,12812,4789,17602,1111111
101,100,24027,14386,11214,25600,1111111
