@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140197', 'outlier'}

@DATA
32,98,28487,7002,17972,24974,outlier
98,101,11070,6698,4069,10767,1140197
101,101,16366,11528,9668,21196,1140197
101,110,18427,8607,6899,15506,1140197
110,32,14073,8859,5465,14324,1140197
32,119,12455,14143,3596,17739,1140197
119,111,17604,6820,3461,10281,1140197
111,114,18083,11006,11263,22269,1140197
114,107,18649,7178,7643,14821,1140197
107,105,18360,6865,11182,18048,1140197
105,110,23015,8017,16150,24167,1140197
110,103,12298,11151,4281,15432,1140197
103,32,11737,8548,585,9134,1140197
32,111,16713,5535,8164,13699,1140197
111,110,21832,7798,16297,24095,1140197
110,32,11858,11977,4059,16037,1140197
116,104,6169,16026,29837,45863,outlier
116,104,6169,17834,29837,1807,outlier
104,105,34705,8392,16871,25263,1140197
115,32,10831,1276,19557,20832,outlier
115,32,10831,12089,19557,10814,outlier
32,112,43062,7308,30973,38281,outlier
112,114,16753,11115,9445,20560,1140197
114,111,41447,8545,30332,38877,outlier
111,106,42342,6848,33797,40645,outlier
106,101,13705,10756,6857,17613,1140197
101,99,27573,12069,16817,28886,1140197
99,116,14202,7819,2133,9952,1140197
116,32,19929,8956,12110,21066,1140197
102,111,21428,6802,10832,17634,1140197
111,114,13293,11658,6491,18149,1140197
114,32,15721,9766,4063,13829,1140197
32,109,18022,9976,8256,18233,1140197
109,111,26822,6559,16846,23404,1140197
114,101,10648,3277,20935,24212,outlier
101,32,8888,7356,5611,12967,1140197
101,32,8888,10059,5611,2703,1140197
32,116,24731,5403,14672,20075,1140197
116,104,20074,8464,14671,23135,1140197
97,116,8534,5766,15780,21545,1140197
97,116,8534,8488,15780,2722,1140197
110,32,13622,11062,5659,16721,1140197
97,32,10183,9274,17200,26474,1140197
97,32,10183,9415,17200,142,1140197
32,121,26689,6322,17273,23595,outlier
101,97,12844,2707,16573,19280,1140197
97,114,19812,1177,17105,18282,1140197
97,114,19812,5469,17105,4291,1140197
46,32,11408,10599,3480,14078,1140197
32,73,24581,4308,34430,38738,outlier
32,73,24581,8967,34430,4659,outlier
73,32,18913,10635,9946,20581,1140197
32,104,32228,7027,21593,28620,outlier
104,111,29420,4628,22393,27021,outlier
111,112,28051,7610,23424,31034,outlier
112,101,18854,12177,11244,23421,1140197
101,32,14567,11305,2390,13695,1140197
32,105,30802,6478,19497,25974,outlier
105,116,22087,10862,15609,26471,1140197
116,32,17996,12888,7135,20023,1140197
32,119,51694,13138,38806,51944,outlier
119,111,17708,6007,4570,10577,1140197
111,114,19586,11777,13579,25356,1140197
114,107,24990,6450,13213,19664,1140197
107,115,13076,14917,6626,21543,1140197
115,46,22499,6721,7582,14303,1140197
65,116,22942,7796,7213,15009,1140197
116,32,16980,7102,9184,16286,1140197
32,108,22703,9597,15600,25197,1140197
108,101,14607,15704,5011,20715,1140197
97,115,19075,3903,20305,24207,outlier
115,116,15153,882,11250,12133,1140197
115,116,15153,9062,11250,8180,1140197
116,32,16082,8275,7020,15295,1140197
32,105,51322,7507,43048,50554,outlier
105,116,27410,7173,19903,27076,outlier
116,32,16567,8404,9394,17799,1140197
32,104,21180,6533,12775,19309,1140197
97,115,14943,9454,21196,30651,outlier
115,32,13872,2021,4418,6439,1140197
115,32,13872,11412,4418,9392,1140197
32,115,35804,14599,24391,38991,outlier
115,116,20565,5665,5965,11631,1140197
116,97,10739,16549,5073,21622,1140197
97,114,17886,5013,1337,6350,1140197
114,116,17240,5928,12228,18155,1140197
116,101,8172,8997,2245,11242,1140197
32,100,1833,5931,12726,18657,1140197
32,100,1833,10378,12726,4447,1140197
100,116,18160,7231,7782,15013,1140197
116,111,28476,8137,21246,29383,outlier
111,111,19052,6305,13359,19664,1140197
111,111,19376,1256,13071,14327,1140197
111,111,9398,8171,8142,16313,1140197
111,100,35282,11950,27111,39061,outlier
100,32,35339,9662,23389,33051,outlier
32,116,29509,12230,19847,32077,outlier
116,111,18845,5797,6615,12412,1140197
111,32,10705,10137,4908,15045,1140197
32,99,15357,13810,5220,19030,1140197
99,108,17296,5946,3486,9432,1140197
108,97,14732,12494,8787,21281,1140197
97,115,25413,8102,12919,21021,1140197
115,115,17060,11822,8957,20779,1140197
115,105,19354,7155,7532,14687,1140197
105,102,20612,10017,13457,23474,1140197
102,121,38883,7001,28866,35867,outlier
121,32,14482,9875,7481,17356,1140197
32,109,27081,8035,17206,25241,1140197
109,121,27957,5688,19922,25610,outlier
121,32,11869,9407,6182,15588,1140197
32,115,17300,13227,7893,21120,1140197
115,116,13699,5537,472,6009,1140197
116,121,18155,5321,12618,17939,1140197
121,108,35044,7339,29722,37061,outlier
101,32,11672,142,17406,17547,outlier
101,32,11672,6499,17406,6358,outlier
32,111,16847,6843,10348,17191,1140197
111,102,16288,9768,9444,19213,1140197
102,32,11825,8475,2057,10531,1140197
32,116,25335,5970,16861,22831,1140197
116,121,16956,7445,10985,18430,1140197
121,112,42903,8312,35458,43770,outlier
112,105,25434,6384,17122,23505,1140197
105,110,25601,8636,19217,27853,outlier
103,32,10692,879,15837,16716,1140197
103,32,10692,10341,15837,9462,1140197
32,105,38070,7228,27729,34957,outlier
105,32,16698,11261,9470,20731,1140197
32,104,28267,6543,17006,23549,1140197
104,111,28203,5419,21660,27079,outlier
111,112,19351,9801,13932,23734,1140197
101,32,10533,142,19201,19343,outlier
101,32,10533,9043,19201,8902,outlier
32,105,21207,6888,12164,19052,1140197
105,116,31578,6660,24690,31350,outlier
116,32,15413,9847,8753,18600,1140197
32,115,22360,10469,12513,22982,1140197
115,104,11814,5089,1345,6434,1140197
104,97,19864,16469,14776,31245,1140197
97,108,47702,5464,31233,36697,outlier
108,108,13246,7395,7781,15177,1140197
108,32,18089,10080,10693,20773,1140197
32,98,26314,8270,16234,24504,1140197
98,101,15011,11352,6741,18093,1140197
101,32,16018,10612,4667,15279,1140197
32,97,22818,17252,12206,29458,outlier
97,32,49556,9510,32304,41814,outlier
97,119,32580,7117,16139,23255,1140197
119,97,21046,16372,13930,30301,1140197
97,114,38256,7018,21884,28903,outlier
114,100,20721,12649,13703,26351,1140197
100,32,19593,10262,6944,17207,1140197
32,119,16955,13175,6692,19868,1140197
119,105,18076,7120,4901,12022,1140197
105,110,25059,4714,17938,22652,outlier
110,110,13286,5660,8573,14233,1140197
110,105,21128,5955,15467,21423,1140197
105,110,22622,7872,16666,24539,1140197
110,103,12721,9456,4849,14305,1140197
103,32,17261,7297,7805,15102,1140197
32,116,26536,5553,19239,24792,outlier
116,101,12289,7851,6736,14586,1140197
101,115,22821,7060,14970,22030,1140197
115,116,8219,5823,1159,6982,1140197
116,32,29807,16979,23985,40964,outlier
116,104,20122,9392,14126,23518,1140197
97,116,13505,4085,17141,21226,1140197
97,116,13505,5944,17141,1859,1140197
116,32,15079,8017,9135,17152,1140197
97,99,16309,3471,23681,27152,outlier
97,99,16309,16545,23681,13074,outlier
99,116,21584,6115,5039,11154,1140197
116,121,19885,7044,14201,21245,1140197
121,97,17854,16516,10810,27326,1140197
97,108,25490,7521,8974,16494,1140197
108,108,17426,8492,9905,18397,1140197
108,108,20109,6651,12507,19157,1140197
108,108,17932,5674,11282,16956,1140197
108,108,15567,6378,9893,16271,1140197
108,108,15848,7407,9470,16877,1140197
108,116,46677,6275,39407,45681,outlier
116,117,26318,5339,20044,25382,outlier
117,97,14620,14582,9281,23863,1140197
97,108,20510,5298,5928,11226,1140197
108,108,14166,8683,8868,17550,1140197
108,121,28029,6079,19346,25425,outlier
121,32,13040,9241,6962,16202,1140197
32,119,14454,15817,5214,21031,1140197
119,111,21790,5665,5973,11639,1140197
114,107,13159,7888,2634,10522,1140197
107,32,17065,11769,9177,20946,1140197
32,97,54255,15197,42485,57682,outlier
97,116,18895,6300,3697,9997,1140197
116,32,15839,9545,9539,19084,1140197
32,116,17357,6934,7812,14746,1140197
116,104,18032,10673,11098,21771,1140197
101,32,8199,3033,9929,12963,1140197
101,32,8199,11037,9929,8004,1140197
32,109,17533,13986,6496,20482,1140197
109,111,25532,10068,11546,21614,1140197
109,101,12829,13226,8003,21229,1140197
101,110,14807,6716,1581,8297,1140197
110,116,17859,12630,11143,23773,1140197
116,46,27179,7888,14549,22437,1140197
46,32,14555,10794,6667,17461,1140197
