@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
p,r,17540,9590,8820,18410,1140196
r,o,16850,7940,7260,15200,1140196
o,g,32810,7130,24870,32000,1140196
g,r,20730,7970,13600,21570,1140196
r,a,14460,10340,6490,16830,1140196
a,m,21600,6320,11260,17580,1140196
m,m,12810,8730,6490,15220,1140196
m,i,20790,7140,12060,19200,1140196
i,n,23200,7920,16060,23980,1140196
n,g,15600,8330,7680,16010,1140196
g,g,30840,7860,22510,30370,1140196
g,space,15970,10340,8110,18450,1140196
shift,shift,24650,7960,36000,43960,1140196
shift,t,21650,10330,8870,19200,1140196
t,space,12810,13530,2480,16010,1140196
space,i,22360,11170,8830,20000,1140196
i,space,37580,11170,26410,37580,1140196
backspace,s,89640,14300,79280,93580,1140196
s,space,28790,12700,14490,27190,1140196
space,a,15930,15210,3230,18440,1140196
a,l,18490,14280,3280,17560,1140196
l,s,19930,14350,5650,20000,1140196
s,o,15990,9600,1640,11240,1140196
o,space,19250,13540,9650,23190,1140196
space,v,138430,7910,124890,132800,1140196
v,e,11970,10340,4060,14400,1140196
e,r,20830,9510,10490,20000,1140196
r,y,18400,9510,8890,18400,1140196
y,space,12760,9550,3250,12800,1140196
space,i,33620,7930,24070,32000,1140196
i,m,21710,9420,13780,23200,1140196
m,p,27080,8740,17660,26400,1140196
p,o,25610,9510,16870,26380,1140196
o,r,15940,11990,6430,18420,1140196
r,t,31260,7140,19270,26410,1140196
t,a,14390,13540,7250,20790,1140196
a,n,17600,8740,4060,12800,1140196
n,t,27260,7040,18520,25560,1140196
t,space,15900,11970,8860,20830,1140196
space,t,22440,7940,10470,18410,1140196
t,h,17630,14300,9690,23990,1140196
a,t,10400,2340,13680,16020,1140196
t,space,12790,11890,4060,15950,1140196
space,o,64010,8730,52120,60850,1140196
o,n,26390,10340,17660,28000,1140196
n,e,16750,11160,6410,17570,1140196
e,space,16860,11930,5700,17630,1140196
space,s,19140,11200,7210,18410,1140196
s,h,17660,8730,6460,15190,1140196
h,o,31990,7930,23260,31190,1140196
o,w,15200,8710,7270,15980,1140196
w,space,17600,10340,8890,19230,1140196
space,k,36810,8720,26470,35190,1140196
k,n,22390,7930,13670,21600,1140196
n,o,26340,9600,18410,28010,1140196
o,w,16850,11950,7250,19200,1140196
w,space,15200,9520,3250,12770,1140196
space,h,38410,7930,28890,36820,1140196
h,i,24800,8720,16870,25590,1140196
i,s,15170,11170,6450,17620,1140196
s,space,15220,11140,4050,15190,1140196
space,i,26350,8790,15210,24000,1140196
i,n,23260,9540,14470,24010,1140196
n,t,28750,7170,19210,26380,1140196
t,e,13650,10350,6480,16830,1140196
e,r,20830,8700,10480,19180,1140196
r,e,20710,9590,12010,21600,1140196
e,s,21660,11140,12070,23210,1140196
s,t,18530,7820,7390,15210,1140196
t,s,17490,11910,9670,21580,1140196
s,s,43980,7140,32070,39210,1140196
s,space,13600,10350,6460,16810,1140196
shift,shift,23230,7910,159280,167190,1140196
shift,space,16770,15930,4070,20000,1140196
space,c,23140,11970,7210,19180,1140196
c,h,16000,9590,4030,13620,1140196
h,o,30460,9530,20870,30400,1140196
o,s,16800,11930,7270,19200,1140196
s,e,25690,9450,13760,23210,1140196
shift,shift,20790,3140,37660,40800,1140196
shift,o,16000,8740,2460,11200,1140196
o,m,20750,10350,12010,22360,1140196
m,p,25660,7930,15310,23240,1140196
p,t,43210,9520,35280,44800,1140196
t,e,19180,8730,9660,18390,1140196
e,r,19360,10250,10630,20880,1140196
r,space,17430,13540,7180,20720,1140196
space,s,17600,12750,4060,16810,1140196
s,c,32810,8740,20060,28800,1140196
backspace,p,91240,7100,84110,91210,1140196
p,u,26300,7990,19200,27190,1140196
u,t,25680,8720,17690,26410,1140196
t,e,11170,8710,2450,11160,1140196
