@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
a,b,14340,3170,25610,28780,1140196
b,o,28050,8740,19260,28000,1140196
o,u,23200,11150,14460,25610,1140196
u,t,16790,11110,5640,16750,1140196
t,space,14410,11100,3300,14400,1140196
space,o,24000,7140,12900,20040,1140196
o,u,23210,10330,16070,26400,1140196
u,r,19980,11150,9650,20800,1140196
r,s,33550,11970,22400,34370,1140196
s,e,24060,9520,12090,21610,1140196
e,l,15200,11940,5680,17620,1140196
l,v,60810,9490,48870,58360,1140196
v,e,14370,8760,4880,13640,1140196
e,s,20820,12740,12060,24800,1140196
space,i,22400,8720,11260,19980,1140196
i,t,17620,10320,8900,19220,1140196
t,space,15970,12750,5650,18400,1140196
space,i,25610,10330,12860,23190,1140196
i,s,16000,11960,5670,17630,1140196
s,space,14390,11940,2430,14370,1140196
space,a,24750,16790,12810,29600,1140196
a,c,32060,11160,15270,26430,1140196
c,t,29600,7140,18440,25580,1140196
t,u,23990,9530,16850,26380,1140196
u,a,17590,12730,8060,20790,1140196
a,l,17560,8000,4830,12830,1140196
l,l,15250,10340,7250,17590,1140196
l,y,19990,11160,9650,20810,1140196
y,space,15210,11150,4050,15200,1140196
a,b,12740,3950,22410,26360,1140196
b,o,28860,8730,20080,28810,1140196
o,u,23980,10350,15250,25600,1140196
u,t,12790,11190,2440,13630,1140196
t,space,16010,11110,4820,15930,1140196
space,h,39210,9500,28100,37600,1140196
h,e,12730,12050,3230,15280,1140196
e,l,21670,8740,9620,18360,1140196
l,p,22400,9560,13660,23220,1140196
p,i,22390,8740,12830,21570,1140196
i,n,23200,11110,14460,25570,1140196
n,g,13550,8800,2440,11240,1140196
g,space,12850,11950,4050,16000,1140196
space,s,15190,13550,3240,16790,1140196
s,o,15220,7920,1670,9590,1140196
m,e,10410,1530,21680,23210,1140196
e,o,18380,8750,6380,15130,1140196
o,n,23220,9530,14470,24000,1140196
n,e,12000,11930,2470,14400,1140196
e,e,21600,8690,9670,18360,1140196
e,space,12740,11980,4050,16030,1140196
shift,shift,30440,7880,37700,45580,1140196
shift,t,14360,10330,2460,12790,1140196
t,space,12090,11860,1760,13620,1140196
space,i,19870,10370,8010,18380,1140196
s,space,7970,4760,14440,19200,1140196
space,v,20840,8750,10460,19210,1140196
v,e,11190,9510,2440,11950,1140196
e,r,18430,9520,8920,18440,1140196
r,y,12790,8690,3270,11960,1140196
y,space,13530,12790,4840,17630,1140196
space,i,21650,8750,8860,17610,1140196
i,m,19210,10340,10460,20800,1140196
m,p,24800,8710,14460,23170,1140196
p,o,16800,10320,8090,18410,1140196
o,r,11920,8780,1600,10380,1140196
r,t,17690,9530,8910,18440,1140196
a,n,12010,2340,16860,19200,1140196
n,t,24790,9550,13650,23200,1140196
t,space,15200,14340,5650,19990,1140196
space,t,26360,7990,12020,20010,1140196
t,h,16040,11950,8050,20000,1140196
a,t,8810,7140,11260,18400,1140196
t,space,14390,13560,5670,19230,1140196
space,w,22400,13510,8840,22350,1140196
w,e,23150,11200,9640,20840,1140196
e,space,17660,11140,6460,17600,1140196
c,a,14410,7140,19260,26400,1140196
a,n,23980,11160,3250,14410,1140196
n,space,18360,11950,7200,19150,1140196
space,h,36080,9520,24130,33650,1140196
backspace,d,367180,11170,357630,368800,1140196
d,o,15220,9540,4050,13590,1140196
o,space,18350,13600,8810,22410,1140196
space,s,19260,14330,5660,19990,1140196
s,o,15980,7150,1650,8800,1140196
o,o,43230,7920,36080,44000,1140196
o,enter,23950,13600,16030,29630,1140196
enter,enter,107990,8760,94390,103150,1140196
shift,shift,28870,7130,73680,80810,1140196
shift,space,20010,13510,8080,21590,1140196
space,a,47140,15970,33630,49600,1140196
a,m,18450,9540,2480,12020,1140196
m,space,18420,11120,8880,20000,1140196
space,p,27170,13550,16050,29600,1140196
p,r,24000,10340,10450,20790,1140196
r,o,14350,7980,4010,11990,1140196
o,g,32880,7930,24900,32830,1140196
g,r,22380,7940,14450,22390,1140196
r,a,15990,11960,8050,20010,1140196
a,m,20000,7110,8040,15150,1140196
m,m,14370,8800,7260,16060,1140196
m,i,21640,7150,12840,19990,1140196
i,n,22390,9550,15240,24790,1140196
n,g,12010,10340,2460,12800,1140196
g,space,12810,7910,2470,10380,1140196
space,t,23980,8730,16070,24800,1140196
t,h,17570,12780,8840,21620,1140196
h,e,15230,13560,2450,16010,1140196
e,s,26410,11140,12850,23990,1140196
s,e,20000,11130,8860,19990,1140196
e,space,19140,11980,8010,19990,1140196
d,a,11210,6330,12890,19220,1140196
a,y,19150,2360,12820,15180,1140196
y,s,30390,13580,22430,36010,1140196
space,t,26420,7950,16840,24790,1140196
t,h,17650,11920,9700,21620,1140196
h,e,13580,8750,1660,10410,1140196
e,space,16010,7920,7260,15180,1140196
space,s,11180,12720,3260,15980,1140196
s,o,15180,7220,2460,9680,1140196
o,f,36040,9530,28820,38350,1140196
f,t,20790,7150,11260,18410,1140196
t,w,17600,7930,10450,18380,1140196
w,a,19960,11160,12030,23190,1140196
a,r,15240,7140,4080,11220,1140196
r,e,13590,10390,6450,16840,1140196
e,space,12810,8750,2420,11170,1140196
space,t,18500,7050,9750,16800,1140196
t,h,15900,11940,8850,20790,1140196
a,t,10410,3980,13620,17600,1140196
t,space,13580,9600,5600,15200,1140196
shift,shift,23190,7910,63250,71160,1140196
shift,space,16760,12790,5620,18410,1140196
a,m,8840,4750,16860,21610,1140196
m,space,17600,8750,7260,16010,1140196
space,m,16800,11940,8050,19990,1140196
m,a,16050,15880,4110,19990,1140196
a,k,18340,7960,2460,10420,1140196
k,i,29590,8760,21630,30390,1140196
i,n,24000,9570,15240,24810,1140196
n,g,15220,11940,5650,17590,1140196
g,space,19940,12790,8000,20790,1140196
space,i,84060,7940,71270,79210,1140196
i,s,14340,11980,6400,18380,1140196
s,space,13660,11940,1680,13620,1140196
a,c,17610,3950,24860,28810,1140196
c,t,22390,7950,9670,17620,1140196
t,u,22410,8700,14460,23160,1140196
u,a,13560,12780,4860,17640,1140196
a,l,17620,7150,4840,11990,1140196
l,l,12810,11180,5660,16840,1140196
l,y,16820,10300,5640,15940,1140196
y,space,15180,11150,4880,16030,1140196
a,b,12750,3960,16800,20760,1140196
b,o,27260,7140,19290,26430,1140196
o,u,23190,7950,16050,24000,1140196
u,t,12000,11120,4050,15170,1140196
t,space,13550,9600,2430,12030,1140196
space,t,20860,7100,11260,18360,1140196
t,h,16770,14370,9670,24040,1140196
h,e,16020,10350,1650,12000,1140196
e,space,12800,9550,2450,12000,1140196
space,s,637640,13520,628090,641610,1140196
s,o,17550,8740,4030,12770,1140196
backspace,g,76810,9540,68860,78400,1140196
g,o,18400,7940,8860,16800,1140196
backspace,i,31200,8720,21660,30380,1140196
i,v,31200,11140,22480,33620,1140196
v,i,19310,7780,8170,15950,1140196
n,g,9560,1560,24070,25630,1140196
g,space,14450,11130,4080,15210,1140196
space,b,18330,11210,7200,18410,1140196
b,i,21670,7930,10460,18390,1140196
i,o,17530,11170,9600,20770,1140196
o,s,20060,12740,8890,21630,1140196
s,e,24790,7950,12050,20000,1140196
e,c,24770,11970,16820,28790,1140196
c,u,20830,7930,8860,16790,1140196
u,r,15960,10390,8030,18420,1140196
i,o,2410,3160,15260,18420,1140196
o,t,17630,8710,12090,20800,1140196
t,y,17560,7930,8850,16780,1140196
y,space,17590,14340,9660,24000,1140196
backspace,r,87970,11930,77640,89570,1140196
r,i,18450,7920,6520,14440,1140196
i,t,34380,8750,26460,35210,1140196
t,y,14400,8750,5650,14400,1140196
y,space,15210,12740,6460,19200,1140196
space,t,18460,8640,5720,14360,1140196
t,h,13490,8780,4850,13630,1140196
h,r,14430,11160,5650,16810,1140196
r,o,23200,8760,12040,20800,1140196
o,u,24010,9550,15250,24800,1140196
u,g,24860,10250,15310,25560,1140196
g,h,15080,8810,4830,13640,1140196
h,space,16850,10350,8040,18390,1140196
space,t,28020,7130,17670,24800,1140196
t,y,16790,9550,9660,19210,1140196
y,p,35150,7960,25600,33560,1140196
p,i,24840,7950,16880,24830,1140196
i,n,24830,10320,16880,27200,1140196
n,g,12770,10350,2450,12800,1140196
g,space,15210,9540,4860,14400,1140196
space,p,34400,8710,24860,33570,1140196
p,a,17620,13520,8910,22430,1140196
a,t,19180,7940,5660,13600,1140196
t,t,15200,8740,7260,16000,1140196
t,e,11990,10360,3250,13610,1140196
e,r,21610,10350,11250,21600,1140196
r,n,57630,8710,47280,55990,1140196
n,s,13570,11950,4860,16810,1140196
space,i,428050,8720,417680,426400,1140196
i,t,11970,11140,3250,14390,1140196
t,space,13600,11110,2460,13570,1140196
space,i,19200,10340,8090,18430,1140196
s,space,14460,1540,19270,20810,1140196
a,l,9610,5540,16060,21600,1140196
l,s,25590,14320,13670,27990,1140196
s,o,16750,8800,2430,11230,1140196
o,space,19230,11950,10430,22380,1140196
space,o,72030,7930,60080,68010,1140196
o,n,23140,11190,15210,26400,1140196
n,e,13660,11140,2470,13610,1140196
e,space,13580,10350,2440,12790,1140196
space,o,20030,8820,9680,18500,1140196
o,n,26400,10330,17580,27910,1140196
n,e,16010,9470,5680,15150,1140196
e,space,22340,9600,12870,22470,1140196
space,t,85620,11110,76020,87130,1140196
t,h,24010,14350,12900,27250,1140196
backspace,t,80800,7140,69670,76810,1140196
t,h,20800,11140,13660,24800,1140196
h,e,19990,13530,8850,22380,1140196
e,space,23960,11960,10430,22390,1140196
space,n,42450,7140,30490,37630,1140196
backspace,b,15950,8790,7220,16010,1140196
backspace,i,64020,7080,60060,67140,1140196
i,n,20740,9590,13660,23250,1140196
n,t,28840,4740,19250,23990,1140196
t,e,12740,7200,8000,15200,1140196
e,n,18460,7140,11260,18400,1140196
n,s,16800,11900,9660,21560,1140196
s,e,22360,10380,10460,20840,1140196
e,space,16830,11140,6450,17590,1140196
space,p,52810,7940,41670,49610,1140196
p,r,16780,11140,8840,19980,1140196
r,o,16790,8770,5650,14420,1140196
o,j,40820,7950,32050,40000,1140196
j,e,13630,10310,5680,15990,1140196
e,c,29520,10370,19210,29580,1140196
c,t,16060,7110,5690,12800,1140196
t,s,14400,11140,7290,18430,1140196
s,space,13590,10350,2450,12800,1140196
space,t,21600,8720,11250,19970,1140196
t,h,17580,11960,8860,20820,1140196
a,t,8020,4770,11210,15980,1140196
t,space,12860,11150,4080,15230,1140196
space,shift,26380,22350,15230,37580,1140196
shift,i,24000,9560,1650,11210,1140196
i,space,11990,13580,2430,16010,1140196
space,h,35230,9540,21650,31190,1140196
a,v,15200,1570,22450,24020,1140196
e,space,12810,1550,16860,18410,1140196
space,e,14340,11970,2410,14380,1140196
e,v,14420,9590,2450,12040,1140196
v,e,12040,10350,2450,12800,1140196
e,r,20000,8740,9650,18390,1140196
r,space,14400,13540,5660,19200,1140196
space,d,15150,12010,1610,13620,1140196
d,o,16050,10350,4040,14390,1140196
n,e,11270,1540,24880,26420,1140196
e,space,13560,7950,1640,9590,1140196
space,i,13610,8740,5660,14400,1140196
i,n,21600,11940,12860,24800,1140196
n,space,15990,13540,4050,17590,1140196
space,m,16800,13540,3260,16800,1140196
m,y,27160,9610,13620,23230,1140196
y,space,15240,13550,5630,19180,1140196
space,l,20000,10350,6450,16800,1140196
l,i,21600,9550,11250,20800,1140196
i,v,30350,8820,20800,29620,1140196
f,e,12830,9530,88820,98350,1140196
e,e,19210,1540,9680,11220,1140196
e,space,17600,11150,8840,19990,1140196
f,e,10390,7120,42450,49570,1140196
e,e,22400,9550,5610,15160,1140196
e,space,12010,11130,2460,13590,1140196
shift,shift,23260,6340,81670,88010,1140196
shift,space,17580,11950,5640,17590,1140196
space,i,21610,9550,9660,19210,1140196
i,s,13600,11950,4050,16000,1140196
backspace,t,134400,7130,124080,131210,1140196
t,space,50410,10340,43280,53620,1140196
space,i,21610,7930,11270,19200,1140196
i,s,13580,11940,5650,17590,1140196
s,space,15200,9510,3260,12770,1140196
space,c,16760,10380,7250,17630,1140196
c,o,12040,6330,1660,7990,1140196
o,m,21600,8750,15270,24020,1140196
m,i,23210,9530,14460,23990,1140196
g,n,7160,2340,16820,19160,1140196
n,space,15220,11160,4060,15220,1140196
space,o,38420,7950,27260,35210,1140196
o,u,30390,8750,22440,31190,1140196
u,t,18350,11170,9600,20770,1140196
t,space,16870,11930,5700,17630,1140196
space,v,56800,7930,44870,52800,1140196
v,e,13590,11940,5660,17600,1140196
e,r,21550,10390,9610,20000,1140196
r,y,13640,9570,3250,12820,1140196
y,space,13610,11140,4040,15180,1140196
space,w,19190,9550,8050,17600,1140196
w,e,18410,11140,8860,20000,1140196
e,l,18390,7150,7250,14400,1140196
l,l,15150,11180,8000,19180,1140196
l,space,18450,13550,7270,20820,1140196
space,s,21600,11950,8050,20000,1140196
s,o,15210,8740,3260,12000,1140196
o,space,13600,10340,4860,15200,1140196
space,f,31940,8790,21600,30390,1140196
f,a,16000,14400,7210,21610,1140196
a,r,16080,7120,1680,8800,1140196
space,del,1523940,11180,1511220,1522400,1140196
del,-,32050,9530,20870,30400,1140196
-,t,358360,9570,348830,358400,1140196
t,h,17580,12790,8010,20800,1140196
h,e,14530,12690,1740,14430,1140196
e,r,21530,8730,8840,17570,1140196
r,e,18380,11160,9650,20810,1140196
e,space,19950,11210,8790,20000,1140196
a,r,15200,2350,20850,23200,1140196
r,e,14400,10340,5670,16010,1140196
e,space,12790,9570,2450,12020,1140196
space,l,23970,8800,14400,23200,1140196
l,o,18370,8800,9570,18370,1140196
o,t,31260,7950,22460,30410,1140196
t,s,16020,11930,8070,20000,1140196
s,space,14390,11150,2460,13610,1140196
space,b,27970,8730,16820,25550,1140196
b,u,36040,7930,27310,35240,1140196
u,g,20790,10330,12860,23190,1140196
space,t,20850,8770,9670,18440,1140196
t,h,18400,11180,9630,20810,1140196
a,t,10400,3120,12840,15960,1140196
t,space,11180,10350,1650,12000,1140196
shift,shift,930,3140,96860,100000,1140196
shift,e,16790,11110,7250,18360,1140196
e,e,19950,11210,8840,20050,1140196
e,d,23260,12730,12050,24780,1140196
d,space,17590,12740,4860,17600,1140196
space,t,15200,11150,2460,13610,1140196
t,o,17600,9510,6450,15960,1140196
o,space,15950,11970,6440,18410,1140196
space,f,77670,10320,65700,76020,1140196
f,i,19920,8780,9600,18380,1140196
i,x,64880,14330,56100,70430,1140196
x,space,25670,8620,11340,19960,1140196
space,b,26320,8740,17700,26440,1140196
b,u,26390,9550,17650,27200,1140196
u,t,13600,10350,4050,14400,1140196
t,space,16000,11140,5650,16790,1140196
space,s,24750,12800,13610,26410,1140196
s,o,17680,7900,4880,12780,1140196
o,f,72770,7900,64870,72770,1140196
a,t,14460,1540,19300,20840,1140196
backspace,s,50420,9500,42470,51970,1140196
s,o,33600,7920,24100,32020,1140196
o,space,14380,11150,6460,17610,1140196
space,f,29620,7930,18470,26400,1140196
f,a,15950,12740,8020,20760,1140196
a,r,15170,5610,2430,8040,1140196
space,i,23090,9670,13520,23190,1140196
i,t,16080,10330,6410,16740,1140196
t,space,12790,10330,2460,12790,1140196
space,i,20000,8750,9670,18420,1140196
i,s,14400,10320,5650,15970,1140196
s,space,11990,10350,1670,12020,1140196
space,c,14400,12720,4050,16770,1140196
c,o,14350,8780,1630,10410,1140196
o,m,54480,3130,45700,48830,1140196
m,i,19170,7950,16040,23990,1140196
i,n,25550,9580,17600,27180,1140196
n,g,12070,9580,2490,12070,1140196
g,space,13580,10350,4000,14350,1140196
space,o,83160,8760,72810,81570,1140196
o,u,25670,9520,16910,26430,1140196
u,t,14370,11140,4850,15990,1140196
t,space,16000,11150,4860,16010,1140196
space,w,19210,11920,8060,19980,1140196
w,e,19950,11980,8030,20010,1140196
e,l,20800,7190,8820,16010,1140196
l,l,14440,9550,7250,16800,1140196
l,l,23210,11140,13660,24800,1140196
l,space,14390,12750,3250,16000,1140196
shift,shift,23950,6420,218400,224820,1140196
shift,space,21660,11140,7270,18410,1140196
space,h,56010,10320,44870,55190,1140196
a,v,10420,3990,15220,19210,1140196
e,space,11260,1540,15280,16820,1140196
space,b,18350,9580,8020,17600,1140196
b,e,12850,7930,3270,11200,1140196
e,e,15190,11140,7260,18400,1140196
e,n,17550,9570,6410,15980,1140196
n,space,12050,10340,2480,12820,1140196
space,t,25690,8650,15350,24000,1140196
t,a,16710,15140,8060,23200,1140196
a,k,24800,8740,9660,18400,1140196
k,i,21550,8770,12810,21580,1140196
i,n,36050,8730,27280,36010,1140196
n,g,11190,10350,2460,12810,1140196
g,space,13610,9500,3260,12760,1140196
space,i,20800,12730,11300,24030,1140196
i,t,15980,11930,3250,15180,1140196
t,space,16820,11940,4890,16830,1140196
space,t,51200,10320,39260,49580,1140196
t,o,15200,9540,4880,14420,1140196
o,space,16000,9510,6460,15970,1140196
a,space,10400,6340,17690,24030,1140196
n,e,10400,1530,19270,20800,1140196
e,x,29560,11170,15230,26400,1140196
x,t,20800,10380,9630,20010,1140196
t,space,24000,9580,13620,23200,1140196
space,l,61600,8740,52020,60760,1140196
l,e,13580,11210,4840,16050,1140196
e,v,21680,7920,10470,18390,1140196
v,e,10380,11170,2460,13630,1140196
e,n,24000,8740,12830,21570,1140196
n,n,64800,8740,56060,64800,1140196
n,space,10390,9550,1650,11200,1140196
backspace,del,2390,3950,120050,124000,1140196
backspace,l,84050,7900,75300,83200,1140196
l,l,36760,9580,28860,38440,1140196
l,space,12830,10350,3250,13600,1140196
shift,shift,36860,9540,225660,235200,1140196
shift,space,19980,15140,7260,22400,1140196
space,e,152770,11980,137630,149610,1140196
e,n,16050,10340,4070,14410,1140196
n,j,22390,8720,12050,20770,1140196
j,o,29600,9520,20880,30400,1140196
o,y,22410,10330,12890,23220,1140196
y,space,13580,12740,3250,15990,1140196
space,d,55990,11960,43250,55210,1140196
d,o,15230,8720,3270,11990,1140196
o,i,19190,8750,10470,19220,1140196
i,n,23160,10370,14410,24780,1140196
n,g,12840,11140,2470,13610,1140196
g,space,19290,10230,8150,18380,1140196
space,t,14290,11160,4060,15220,1140196
t,h,16020,8730,4860,13590,1140196
h,i,23190,7150,14460,21610,1140196
i,n,21610,9510,14460,23970,1140196
n,s,51190,11950,41680,53630,1140196
s,s,19200,8750,7250,16000,1140196
s,space,18400,9550,9650,19200,1140196
shift,shift,22350,7180,30400,37580,1140196
shift,space,16070,15130,4090,19220,1140196
a,m,9610,7130,16060,23190,1140196
m,space,17590,8750,5660,14410,1140196
space,t,21600,9510,12850,22360,1140196
t,r,15960,8800,6450,15250,1140196
r,y,24010,7180,15210,22390,1140196
y,i,36840,7940,29660,37600,1140196
i,n,23990,9510,16050,25560,1140196
n,g,11950,11970,2440,14410,1140196
g,space,13650,11170,1680,12850,1140196
space,t,12800,10350,1630,11980,1140196
t,o,12790,8750,2440,11190,1140196
o,space,13610,14350,4860,19210,1140196
space,i,33600,7130,19250,26380,1140196
i,m,19150,8800,12020,20820,1140196
m,p,24050,7940,15250,23190,1140196
l,e,11170,2360,20060,22420,1140196
e,m,20010,9530,9670,19200,1140196
m,e,11190,10310,1660,11970,1140196
e,n,13540,7970,3230,11200,1140196
n,t,23270,7130,15300,22430,1140196
t,space,14390,13540,7260,20800,1140196
space,t,21600,7950,8060,16010,1140196
h,e,12000,4710,20850,25560,1140196
e,space,7140,2370,2430,4800,1140196
space,n,122470,8700,110480,119180,1140196
n,e,11140,10400,2440,12840,1140196
w,space,10430,1520,21670,23190,1140196
space,p,24780,13500,13650,27150,1140196
p,r,23240,10310,9740,20050,1140196
r,o,18350,8730,8040,16770,1140196
o,c,58410,14310,49680,63990,1140196
c,e,24800,8740,10490,19230,1140196
e,s,24000,8710,15260,23970,1140196
s,s,26390,10350,17680,28030,1140196
s,e,27210,7900,16860,24760,1140196
e,s,19960,12790,12060,24850,1140196
s,s,60050,11930,47260,59190,1140196
s,space,45590,11940,33660,45600,1140196
space,m,899210,9490,887270,896760,1140196
m,e,13580,11950,4090,16040,1140196
e,t,18400,7150,6450,13600,1140196
t,h,19200,11140,12050,23190,1140196
h,e,18400,12700,7260,19960,1140196
e,d,28000,10340,15300,25640,1140196
d,o,21560,8790,11220,20010,1140196
o,l,23240,8740,14450,23190,1140196
l,o,17600,9550,8860,18410,1140196
o,g,52760,11160,43210,54370,1140196
g,i,17640,8750,6480,15230,1140196
i,e,15990,11950,7240,19190,1140196
e,s,24010,13500,12060,25560,1140196
s,space,23160,11980,9660,21640,1140196
space,t,24840,10320,12860,23180,1140196
t,o,16750,8800,6430,15230,1140196
o,space,15250,11940,6450,18390,1140196
space,m,28790,9520,16850,26370,1140196
a,k,13660,2320,17710,20030,1140196
k,e,14370,10350,4040,14390,1140196
e,space,15150,9610,4800,14410,1140196
space,s,15250,11160,5640,16800,1140196
s,u,16810,7940,5650,13590,1140196
r,e,9640,7950,24060,32010,1140196
e,space,15190,3160,7240,10400,1140196
space,t,120810,7140,111250,118390,1140196
t,h,17540,11200,10400,21600,1140196
a,t,8820,3890,11270,15160,1140196
t,space,14350,12780,5660,18440,1140196
space,i,52030,8750,39250,48000,1140196
i,t,12000,9520,3250,12770,1140196
t,space,14390,11140,4870,16010,1140196
h,g,2400,3160,24080,27240,1140196
backspace,g,63970,10340,54450,64790,1140196
g,i,16790,7110,6450,13560,1140196
i,v,29630,8710,22520,31230,1140196
v,e,10370,7940,1660,9600,1140196
e,s,20000,11150,12060,23210,1140196
s,space,12800,7950,1650,9600,1140196
space,t,16800,7950,8850,16800,1140196
t,h,16800,11930,8850,20780,1140196
h,e,14350,8800,2420,11220,1140196
e,space,11240,7960,2440,10400,1140196
space,r,12010,9550,4050,13600,1140196
r,i,14410,9530,4860,14390,1140196
i,g,15190,12750,5660,18410,1140196
g,h,14390,9560,1640,11200,1140196
h,t,12810,9510,3250,12760,1140196
t,space,11940,11180,2430,13610,1140196
space,r,16050,10320,4870,15190,1140196
r,e,21610,11160,11290,22450,1140196
e,s,25620,10320,14460,24780,1140196
s,u,19980,7940,9660,17600,1140196
u,l,29610,8710,21670,30380,1140196
l,t,12790,10340,4080,14420,1140196
t,t,56800,8760,46460,55220,1140196
t,space,14340,11190,5580,16770,1140196
shift,shift,15210,7130,136080,143210,1140196
shift,h,25610,7930,12890,20820,1140196
a,n,19160,1600,26410,28010,1140196
n,k,24040,9540,14480,24020,1140196
k,space,12800,14340,3260,17600,1140196
space,y,17610,11130,3270,14400,1140196
y,o,16000,9530,4870,14400,1140196
o,u,12790,8700,3260,11960,1140196
u,space,15140,9560,6440,16000,1140196
space,v,28060,8740,18500,27240,1140196
v,e,12810,10300,4070,14370,1140196
e,r,21610,8720,11310,20030,1140196
r,y,11240,10290,2520,12810,1140196
y,space,22280,7980,11990,19970,1140196
space,m,31260,10330,23280,33610,1140196
m,u,24790,9520,14460,23980,1140196
c,h,12010,3130,20900,24030,1140196
h,space,18340,11190,9620,20810,1140196
space,f,19240,11140,8050,19190,1140196
f,o,14400,9550,3260,12810,1140196
o,r,15230,10320,5680,16000,1140196
r,space,14320,12000,4000,16000,1140196
space,r,110420,9580,98420,108000,1140196
r,e,20780,12800,11200,24000,1140196
a,d,19210,6340,24060,30400,1140196
d,i,20000,8750,4870,13620,1140196
i,n,23200,11120,14450,25570,1140196
n,g,12740,11190,1620,12810,1140196
g,space,12810,8790,1620,10410,1140196
a,l,9620,9560,20850,30410,1140196
l,l,16800,10340,5660,16000,1140196
l,space,15200,13550,4860,18410,1140196
space,t,19990,8710,6440,15150,1140196
t,h,13550,7990,4840,12830,1140196
h,e,14460,9540,6470,16010,1140196
e,s,22390,12760,12850,25610,1140196
s,e,21620,11130,8860,19990,1140196
e,e,26410,8720,15280,24000,1140196
e,space,12730,10370,4010,14380,1140196
shift,shift,31190,7140,39280,46420,1140196
shift,space,17600,11940,4870,16810,1140196
space,t,68800,8740,56860,65600,1140196
t,h,17590,11150,8850,20000,1140196
h,i,24810,7940,13660,21600,1140196
i,n,21570,10330,13630,23960,1140196
n,g,24960,9420,14630,24050,1140196
g,s,17470,15150,8050,23200,1140196
backspace,n,96730,8000,88000,96000,1140196
n,k,22460,9540,14460,24000,1140196
k,space,15170,11930,5630,17560,1140196
space,a,25630,18350,13700,32050,1140196
a,l,20800,7110,2450,9560,1140196
l,l,13590,10350,6480,16830,1140196
l,space,15210,13540,4860,18400,1140196
shift,shift,22420,5550,36060,41610,1140196
shift,space,14410,15130,5680,20810,1140196
space,w,18320,15210,3190,18400,1140196
w,r,24070,13580,8860,22440,1140196
r,o,17610,9510,4030,13540,1140196
o,t,31190,9530,21680,31210,1140196
t,e,15190,10360,5660,16020,1140196
e,space,12000,12730,1640,14370,1140196
space,w,59960,16790,47230,64020,1140196
a,s,16840,8730,24860,33590,1140196
s,space,21590,10360,1650,12010,1140196
space,v,31140,9610,20780,30390,1140196
v,e,12870,11940,3260,15200,1140196
e,r,22400,8740,10460,19200,1140196
r,y,15220,7920,6480,14400,1140196
y,space,15970,12750,8050,20800,1140196
space,s,19200,11130,6450,17580,1140196
s,t,19170,8780,8040,16820,1140196
t,u,21640,8740,12860,21600,1140196
u,p,54350,6390,45610,52000,1140196
p,i,24010,7150,17620,24770,1140196
i,t,17650,8730,10500,19230,1140196
backspace,d,12780,10350,5660,16010,1140196
d,d,19990,6380,9640,16020,1140196
d,space,15210,10310,8830,19140,1140196
shift,shift,20800,8740,174490,183230,1140196
shift,shift,17600,8710,8860,17570,1140196
shift,shift,15970,2350,7260,9610,1140196
1,shift,4800,7140,10450,17590,1140196
shift,shift,14440,10340,512050,522390,1140196
shift,o,19200,11930,4870,16800,1140196
o,w,39210,12740,27280,40020,1140196
space,l,46400,9510,35260,44770,1140196
l,e,15990,10350,6480,16830,1140196
e,t,21610,7150,11260,18410,1140196
s,s,99270,6270,84130,90400,1140196
backspace,s,13590,14350,5650,20000,1140196
s,space,56830,11920,42480,54400,1140196
space,t,28000,7930,16080,24010,1140196
t,a,14380,14350,6450,20800,1140196
a,l,26410,7910,12060,19970,1140196
l,k,19950,8780,12040,20820,1140196
k,space,14460,11920,5680,17600,1140196
space,a,14380,14340,2460,16800,1140196
a,b,17600,8750,3260,12010,1140196
b,o,28010,7130,19260,26390,1140196
o,u,21550,8760,14420,23180,1140196
u,t,14420,10360,5660,16020,1140196
t,space,12810,11160,2450,13610,1140196
space,m,27200,11950,16040,27990,1140196
m,y,29610,8730,17660,26390,1140196
y,s,18360,11950,9630,21580,1140196
s,e,23230,9550,11280,20830,1140196
e,l,13620,9530,4070,13600,1140196
l,f,20780,12760,11250,24010,1140196
f,f,35950,8780,23190,31970,1140196
f,space,14450,9550,5670,15220,1140196
shift,shift,23200,4740,35260,40000,1140196
shift,space,15990,12750,4860,17610,1140196
a,m,6340,7970,12800,20770,1140196
m,space,16050,11960,4880,16840,1140196
shift,shift,19260,6360,28040,34400,1140196
shift,n,15310,2210,8950,11160,1140196
n,j,19100,9500,9670,19170,1140196
a,n,9650,6330,12110,18440,1140196
n,space,19190,11940,9660,21600,1140196
shift,shift,9610,1530,32060,33590,1140196
s,a,12740,7980,40790,48770,1140196
shift,shift,18320,3950,84860,88810,1140196
shift,n,15230,1500,11280,12780,1140196
n,j,18370,9540,8860,18400,1140196
a,n,8800,6380,13610,19990,1140196
n,space,19240,11150,9680,20830,1140196
shift,shift,16800,9560,37650,47210,1140196
shift,a,14450,7100,4890,11990,1140196
a,p,19110,7160,1640,8800,1140196
p,k,21660,7930,14500,22430,1140196
k,o,16790,7140,8860,16000,1140196
o,t,24010,7930,16870,24800,1140196
a,space,14740,1220,17190,18410,1140196
space,space,249270,10350,236090,246440,1140196
space,space,16000,11940,5650,17590,1140196
