@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150300', 'outlier'}

@DATA
99,104,20149,8002,13020,21022,29024,1150300
104,111,35563,6570,27560,34130,40700,1150300
111,115,21149,8908,14579,23487,32395,1150300
115,101,19660,7873,10752,18626,26499,1150300
101,32,11205,12504,3332,15836,28340,outlier
32,116,22674,7324,10170,17494,24818,1150300
116,104,21654,7549,14330,21879,29428,1150300
104,97,39057,9261,31507,40768,50029,1150300
97,116,17079,7065,7818,14882,21947,1150300
116,32,20994,7193,13930,21123,28316,1150300
32,99,33214,8258,26020,34279,42537,1150300
99,97,39496,8930,31238,40168,49098,1150300
97,114,17232,5985,8302,14288,20273,1150300
114,101,43823,5853,37838,43690,49543,outlier
101,101,13593,7791,7740,15532,23323,1150300
101,114,28560,7296,20769,28065,35361,1150300
114,32,20405,11472,13109,24581,36053,outlier
105,105,19310,4616,16545,21161,25777,outlier
105,105,28280,6916,23663,30580,37496,1150300
105,105,15371,8642,8454,17096,25738,1150300
105,105,25770,9173,17128,26301,35474,1150300
73,73,18678,8861,11388,20249,29110,1150300
32,99,31100,7526,19174,26700,34226,1150300
99,97,34233,6268,26707,32975,39243,1150300
97,114,20175,7673,13907,21580,29253,1150300
114,101,42906,5162,35233,40395,45557,1150300
101,101,17260,8465,12098,20563,29028,1150300
101,114,27128,7314,18663,25977,33291,1150300
114,32,24548,10233,17234,27467,37700,1150300
111,102,18001,8047,9356,17403,25450,1150300
102,32,32184,7513,24136,31650,39163,1150300
104,111,46351,7195,42321,49516,56711,outlier
111,115,12714,8313,5519,13832,22145,1150300
115,101,16299,8726,7986,16712,25438,1150300
101,101,21011,6836,18216,25052,31888,1150300
101,101,19581,5587,12744,18331,23918,1150300
101,101,39620,6716,34033,40749,47465,1150300
101,101,16758,8300,10041,18341,26641,1150300
101,101,16843,11955,15225,27180,39135,outlier
101,101,21521,5776,9566,15342,21118,1150300
101,101,13977,7041,8201,15242,22283,1150300
116,111,27067,6666,19880,26546,33212,1150300
111,32,22346,10244,15680,25924,36168,1150300
32,115,20637,8372,10393,18765,27137,1150300
115,116,20417,7699,12045,19744,27443,1150300
116,117,36323,7460,28624,36083,43543,1150300
117,100,34297,8540,26837,35377,43917,1150300
100,121,17280,8224,8740,16964,25188,1150300
121,32,47977,10577,39753,50330,60907,outlier
116,104,25126,8675,17501,26176,34851,1150300
104,105,35894,8152,27219,35371,43523,1150300
105,115,13280,7883,5128,13012,20895,1150300
115,32,21400,9437,13516,22953,32390,1150300
99,97,18442,7667,10928,18595,26262,1150300
97,114,24887,6811,17221,24032,30843,1150300
114,101,34255,5366,27444,32810,38176,1150300
101,101,12774,8881,7408,16289,25170,1150300
101,114,22512,7341,13632,20973,28314,1150300
114,32,28355,14898,21014,35911,50809,outlier
98,101,18189,7695,10452,18147,25842,1150300
101,99,59276,7409,51581,58990,66399,outlier
99,97,33937,6690,26528,33218,39908,1150300
115,101,18133,7143,10064,17207,24350,1150300
101,32,19522,8784,12379,21163,29947,1150300
111,102,30423,8037,25032,33068,41105,1150300
102,32,17896,9587,9859,19447,29034,1150300
32,109,39002,8113,29414,37527,45640,1150300
109,121,25410,5131,17297,22429,27560,1150300
121,32,14725,13875,9593,23468,37343,outlier
32,117,21756,8668,7882,16550,25218,1150300
117,110,24685,7380,16017,23397,30777,1150300
110,99,26921,6957,19540,26497,33454,1150300
99,108,29222,7040,22265,29305,36345,1150300
108,101,19237,5807,12197,18004,23811,1150300
101,32,13752,9150,7945,17094,26244,1150300
97,110,18291,7059,12702,19761,26820,1150300
110,100,19084,7615,12025,19640,27255,1150300
100,32,19208,8293,11593,19886,28179,1150300
109,121,32912,4355,26366,30721,35076,outlier
121,32,25010,8872,20655,29527,38399,1150300
32,103,24397,8252,15525,23777,32029,1150300
103,114,18338,5595,10086,15680,21275,1150300
114,97,40779,4602,35184,39786,44388,outlier
97,110,18422,8265,13820,22085,30350,1150300
110,100,22268,7716,14003,21719,29435,1150300
109,111,26907,6335,19130,25465,31800,1150300
111,116,52293,4945,45958,50903,55848,outlier
116,104,25320,6275,20375,26650,32925,1150300
104,101,12627,6317,6351,12668,18985,1150300
101,114,20418,5812,14101,19913,25725,1150300
114,32,21868,7523,16056,23579,31102,1150300
115,101,19826,7699,10171,17870,25569,1150300
101,32,36191,11310,28492,39802,51112,outlier
32,116,27964,8732,16654,25386,34118,1150300
116,104,22212,8561,13480,22041,30602,1150300
104,101,15301,6756,6740,13496,20252,1150300
101,110,29345,7073,22589,29663,36736,1150300
110,32,20726,9093,13653,22745,31838,1150300
32,105,25627,8614,16534,25149,33763,1150300
105,110,24740,7672,16125,23797,31469,1150300
110,32,19854,9345,12182,21527,30872,1150300
32,98,26943,8288,17598,25886,34174,1150300
98,112,47880,8159,40027,48186,56345,outlier
112,97,15987,9841,7828,17669,27510,1150300
97,110,23653,8075,13811,21887,29962,1150300
110,32,32791,8210,24716,32926,41136,1150300
32,32,15164,8658,7610,16269,24927,1150300
105,110,28946,7443,20653,28096,35539,1150300
110,32,24312,6938,16869,23807,30745,1150300
119,104,46651,8273,38396,46670,54943,outlier
104,101,24519,7411,16246,23656,31067,1150300
101,110,17430,8038,10020,18058,26096,1150300
110,32,25006,7936,16968,24904,32840,1150300
32,116,28855,7567,20919,28486,36053,1150300
104,101,56019,8473,46187,54660,63133,outlier
101,121,22455,8003,13981,21984,29987,1150300
121,32,22042,9239,14039,23278,32517,1150300
97,110,54880,9833,46311,56145,65978,outlier
110,32,50620,7427,40787,48213,55640,outlier
32,115,22625,9774,15199,24973,34747,1150300
115,105,21209,8051,11435,19487,27538,1150300
105,116,56836,5406,48784,54191,59597,outlier
116,32,28186,3024,22779,25804,28828,outlier
32,32,17837,7309,11049,18358,25667,1150300
32,32,15852,8562,8542,17104,25666,1150300
32,32,23839,7855,15278,23133,30988,1150300
100,32,39110,9583,29873,39456,49039,1150300
32,32,16040,7937,8661,16598,24535,1150300
32,32,14904,8882,6967,15848,24730,1150300
32,32,15706,8301,6824,15125,23426,1150300
119,97,25276,8666,15258,23924,32590,1150300
97,108,25322,8959,16657,25616,34575,1150300
108,107,21128,9121,12168,21289,30410,1150300
107,32,28559,9787,19438,29225,39012,1150300
32,97,20722,9978,10934,20912,30890,1150300
97,110,20577,9175,10599,19774,28949,1150300
110,100,16910,8866,7736,16602,25468,1150300
100,32,18558,9502,9692,19194,28696,1150300
105,116,17362,6064,7855,13919,19983,1150300
32,110,1717,2694,14290,16984,19678,outlier
32,110,1717,6007,14290,3313,9320,1150300
110,110,18241,8307,10767,19074,27381,1150300
110,110,17296,8878,8989,17867,26745,1150300
116,32,39370,11667,31897,43564,55231,outlier
32,116,32191,8100,20524,28624,36724,1150300
116,111,20000,7408,11900,19308,26716,1150300
111,32,57577,7015,50168,57184,64199,outlier
32,115,30053,7550,23037,30588,38138,1150300
115,101,19357,9151,11807,20958,30109,1150300
101,101,16124,6185,6973,13159,19344,1150300
101,101,16800,7417,11684,19101,26518,1150300
101,101,16800,7575,9382,16958,24533,1150300
101,101,42448,8473,34873,43346,51819,1150300
