@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1160392', 'outlier'}

@DATA
32,115,12900,1400,10700,12100,13500,1160392
115,105,12100,1700,10700,12400,14100,1160392
105,109,19200,900,17500,18400,19300,1160392
109,116,20100,1900,19200,21100,23000,1160392
116,111,16200,800,14300,15100,15900,1160392
111,32,23800,2700,23000,25700,28400,1160392
118,97,11960,10500,3355,13855,24355,1160392
97,32,14630,13973,4130,18103,32076,1160392
32,113,56245,9950,42272,52221,62171,outlier
113,117,14094,9981,4144,14126,24107,1160392
117,101,13851,8211,3870,12081,20292,1160392
101,32,10749,8735,2538,11273,20008,1160392
32,110,19077,11630,10342,21972,33602,1160392
110,111,16628,10745,4998,15744,26489,1160392
32,115,9050,3165,16551,19715,22880,1160392
32,115,9050,10109,16551,6945,17054,1160392
115,97,21681,7679,12075,19754,27433,1160392
97,121,15220,5297,7541,12838,18135,1160392
121,111,39992,4467,34695,39162,43629,outlier
111,44,21598,4511,17130,21641,26152,1160392
44,32,16016,5279,11505,16785,22064,1160392
32,112,23996,4547,18717,23264,27811,1160392
112,101,16792,7089,12246,19335,26424,1160392
101,101,29591,5480,22501,27982,33462,1160392
101,114,8814,7887,3334,11221,19108,1160392
114,101,19189,9489,11301,20790,30279,1160392
78,78,23435,11336,8537,19873,31209,1160392
78,89,54108,9101,28673,37773,46874,outlier
89,89,53423,13981,44323,58304,72285,outlier
73,32,16001,2659,49936,52594,55253,outlier
32,76,18715,947,16056,17003,17950,1160392
32,76,18715,14421,16056,13474,27895,1160392
76,79,22359,17033,7939,24971,42004,1160392
79,79,41478,11162,24445,35607,46769,outlier
79,69,14387,14462,3225,17687,32149,1160392
32,114,21700,1900,19000,20900,22800,1160392
114,101,25000,1800,23100,24900,26700,1160392
101,101,30100,1100,28300,29400,30500,1160392
101,101,26200,2600,25100,27700,30300,1160392
101,101,19300,1700,16700,18400,20100,1160392
101,101,18500,1600,16800,18400,20000,1160392
101,101,17000,800,15400,16200,17000,1160392
101,101,20600,1200,19800,21000,22200,1160392
101,101,20000,1100,18800,19900,21000,1160392
115,101,15480,9572,5371,14943,24515,1160392
101,32,12077,11109,2505,13613,24722,1160392
97,98,10280,1072,13160,14232,15304,1160392
97,98,10280,9960,13160,8888,18848,1160392
98,117,13038,8326,3077,11404,19730,1160392
117,114,11282,6323,2956,9279,15602,1160392
114,114,12703,7437,6380,13817,21254,1160392
114,101,17359,9175,9922,19096,28271,1160392
101,32,14142,12753,4968,17720,30473,1160392
