@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1170393', 'outlier'}

@DATA
116,104,23488,13464,14469,27933,41397,1170393
97,116,12228,5260,15183,20443,25703,1170393
97,116,12228,8314,15183,3054,11368,1170393
116,32,47201,15521,38887,54408,69929,outlier
32,73,23462,2005,41418,43423,45428,outlier
32,73,23462,10009,41418,8003,18012,outlier
73,32,17999,14967,7990,22958,37925,1170393
97,109,12510,10990,17505,28495,39485,1170393
97,109,12510,12105,17505,1116,13221,1170393
109,32,16988,12970,4883,17853,30823,1170393
100,111,15500,1065,20456,21521,22586,outlier
100,111,15500,7436,20456,6372,13808,1170393
111,105,18915,7002,11479,18481,25483,1170393
110,32,16213,6005,8689,14694,20699,1170393
32,32,40348,9336,28921,38257,47593,1170393
32,115,35950,7526,20998,28524,36050,1170393
115,105,19348,10046,11822,21868,31914,1170393
105,111,23761,8941,13714,22656,31597,1170393
111,110,36854,8642,27912,36554,45196,1170393
110,32,14105,5807,5463,11270,17077,1170393
105,110,21682,11864,14680,26544,38408,1170393
110,103,15381,11472,3517,14989,26461,1170393
103,32,12539,10914,1067,11981,22895,1170393
32,116,14349,13069,3435,16504,29573,1170393
116,111,20003,8062,6934,14996,23058,1170393
100,97,13284,6973,43971,50944,57917,outlier
100,97,13284,22400,43971,15427,37827,outlier
97,121,23383,8009,984,8992,17001,1170393
121,32,19507,10995,11498,22494,33489,1170393
32,97,11968,22485,973,23458,45943,outlier
112,111,46340,11160,35740,46900,58060,outlier
112,117,31520,10080,21400,31480,41560,1170393
117,108,51690,10170,41610,51780,61950,outlier
108,97,26580,15750,16410,32160,47910,outlier
116,105,45780,9160,35010,44170,53330,outlier
105,111,22140,9790,12980,22770,32560,1170393
97,116,29982,7509,7497,15007,22516,1170393
116,32,16440,14485,8931,23416,37901,1170393
