@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150582', 'outlier'}

@DATA
111,121,19609,14701,7088,21790,36491,1150582
121,32,19031,11789,4330,16119,27908,1150582
116,117,7268,1731,32855,34586,36317,outlier
117,118,13096,3239,11365,14605,17844,1150582
117,118,13096,10964,11365,7724,18688,1150582
101,32,10276,1101,20340,21441,22542,1150582
109,105,14775,2466,9823,12289,14755,1150582
109,105,14775,11190,9823,8725,19915,1150582
105,115,20378,15449,9188,24636,40085,1150582
115,115,46097,10143,43555,53698,63841,outlier
115,115,16399,8615,6257,14872,23487,1150582
115,113,10625,11368,2010,13378,24746,1150582
117,101,6146,3242,6301,9544,12786,1150582
101,32,7689,5068,4446,9514,14582,1150582
101,32,7689,15932,4446,10864,26796,1150582
102,110,4620,4100,14650,18750,22850,1150582
102,110,4620,8410,14650,4310,12720,1150582
110,108,17630,11330,9220,20550,31880,1150582
108,102,13610,11990,2280,14270,26260,1150582
102,46,47800,9420,35810,45230,54650,outlier
46,32,23190,8160,13770,21930,30090,1150582
32,108,22190,8900,14030,22930,31830,1150582
101,106,3260,1980,31510,33490,35470,outlier
101,106,3260,2640,31510,660,3300,outlier
112,241,1430,4180,10180,14360,18540,1150582
121,111,7102,3327,22290,25617,28944,1150582
111,32,8034,3750,4707,8457,12207,1150582
111,32,8034,15150,4707,11400,26550,1150582
115,111,8619,4137,10851,14988,19125,1150582
115,111,8619,10176,10851,6039,16215,1150582
121,32,10082,4118,18875,22993,27111,1150582
121,32,10082,14564,18875,10446,25010,1150582
32,32,26828,9099,12264,21363,30462,1150582
32,72,9287,11663,188,11851,23514,1150582
72,72,21623,6110,9960,16070,22180,1150582
101,32,10276,12912,20340,11811,24723,1150582
32,117,14002,6943,1090,8033,14976,1150582
32,100,6074,1555,23632,25186,26741,1150582
32,100,6074,2710,23632,1156,3866,1150582
100,100,7468,4939,4758,9697,14636,1150582
100,237,8995,8462,4056,12518,20980,1150582
237,97,8693,9290,231,9522,18812,1150582
97,32,10458,3431,1168,4599,8030,1150582
97,32,10458,13986,1168,10555,24541,1150582
115,115,31616,8717,23688,32405,41122,1150582
115,115,19917,8325,11200,19525,27850,1150582
79,79,4894,14466,10580,8441,22907,1150582
79,104,23117,17031,8651,25682,42713,outlier
105,106,10146,1492,12687,14180,15672,1150582
106,111,12968,4706,11475,16181,20887,1150582
115,115,18259,20793,8951,29744,50537,outlier
115,115,21214,8196,13786,21982,30178,1150582
115,115,21668,7918,13473,21391,29309,1150582
115,115,19367,6108,11900,18008,24116,1150582
115,115,18208,7927,12100,20028,27955,1150582
112,241,1430,6080,10180,1900,7980,1150582
100,106,7090,3150,14600,17750,20900,1150582
100,106,7090,7470,14600,4320,11790,1150582
102,241,5750,4630,10370,15000,19630,1150582
102,241,5750,6520,10370,1890,8410,1150582
241,241,36410,7060,29890,36950,44010,outlier
241,122,27480,6900,20420,27320,34220,1150582
99,106,15030,9880,6940,16820,26700,1150582
241,97,4710,2800,16460,19260,22060,1150582
97,103,12871,5962,2902,8864,14826,1150582
114,97,6666,3324,13781,17105,20429,1150582
114,97,6666,10787,13781,7463,18250,1150582
97,100,12829,3222,2042,5264,8486,1150582
100,99,5645,5488,2423,7910,13398,1150582
99,100,8089,1500,2601,4101,5601,1150582
100,100,38884,5834,37384,43218,49052,outlier
100,100,13528,6384,7694,14078,20462,1150582
100,97,30402,12299,24019,36318,48617,1150582
98,108,9665,787,11824,12611,13398,1150582
72,72,24841,10379,18731,29111,39490,1150582
72,72,13750,11240,3371,14610,25850,1150582
72,72,22224,13631,10985,24616,38247,1150582
72,85,13775,4931,144,5075,10006,1150582
74,79,9335,3602,17863,21465,25067,1150582
74,79,9335,12631,17863,9029,21660,1150582
79,79,26257,7666,13626,21292,28958,1150582
79,79,14954,6457,7288,13745,20202,1150582
79,79,11917,7565,5460,13025,20590,1150582
79,79,4894,6025,10580,16605,22630,1150582
111,32,8127,5676,3420,9097,14773,1150582
111,32,8127,12669,3420,6993,19662,1150582
100,101,6548,2840,7005,9845,12685,1150582
101,32,9250,2865,6410,9275,12140,1150582
32,112,5162,2948,2297,5245,8193,1150582
112,97,9992,4811,7044,11855,16666,1150582
108,101,9147,5929,8360,14289,20218,1150582
108,101,9147,11400,8360,5471,16871,1150582
44,32,7289,2717,24639,27355,30072,1150582
32,112,11489,2817,8772,11589,14406,1150582
112,117,9155,4692,6338,11030,15722,1150582
117,100,9741,3087,5049,8136,11223,1150582
117,100,9741,9719,5049,6632,16351,1150582
100,101,17005,10429,7286,17714,28143,1150582
32,100,11114,3118,13353,16472,19590,1150582
32,100,11114,8055,13353,4936,12991,1150582
115,115,18092,6815,9768,16583,23398,1150582
115,115,17125,11173,10310,21483,32656,1150582
115,115,23620,10344,12447,22791,33135,1150582
115,115,44286,8827,33942,42769,51596,outlier
115,99,35433,11094,26606,37699,48793,1150582
111,110,11982,5640,21981,27620,33260,1150582
110,115,6777,5964,1137,7101,13065,1150582
110,115,6777,9595,1137,3631,13226,1150582
115,116,29915,7326,20320,27646,34972,1150582
116,114,19735,9912,12409,22321,32233,1150582
97,115,8109,4707,3298,8005,12712,1150582
97,115,8109,10585,3298,5878,16463,1150582
115,116,17248,9504,6663,16166,25670,1150582
116,111,9662,10533,158,10692,21225,1150582
111,114,10561,11374,28,11402,22776,1150582
46,32,9793,2243,51867,54110,56353,outlier
46,32,9793,12651,51867,10408,23059,outlier
112,111,9937,4018,14098,18116,22134,1150582
112,111,9937,13326,14098,9308,22634,1150582
111,114,13390,8673,64,8737,17410,1150582
241,97,4710,7420,16460,4620,12040,1150582
107,99,2620,1900,13210,15110,17010,1150582
107,99,2620,4670,13210,2770,7440,1150582
107,99,2620,6920,13210,2250,9170,1150582
99,118,26330,13620,19410,33030,46650,1150582
118,109,45730,7790,32110,39900,47690,outlier
101,107,3830,2490,47980,50470,52960,outlier
101,107,3830,5590,47980,3100,8690,outlier
100,101,15787,10820,7732,18553,29373,1150582
115,97,12919,1498,13406,14904,16402,1150582
115,97,12919,7522,13406,6024,13546,1150582
97,99,5883,5300,44398,49698,54998,outlier
97,99,5883,11399,44398,6099,17498,outlier
97,110,8949,4057,9216,13273,17330,1150582
110,115,20830,837,16773,17610,18447,1150582
115,97,11576,3487,10739,14226,17713,1150582
97,114,10885,5229,7398,12627,17856,1150582
114,32,6808,4448,1579,6027,10475,1150582
114,117,14768,13204,4857,18061,31265,1150582
117,105,23267,11874,10063,21936,33810,1150582
105,114,34723,9190,22849,32039,41229,1150582
114,32,14458,10739,5268,16007,26746,1150582
32,99,11943,11553,1204,12758,24311,1150582
99,97,19158,13994,7604,21598,35592,1150582
115,97,11232,5959,13659,19618,25577,1150582
97,115,12413,4732,6454,11186,15918,1150582
97,115,12413,12747,6454,8015,20762,1150582
115,32,19036,10520,6289,16809,27329,1150582
32,108,7841,4899,7948,12846,17745,1150582
32,108,7841,11897,7948,6999,18896,1150582
111,32,10262,2481,14513,16994,19475,1150582
32,99,8913,4004,6432,10436,14440,1150582
32,99,8913,9359,6432,5355,14714,1150582
99,117,9714,9800,355,10155,19955,1150582
97,108,7584,7317,9423,16740,24057,1150582
108,32,10621,2463,3304,5767,8230,1150582
108,32,10621,13772,3304,11308,25080,1150582
32,32,34283,8256,20511,28767,37023,1150582
111,32,21449,9267,9688,18955,28222,1150582
97,99,14425,10101,4796,14897,24998,1150582
99,101,20179,8052,10079,18131,26183,1150582
114,32,7761,2459,16563,19023,21482,1150582
114,32,7761,8288,16563,5829,14117,1150582
32,32,15898,5306,10893,16199,21505,1150582
32,32,17838,4866,12532,17398,22264,1150582
107,101,22840,7390,17250,24640,32030,1150582
101,108,23320,5440,15930,21370,26810,1150582
108,101,9570,4060,4130,8190,12250,1150582
101,108,9740,7880,5680,13560,21440,1150582
101,106,4940,1820,9790,11610,13430,1150582
101,106,4940,8990,9790,7170,16160,1150582
101,107,5620,2150,8430,10580,12730,1150582
101,107,5620,7220,8430,5070,12290,1150582
107,101,12940,3710,5720,9430,13140,1150582
101,104,20260,8310,16550,24860,33170,1150582
32,108,10848,1602,6400,8003,9605,1150582
32,108,10848,5405,6400,3803,9208,1150582
32,115,4215,2396,18584,20980,23376,1150582
32,115,4215,5077,18584,2681,7758,1150582
115,117,12827,1251,7750,9001,10252,1150582
32,108,7085,5262,3591,8852,14114,1150582
116,105,48263,6266,43350,49617,55883,outlier
105,118,26970,6211,20703,26914,33125,1150582
118,111,48333,7614,42122,49737,57351,outlier
111,115,14510,10754,6896,17650,28404,1150582
115,32,17011,6021,6257,12279,18300,1150582
115,101,20609,10067,8755,18822,28889,1150582
101,32,17531,6335,7464,13799,20134,1150582
32,113,10469,10565,4134,14699,25264,1150582
113,117,17207,6268,6642,12910,19178,1150582
32,32,16344,5985,11478,17463,23448,1150582
32,32,17233,5711,11248,16959,22670,1150582
32,32,17477,5045,11765,16810,21855,1150582
100,105,12982,1031,2935,3966,4997,1150582
105,114,9956,8710,8925,17635,26345,1150582
114,105,14704,8269,5994,14263,22532,1150582
105,103,8417,8399,148,8547,16946,1150582
105,114,11640,9650,3168,12818,22468,1150582
32,108,7085,10695,3591,5433,16128,1150582
111,32,10804,1508,15052,16560,18068,1150582
32,99,8592,8643,7084,15727,24370,1150582
32,99,8592,9170,7084,527,9697,1150582
99,117,10195,11343,1025,12368,23711,1150582
97,108,8641,5029,10895,15924,20953,1150582
97,108,8641,14031,10895,9002,23033,1150582
108,44,35305,11921,21274,33195,45116,1150582
44,32,14571,10644,2650,13294,23938,1150582
32,115,11743,16263,1099,17361,33624,1150582
108,107,17260,8310,12340,20650,28960,1150582
110,104,1320,6650,13180,19830,26480,1150582
110,104,1320,7020,13180,370,7390,1150582
104,118,9770,4380,2750,7130,11510,1150582
118,107,8610,9390,4230,13620,23010,1150582
107,107,17750,8840,8360,17200,26040,1150582
32,32,19380,10750,9570,20320,31070,1150582
32,109,20650,8280,9900,18180,26460,1150582
109,115,33450,7140,25170,32310,39450,1150582
114,32,38612,10680,28962,39642,50322,outlier
32,112,36957,6813,26277,33090,39903,1150582
112,112,28777,7258,21963,29221,36479,1150582
