@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1110315', 'outlier'}

@DATA
104,111,17470,10330,8120,18450,28780,1110315
111,121,24410,9590,14080,23670,33260,1110315
121,32,19540,11000,9950,20950,31950,1110315
32,109,18620,11130,7620,18750,29880,1110315
109,101,17200,9860,6070,15930,25790,1110315
101,32,10640,11160,780,11940,23100,1110315
101,101,18685,7182,7396,14579,21761,1110315
77,101,15584,15096,2428,17524,32620,1110315
101,32,18274,6808,3178,9986,16794,1110315
100,101,12519,8677,19341,28018,36695,1110315
100,101,12519,15165,19341,6488,21653,1110315
101,115,25408,14188,10242,24431,38619,1110315
115,112,20655,8579,6467,15045,23624,1110315
115,111,8838,1429,18440,19868,21297,1110315
115,111,8838,8354,18440,6925,15279,1110315
110,97,5861,1068,15135,16203,17271,1110315
110,97,5861,8769,15135,7701,16470,1110315
97,115,15538,9022,6768,15791,24813,1110315
115,32,14099,11962,5077,17040,29002,1110315
32,113,37154,8354,25191,33545,41899,1110315
113,117,18460,11016,10106,21122,32138,1110315
117,101,17988,9808,6972,16780,26588,1110315
101,100,34102,7018,24294,31313,38331,1110315
32,115,12830,12220,1670,13890,26110,1110315
115,105,13670,11130,1450,12580,23710,1110315
101,110,9710,1200,15450,16650,17850,1110315
101,110,9710,10070,15450,8870,18940,1110315
116,111,9180,1390,15220,16610,18000,1110315
116,111,9180,10430,15220,9040,19470,1110315
111,32,20520,10220,10090,20310,30530,1110315
109,106,5550,2260,12160,14420,16680,1110315
109,106,5550,4150,12160,1890,6040,outlier
106,117,10070,9670,5920,15590,25260,1110315
32,100,48500,1800,46500,48300,50100,outlier
100,101,22500,2100,20700,22800,24900,1110315
101,108,15000,1900,12900,14800,16700,1110315
108,108,32000,1400,30100,31500,32900,1110315
108,115,37100,2000,35700,37700,39700,outlier
115,101,20200,1800,18200,20000,21800,1110315
101,115,30400,1300,28600,29900,31200,1110315
115,100,33000,1000,31700,32700,33700,1110315
100,100,19300,1300,17800,19100,20400,1110315
111,110,13517,11023,18543,29565,40588,1110315
111,110,13517,15833,18543,4810,20643,1110315
110,110,14384,7877,8212,16088,23965,1110315
110,110,15959,7083,8083,15166,22249,1110315
110,110,19194,7891,12111,20002,27893,1110315
105,105,39905,7875,33719,41594,49469,outlier
105,105,22398,7107,14523,21630,28737,1110315
105,110,18402,7961,11294,19255,27216,1110315
112,101,15480,17165,6901,24066,41231,outlier
101,114,19111,12546,1946,14492,27038,1110315
114,116,25908,11146,13361,24507,35653,1110315
116,116,34393,9165,23247,32413,41578,1110315
116,233,16187,13599,7022,20620,34219,1110315
233,44,45957,6170,32359,38528,44698,outlier
44,32,22877,2238,16707,18945,21183,1110315
32,110,25025,6179,22787,28967,35146,1110315
110,111,21307,6426,15128,21554,27980,1110315
111,32,22840,6155,16414,22569,28724,1110315
100,97,21686,7419,14668,22087,29506,1110315
97,32,9765,10772,2346,13118,23890,1110315
32,98,26381,6673,15609,22281,28954,1110315
105,101,7897,4317,14670,18987,23304,1110315
105,101,7897,12872,14670,8555,21427,1110315
101,32,32157,10679,19285,29965,40644,1110315
32,32,28940,13422,18260,31683,45105,1110315
32,110,29978,8356,16556,24912,33268,1110315
110,32,15744,13557,7388,20944,34501,1110315
32,32,48881,9453,35324,44777,54230,outlier
117,121,17530,9900,7860,17760,27660,1110315
121,32,21900,11330,12000,23330,34660,1110315
32,102,17480,8360,6150,14510,22870,1110315
102,101,16490,9240,8130,17370,26610,1110315
101,108,12590,10600,3350,13950,24550,1110315
108,105,16940,10350,6340,16690,27040,1110315
105,122,15540,11250,5190,16440,27690,1110315
122,32,12610,10860,1360,12220,23080,1110315
32,112,25520,10800,14660,25460,36260,1110315
112,111,17020,11210,6220,17430,28640,1110315
