@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1160955', 'outlier'}

@DATA
111,121,23372,9951,10746,20697,30648,1160955
121,32,20970,12933,11019,23952,36885,outlier
32,67,6498,10111,38672,48783,58894,outlier
32,67,6498,10178,38672,66,10244,1160955
67,105,26623,8575,16446,25021,33596,1160955
105,101,18439,4228,9864,14092,18320,outlier
110,116,32790,8340,23300,31640,39980,1160955
116,101,20400,8790,12060,20850,29640,1160955
101,32,10350,9840,1560,11400,21240,1160955
32,112,25600,12550,15760,28310,40860,outlier
112,111,14370,9720,1820,11540,21260,1160955
111,114,16750,10370,7030,17400,27770,1160955
114,32,13880,8870,3510,12380,21250,1160955
32,109,17690,10260,8820,19080,29340,1160955
109,105,13830,12640,3570,16210,28850,outlier
105,115,33330,9860,20690,30550,40410,1160955
101,108,6653,8765,2424,11190,19955,1160955
108,111,18061,8219,9296,17515,25734,1160955
111,32,31037,10411,22818,33229,43640,1160955
32,70,3382,5957,23997,29954,35911,outlier
32,70,3382,11967,23997,6010,17977,outlier
70,101,22085,10833,10119,20952,31785,1160955
101,114,16896,9977,6063,16040,26017,1160955
110,110,11082,6179,52988,59167,65346,outlier
110,110,11082,10210,52988,4032,14242,outlier
115,32,14950,9660,5090,14750,24410,1160955
32,112,20640,9870,10980,20850,30720,1160955
112,114,23610,9480,13740,23220,32700,1160955
114,111,20290,10340,10810,21150,31490,1160955
111,112,30700,13700,20360,34060,47760,outlier
112,105,23190,10980,9490,20470,31450,1160955
105,111,15900,11640,4920,16560,28200,1160955
115,32,10610,620,14550,15170,15790,outlier
115,32,10610,10350,14550,9730,20080,1160955
32,101,19970,6490,9620,16110,22600,outlier
