@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150591', 'outlier'}

@DATA
102,101,7900,600,5800,6400,7000,outlier
101,101,3000,4100,2400,6500,10600,1150591
101,108,4300,800,200,1000,1800,outlier
108,32,1000,400,200,600,1000,outlier
115,32,21950,5397,15245,20642,26039,1150591
32,113,34259,8732,28862,37594,46326,1150591
105,117,1501,3190,4041,7230,10420,1150591
105,117,1501,6438,4041,3248,9686,1150591
117,101,9277,6928,2840,9768,16696,1150591
101,32,21118,6132,14190,20322,26454,1150591
32,97,21246,6713,15114,21827,28540,1150591
97,103,38802,7204,32088,39292,46496,outlier
103,114,19642,6598,12439,19037,25635,1150591
114,97,19219,7717,12621,20338,28055,1150591
97,110,16197,9041,8480,17521,26562,1150591
110,32,18573,4998,9532,14530,19528,1150591
104,97,6366,1385,55894,57279,58664,outlier
104,97,6366,6612,55894,5227,11839,outlier
97,99,19347,6094,12736,18830,24924,1150591
99,101,18227,6333,12133,18466,24799,1150591
101,114,12675,8135,6341,14477,22612,1150591
44,32,20937,9652,12497,22149,31801,1150591
32,101,45127,5710,35475,41185,46895,outlier
32,108,59300,9000,46900,55900,64900,outlier
108,105,23100,9800,14100,23900,33700,1150591
105,116,47000,6700,37200,43900,50600,outlier
116,116,15900,9800,9200,19000,28800,1150591
116,108,16900,11800,7100,18900,30700,1150591
108,101,47100,15700,35300,51000,66700,outlier
101,32,22800,12000,7100,19100,31100,1150591
32,98,46800,9900,34800,44700,54600,outlier
101,116,19873,5277,14162,19439,24716,1150591
116,99,46096,6209,40819,47028,53237,outlier
46,32,15299,6240,7350,13590,19830,1150591
108,97,9956,6839,820,7659,14498,1150591
97,32,21755,5642,14915,20558,26200,1150591
32,99,16761,6397,11119,17516,23913,1150591
97,108,1869,5171,13982,19153,24324,1150591
97,108,1869,11137,13982,5966,17103,1150591
98,105,27800,17000,17900,34900,51900,outlier
116,32,21900,9000,9000,18000,27000,1150591
116,105,33200,11700,24100,35800,47500,1150591
114,101,3100,3100,1700,4800,7900,1150591
101,100,3500,500,400,900,1400,outlier
100,32,600,900,100,1000,1900,outlier
32,98,1000,700,100,800,1500,outlier
98,101,1500,3800,800,4600,8400,1150591
99,97,9900,3000,28400,31400,34400,1150591
99,97,9900,16900,28400,13900,30800,outlier
97,117,26200,13500,9300,22800,36300,1150591
117,115,19700,14800,6200,21000,35800,outlier
115,101,25800,12200,11000,23200,35400,1150591
101,32,16000,19100,3800,22900,42000,outlier
111,102,16000,10900,3100,14000,24900,1150591
102,32,12000,17900,1100,19000,36900,outlier
115,105,10481,7735,1836,9572,17307,1150591
105,99,22043,6663,14307,20970,27633,1150591
99,99,32427,12352,21582,33934,46286,1150591
99,99,21129,7562,8777,16339,23901,1150591
99,99,30609,10891,23046,33937,44828,1150591
99,99,25405,14284,14514,28797,43081,outlier
108,115,55014,7097,45767,52864,59961,outlier
32,97,43000,12800,25100,37900,50700,1150591
97,108,19900,15900,7100,23000,38900,outlier
108,32,51800,14000,35900,49900,63900,outlier
32,32,15100,6900,9200,16100,23000,1150591
32,32,35000,9700,28100,37800,47500,1150591
108,111,15700,13800,8100,21900,35700,1150591
116,32,15200,3600,22300,25900,29500,1150591
116,32,15200,11900,22300,8300,20200,1150591
102,32,12700,1100,16300,17400,18500,1150591
102,32,12700,14700,16300,13600,28300,outlier
115,99,17300,15900,4700,20600,36500,outlier
99,104,35900,11800,20000,31800,43600,1150591
111,111,1500,300,800,1100,1400,outlier
111,108,400,200,100,300,500,outlier
108,32,200,200,0,200,400,outlier
115,105,13149,8232,6052,14284,22516,1150591
105,99,16066,7097,7834,14931,22028,1150591
99,105,10847,7743,3750,11493,19236,1150591
105,105,19025,10274,8566,18840,29114,1150591
105,105,16923,13297,6649,19947,33244,1150591
105,105,18736,11570,5439,17009,28579,1150591
115,105,12739,9564,4997,14561,24125,1150591
105,102,46356,5938,36792,42730,48668,outlier
102,105,11372,7943,5434,13377,21320,1150591
105,99,8667,5722,724,6447,12169,1150591
99,115,17227,4617,11505,16121,20738,1150591
115,99,16710,6429,12094,18522,24951,1150591
99,105,13905,7018,7476,14494,21512,1150591
105,111,14081,8329,7064,15392,23721,1150591
111,110,18955,9953,10627,20580,30533,1150591
110,32,14487,12568,4534,17102,29670,1150591
32,119,700,600,500,1100,1700,outlier
119,111,700,9300,100,9400,18700,1150591
46,32,26100,7500,24600,32100,39600,1150591
73,73,8100,4900,12100,17000,21900,1150591
73,73,8100,13000,12100,8100,21100,1150591
73,32,21000,18700,8000,26700,45400,outlier
101,115,16630,5749,10808,16557,22306,1150591
115,32,21269,4688,15519,20208,24896,1150591
109,97,16516,9043,6782,15824,24867,1150591
97,121,27149,7266,18106,25373,32639,1150591
121,111,20747,9002,13480,22482,31484,1150591
111,114,13639,6516,4637,11153,17669,1150591
114,32,20217,7346,13701,21047,28393,1150591
32,111,13425,7083,6079,13162,20245,1150591
111,32,12464,6333,5381,11714,18047,1150591
32,109,11003,8296,4670,12965,21261,1150591
109,101,10699,6850,2404,9253,16103,1150591
101,110,14152,5621,7302,12923,18544,1150591
110,111,19133,8329,13512,21840,30169,1150591
111,114,22935,7661,14606,22267,29928,1150591
121,32,21440,6619,8988,15606,22225,1150591
32,101,21548,6225,14930,21155,27380,1150591
101,115,13597,6616,7372,13987,20603,1150591
105,100,9900,2400,15400,17800,20200,1150591
105,100,9900,14600,15400,12200,26800,outlier
100,32,21600,17000,7000,24000,41000,outlier
109,121,5000,400,1500,1900,2300,outlier
121,32,600,300,200,500,800,outlier
32,97,37700,12800,37400,50200,63000,outlier
97,115,58700,11400,45900,57300,68700,outlier
115,115,21200,11600,9800,21400,33000,1150591
115,116,19120,6527,12504,19032,25559,1150591
116,111,9327,12895,2800,15695,28590,1150591
111,115,16034,6345,3139,9484,15829,1150591
115,32,18027,5042,11682,16724,21766,1150591
32,112,20917,8792,15875,24667,33459,1150591
112,117,25296,9079,16504,25583,34662,1150591
117,101,18883,6209,9804,16014,22223,1150591
101,100,17207,5314,10998,16312,21626,1150591
100,101,13893,5326,8579,13905,19231,1150591
101,110,8056,8645,2730,11375,20020,1150591
110,32,12187,7834,3542,11376,19210,1150591
32,116,15204,6328,7370,13698,20026,1150591
116,101,18333,8136,12005,20141,28277,1150591
101,110,8863,9362,727,10089,19451,1150591
110,114,12993,7540,3631,11171,18711,1150591
114,32,24544,8661,17004,25665,34326,1150591
32,115,57313,8133,48652,56785,64918,outlier
115,117,12574,8136,4440,12577,20713,1150591
115,32,24169,7031,15511,22541,29572,1150591
100,101,15612,5918,9415,15334,21252,1150591
101,114,15917,5101,9999,15100,20201,1150591
114,105,11776,11060,6675,17735,28795,1150591
