@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1130113', 'outlier'}

@DATA
101,99,17935,13093,8735,21827,34920,1130113
99,105,14085,13513,992,14505,28018,1130113
105,100,18778,9572,5266,14838,24410,1130113
100,105,10471,10672,899,11571,22243,1130113
105,32,25875,15120,15203,30323,45443,1130113
105,100,12920,11020,6590,17610,28630,1130113
97,100,6260,3610,7350,10960,14570,1130113
100,32,11110,4780,7500,12280,17060,1130113
100,32,11110,11970,7500,7190,19160,1130113
32,32,20010,5510,8040,13550,19060,1130113
32,100,7160,16040,1650,17690,33730,1130113
100,100,36790,4220,36120,40340,44560,outlier
100,100,14310,5550,10090,15640,21190,1130113
100,100,14430,6310,8880,15190,21500,1130113
100,100,25590,5560,19280,24840,30400,1130113
100,100,15990,5550,10430,15980,21530,1130113
100,100,13610,7950,8060,16010,23960,1130113
100,100,13690,7840,5740,13580,21420,1130113
100,100,15110,6750,7270,14020,20770,1130113
100,100,14400,5550,7650,13200,18750,1130113
100,100,25610,7180,20060,27240,34420,1130113
100,100,32110,4620,24930,29550,34170,1130113
115,97,50800,14600,35300,49900,64500,outlier
97,98,29900,9100,15300,24400,33500,1130113
98,105,28100,7900,19000,26900,34800,1130113
105,108,21700,8000,13800,21800,29800,1130113
108,105,17200,8700,9200,17900,26600,1130113
100,97,12100,4700,19100,23800,28500,1130113
97,100,16700,4400,12000,16400,20800,1130113
97,100,16700,15200,12000,10800,26000,1130113
32,32,19442,14206,8748,22953,37159,1130113
32,32,43925,9127,29719,38846,47973,1130113
32,237,24414,12078,15287,27365,39443,1130113
237,32,20718,11295,8640,19935,31230,1130113
117,117,41556,16371,31923,48294,64665,1130113
114,32,17055,13471,6850,20321,33792,1130113
32,112,14391,7519,920,8439,15958,1130113
110,32,13410,15150,8060,23210,38360,1130113
32,99,33250,13320,18100,31420,44740,1130113
99,97,17170,13550,3850,17400,30950,1130113
97,112,14370,7990,820,8810,16800,1130113
112,97,9040,14900,1050,15950,30850,1130113
97,99,59000,12710,44100,56810,69520,outlier
99,105,13590,7940,880,8820,16760,1130113
105,100,14450,7150,6510,13660,20810,1130113
97,100,12010,1010,19220,20230,21240,1130113
97,100,12010,9590,19220,8580,18170,1130113
111,114,10539,2582,22301,24883,27465,1130113
114,32,10418,1115,7836,8952,10067,1130113
114,32,10418,13138,7836,12023,25161,1130113
32,101,13982,11078,843,11922,23000,1130113
101,115,18957,11743,7878,19621,31364,1130113
115,116,20930,9037,9187,18224,27261,1130113
116,97,19937,1560,10901,12461,14021,1130113
97,32,14829,12688,13268,25956,38644,1130113
32,99,24022,9560,11334,20894,30454,1130113
99,97,19339,13141,9779,22920,36061,1130113
97,114,19445,8143,6304,14446,22589,1130113
114,114,16545,8533,8402,16935,25468,1130113
101,114,11018,999,17416,18415,19414,1130113
101,114,11018,7992,17416,6993,14985,1130113
114,44,19550,12863,11558,24421,37284,1130113
44,97,14703,11651,1840,13491,25142,1130113
97,97,30428,11542,18778,30320,41862,1130113
97,97,26424,15011,14882,29893,44904,1130113
97,97,25875,10101,10864,20965,31066,1130113
97,97,20059,11396,9958,21354,32750,1130113
100,32,12790,7970,3200,11170,19140,1130113
100,101,1400,5500,8860,14360,19860,1130113
100,101,1400,6340,8860,840,7180,1130113
101,101,15170,11960,8830,20790,32750,1130113
101,32,22380,8020,10420,18440,26460,1130113
32,32,11210,6310,8010,14320,20630,1130113
97,112,7270,630,57670,58300,58930,outlier
97,112,7270,11790,57670,11160,22950,outlier
97,97,12333,14070,937,15007,29077,1130113
97,44,28916,10066,14845,24911,34977,1130113
32,112,13951,1093,15376,16470,17563,1130113
32,112,13951,10054,15376,8961,19015,1130113
111,114,8813,2164,17750,19914,22078,1130113
111,114,8813,7773,17750,5610,13383,1130113
113,117,10776,4200,18655,22855,27055,1130113
113,117,10776,10607,18655,6408,17015,1130113
117,101,16000,10056,5393,15449,25505,1130113
101,32,10903,14682,847,15529,30211,1130113
112,114,18250,3980,6460,10440,14420,1130113
114,101,13590,10410,9610,20020,30430,1130113
101,110,11250,6320,840,7160,13480,1130113
110,100,12820,9480,6500,15980,25460,1130113
100,101,21020,6860,11540,18400,25260,1130113
101,114,16610,10290,9750,20040,30330,1130113
114,32,11930,10320,1640,11960,22280,1130113
32,112,54470,5450,44150,49600,55050,outlier
112,111,17040,6820,11590,18410,25230,1130113
111,32,17290,15200,10470,25670,40870,1130113
32,101,42970,8991,28288,37280,46271,1130113
101,115,30318,16616,21327,37944,54560,1130113
115,32,17438,12585,822,13406,25991,1130113
32,117,15943,9640,3358,12999,22639,1130113
110,97,11287,2632,16189,18822,21454,1130113
97,32,11057,2015,8425,10439,12454,1130113
97,32,11057,11518,8425,9503,21021,1130113
32,100,23177,11766,11660,23425,35191,1130113
100,101,23294,11415,11528,22943,34358,1130113
101,32,20780,11116,9365,20481,31597,1130113
108,97,9934,6121,24188,30308,36429,1130113
97,115,7043,7534,922,8456,15990,1130113
97,115,7043,14514,922,6981,21495,1130113
115,32,15397,18606,883,19489,38095,1130113
32,99,29056,11970,10450,22421,34391,1130113
111,115,13037,1559,17349,18908,20467,1130113
111,115,13037,12045,17349,10486,22531,1130113
97,115,14598,8399,15945,24343,32742,1130113
97,115,14598,12881,15945,4482,17363,1130113
115,32,50350,13500,37470,50970,64470,outlier
32,113,28283,18011,14782,32794,50805,1130113
113,117,19181,11263,1169,12433,23696,1130113
101,32,14397,1289,17248,18537,19826,1130113
32,109,14048,1095,12759,13855,14950,1130113
32,109,14048,13068,12759,11973,25041,1130113
109,101,16472,13536,3404,16940,30476,1130113
101,32,14300,10685,764,11449,22134,1130113
97,112,14478,1134,22843,23977,25111,1130113
112,97,13416,2158,12282,14440,16598,1130113
112,97,13416,16024,12282,13866,29890,1130113
111,32,27500,11900,16800,28700,40600,1130113
32,112,42100,13500,30200,43700,57200,1130113
105,101,15600,4700,21100,25800,30500,1130113
101,110,15200,6700,10500,17200,23900,1130113
110,116,13200,8700,6500,15200,23900,1130113
110,116,13200,18700,6500,10000,28700,1130113
32,32,16810,7920,8110,16030,23950,1130113
32,100,23990,15160,16070,31230,46390,1130113
100,101,16040,16710,880,17590,34300,1130113
101,32,18560,8520,1850,10370,18890,1130113
97,110,11930,5540,11140,16680,22220,1130113
97,110,11930,8750,11140,3210,11960,1130113
110,101,19510,7620,10760,18380,26000,1130113
97,115,32400,16117,16376,32493,48610,1130113
115,105,17115,9882,998,10880,20762,1130113
105,111,17750,10054,7867,17921,27975,1130113
110,97,8511,3477,13915,17392,20869,1130113
110,97,8511,14981,13915,11504,26485,1130113
104,97,10904,3126,22780,25906,29032,1130113
104,97,10904,12819,22780,9693,22512,1130113
97,99,17421,15174,4601,19775,34949,1130113
101,114,16820,2668,20673,23341,26009,1130113
101,114,18880,7940,11260,19200,27140,1130113
97,32,8090,3160,16130,19290,22450,1130113
97,32,8090,8680,16130,5520,14200,1130113
32,97,13590,20670,4910,25580,46250,1130113
97,117,51150,8890,30480,39370,48260,1130113
