@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1160737', 'outlier'}

@DATA
114,116,1830,705,1715,2420,3125,1160737
116,121,3147,781,2442,3223,4004,1160737
121,117,2489,598,1708,2306,2904,1160737
117,105,3204,570,2606,3176,3746,1160737
105,111,3186,612,2616,3228,3840,1160737
111,112,3973,1701,3361,5062,6763,1160737
115,44,23803,6331,13485,19816,26147,1160737
44,32,14805,11023,8474,19497,30520,1160737
32,101,7575,1064,18335,19398,20462,1160737
32,101,7575,7568,18335,6504,14072,1160737
101,115,16044,9015,8476,17492,26507,1160737
115,117,17293,10223,8277,18500,28723,1160737
117,110,47403,9425,37180,46605,56030,outlier
110,97,19079,5458,9654,15113,20571,1160737
97,97,28058,5174,22599,27773,32947,outlier
112,112,5614,1415,3913,5328,6743,1160737
112,112,5614,15858,3913,14443,30301,1160737
112,108,2334,646,4086,4732,5378,1160737
108,107,3229,166,2583,2749,2915,1160737
108,107,3229,2420,2583,2254,4674,1160737
110,98,2395,633,4782,5415,6048,1160737
98,118,3170,625,2538,3163,3788,1160737
118,99,3210,623,2585,3207,3830,1160737
99,120,3190,623,2567,3190,3813,1160737
120,122,4023,651,3400,4051,4702,1160737
107,106,780,3750,12180,3190,6940,1160737
107,106,780,4540,12180,790,5330,1160737
106,97,10410,7770,5870,13640,21410,1160737
97,32,12010,7780,4240,12020,19800,1160737
32,106,43240,4530,35460,39990,44520,outlier
97,106,8760,1380,15410,16790,18170,1160737
97,106,8760,6190,15410,4810,11000,1160737
97,106,4820,3750,11450,15200,18950,1160737
97,106,4820,6140,11450,2390,8530,1160737
97,106,2410,7760,9060,16820,24580,1160737
108,32,24200,19810,3498,23308,43118,outlier
32,116,48643,13051,28832,41883,54934,outlier
116,111,13571,21266,520,21786,43052,outlier
121,97,6061,6308,30651,36959,43267,outlier
121,97,6061,12973,30651,6665,19638,outlier
97,121,18383,9663,5410,15073,24736,1160737
97,121,9032,1695,11878,13573,15268,1160737
97,121,9032,11132,11878,9437,20569,1160737
97,121,8056,3665,13401,17066,20731,1160737
97,121,8056,11661,13401,7997,19658,1160737
122,97,4824,14327,4174,18501,32828,1160737
115,120,197,172,403,575,747,1160737
120,98,9479,94,9307,9401,9495,1160737
120,98,9479,101,9307,6,107,1160737
98,110,1431,1418,1330,2748,4166,1160737
110,109,3159,1416,1742,3157,4573,1160737
109,44,4771,1426,3355,4782,6208,1160737
109,44,4771,13444,3355,12018,25462,1160737
44,109,14435,2991,991,3982,6973,1160737
110,98,2398,220,3424,3644,3864,1160737
114,116,363,14413,627,763,15176,1160737
116,111,44403,11845,29990,41835,53680,outlier
120,109,14259,2070,19311,21381,23451,1160737
109,119,4221,5862,2151,8013,13875,1160737
119,102,9404,5240,3542,8783,14023,1160737
50,51,913,7016,13239,20255,27271,1160737
51,53,20701,3683,13685,17368,21051,1160737
51,53,20701,7129,13685,3445,10574,1160737
106,100,3116,5349,13596,18946,24295,1160737
110,32,18538,8673,11987,20659,29332,1160737
109,105,14690,13589,58545,4006,17595,outlier
105,32,25452,11666,11863,23530,35196,1160737
99,97,16094,3557,27356,30913,34470,1160737
99,97,16094,17056,27356,13499,30555,1160737
97,109,19906,10792,2850,13642,24434,1160737
109,97,17766,12994,6974,19968,32962,1160737
98,103,1570,2399,1350,3749,6148,1160737
103,102,2604,140,204,344,484,1160737
102,100,2158,1436,2018,3455,4891,1160737
100,115,5583,1461,4147,5608,7069,1160737
115,119,4891,2214,3430,5644,7858,1160737
119,100,4762,632,2548,3180,3812,1160737
119,100,4762,3837,2548,3204,7041,1160737
102,114,184,10093,392,10485,20578,1160737
114,107,10277,138,184,322,460,1160737
107,108,1491,598,1353,1951,2549,1160737
97,106,2410,9310,9060,1550,10860,1160737
97,106,3210,3750,9900,13650,17400,1160737
97,106,3210,6920,9900,3170,10090,1160737
97,106,2530,4460,9970,14430,18890,1160737
97,106,2530,7650,9970,3190,10840,1160737
97,106,4780,4520,10630,15150,19670,1160737
97,106,4780,7760,10630,3240,11000,1160737
97,106,4010,3750,11460,15210,18960,1160737
97,106,4010,6140,11460,2390,8530,1160737
97,106,4780,2950,12260,15210,18160,1160737
108,241,5564,3061,4966,8027,11088,1160737
108,241,5564,9481,4966,6420,15901,1160737
106,100,9674,169,12220,12389,12558,1160737
100,114,307,270,138,408,678,1160737
100,114,307,2655,138,2385,5040,1160737
115,119,3706,3310,3888,7198,10508,1160737
119,100,4290,1416,980,2396,3812,1160737
100,102,3464,1180,2049,3228,4408,1160737
100,102,3464,5201,2049,4021,9222,1160737
104,106,713,692,851,1543,2235,1160737
111,117,59200,11100,32100,43200,54300,outlier
117,117,20800,8700,9700,18400,27100,1160737
117,117,18400,9500,9700,19200,28700,1160737
117,115,21500,10400,12000,22400,32800,1160737
115,115,20900,7100,10500,17600,24700,1160737
115,115,18400,4700,11300,16000,20700,1160737
115,115,18400,7100,13700,20800,27900,1160737
999999999,999999999,21063,8400,8393,16793,25193,1160737
999999999,999999999,21063,10732,8393,2333,13065,1160737
999999999,118,14744,9779,4012,13791,23570,1160737
121,106,35376,14124,23715,37839,51963,outlier
106,32,15959,17193,1835,19029,36222,1160737
98,100,2132,8567,15741,24308,32875,1160737
98,100,2132,11308,15741,2741,14049,1160737
105,98,1604,1967,19779,21745,23712,1160737
105,98,1604,5864,19779,3897,9761,1160737
105,98,1604,7370,19779,1506,8876,1160737
105,98,1604,7891,19779,521,8412,1160737
65,70,558,7131,5411,12542,19673,1160737
65,70,558,7562,5411,431,7993,1160737
106,100,3116,13390,13596,8041,21431,1160737
101,117,4015,5494,5851,11345,16839,1160737
117,102,8851,2849,3357,6206,9055,1160737
102,56,13626,8696,10777,19474,28170,1160737
102,56,13626,12652,10777,3955,16607,1160737
51,50,814,2436,13792,16228,18664,1160737
51,50,814,5243,13792,2807,8050,1160737
50,32,15966,9488,10723,20211,29699,1160737
119,101,2235,1466,25527,26993,28459,1160737
119,101,2235,4829,25527,3363,8192,1160737
106,107,2427,808,1735,2543,3351,1160737
107,108,1598,855,789,1644,2499,1160737
108,241,4099,1365,3244,4609,5974,1160737
241,46,3960,4629,2596,7225,11854,1160737
46,108,5547,647,918,1565,2212,1160737
46,108,5547,3084,918,2437,5521,1160737
100,101,209,5266,8391,13657,18923,1160737
100,101,209,5277,8391,11,5288,1160737
115,119,170,5196,331,5528,10724,1160737
101,100,795,195,1771,1966,2161,1160737
97,97,12702,5568,7527,13095,18663,1160737
97,97,12323,7552,6755,14307,21859,1160737
97,97,11129,8916,6533,15450,24366,1160737
97,109,50159,8631,41243,49874,58505,outlier
101,32,5956,2384,11711,14095,16479,1160737
101,32,5956,11581,11711,9197,20778,1160737
32,112,21017,11170,9436,20606,31776,1160737
117,101,5616,3432,14732,18164,21596,1160737
117,101,5616,7183,14732,3751,10934,1160737
97,106,4780,6920,12260,3970,10890,1160737
97,106,7200,1370,13860,15230,16600,1160737
97,106,7200,5360,13860,3990,9350,1160737
97,106,8010,1330,13860,15190,16520,1160737
97,106,8010,6120,13860,4790,10910,1160737
97,106,8020,2130,13880,16010,18140,1160737
97,106,8020,6150,13880,4020,10170,1160737
97,106,6400,2120,12240,14360,16480,1160737
97,106,6400,6960,12240,4840,11800,1160737
97,106,7200,2190,12220,14410,16600,1160737
65,70,558,7947,5411,385,8332,1160737
66,85,574,5338,2819,8157,13495,1160737
66,85,574,7404,2819,2066,9470,1160737
66,85,574,8419,2819,1015,9434,1160737
66,85,574,9476,2819,1057,10533,1160737
101,102,463,7538,9452,16990,24528,1160737
101,102,463,8120,9452,582,8702,1160737
101,102,463,8521,9452,400,8921,1160737
105,98,603,5212,1770,6982,12194,1160737
