@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1170541', 'outlier'}

@DATA
0,0,15190,6410,11290,17700,24110,1170541
0,0,12780,5520,6370,11890,17410,1170541
0,0,13690,5480,8170,13650,19130,1170541
0,0,14300,4730,8820,13550,18280,1170541
0,0,16070,3850,11340,15190,19040,1170541
0,0,13810,3800,8900,12700,16500,1170541
0,0,14340,4330,10540,14870,19200,1170541
0,0,15430,3680,11100,14780,18460,1170541
0,0,15490,5870,11810,17680,23550,1170541
0,0,17220,4570,11350,15920,20490,1170541
0,0,15140,5430,10570,16000,21430,1170541
0,0,18010,2700,12580,15280,17980,1170541
100,97,10542,10719,33187,9064,19783,outlier
97,46,20132,7148,9413,16560,23708,1170541
46,32,23549,9209,16401,25610,34819,1170541
67,117,15523,9176,3264,12440,21616,1170541
32,99,33750,18360,19240,37600,55960,outlier
105,32,15800,1780,11940,13720,15500,1170541
32,97,11320,4760,9540,14300,19060,1170541
32,97,11320,10980,9540,6220,17200,1170541
97,125,30300,9510,19320,28830,38340,1170541
125,125,18380,8010,8870,16880,24890,1170541
125,125,57040,2980,49030,52010,54990,outlier
125,125,11050,6380,8070,14450,20830,1170541
117,97,12074,7216,2898,10114,17330,1170541
97,110,17620,12198,10404,22602,34800,1170541
110,100,14045,7162,1847,9009,16171,1170541
100,32,21757,13122,14595,27717,40839,1170541
32,32,38611,8190,25489,33679,41869,outlier
111,32,5985,3661,22443,26103,29764,1170541
111,32,5985,9690,22443,6029,15719,1170541
108,97,5755,1673,15072,16745,18418,1170541
108,97,5755,8735,15072,7062,15797,1170541
97,32,19061,10134,10326,20460,30594,1170541
125,125,14630,5340,8250,13590,18930,1170541
125,125,41290,8750,35950,44700,53450,outlier
125,100,20060,15830,11310,27140,42970,outlier
32,115,23200,16780,10020,26800,43580,outlier
111,32,12460,780,14050,14830,15610,1170541
111,32,12460,13110,14050,12330,25440,1170541
98,118,710,5610,11830,17440,23050,1170541
98,118,710,5750,11830,140,5890,1170541
118,101,7610,14150,1860,16010,30160,1170541
32,103,41263,7077,31129,38206,45283,outlier
103,101,14944,6178,7867,14046,20224,1170541
101,110,13626,8888,7447,16336,25224,1170541
116,101,7989,2590,13910,16500,19090,1170541
116,101,7989,7049,13910,4459,11508,1170541
32,112,2946,3690,11355,15045,18735,1170541
32,112,2946,5182,11355,1493,6675,1170541
112,112,45182,6172,40000,46171,52343,outlier
112,109,22204,7729,16033,23762,31491,1170541
109,101,9071,7114,1341,8455,15569,1170541
101,32,19069,7685,11955,19641,27326,1170541
32,112,54688,7088,47002,54090,61178,outlier
114,101,8119,5182,38211,43393,48575,outlier
114,101,8119,12747,38211,7565,20312,outlier
101,101,52719,6162,39972,46134,52296,outlier
101,101,14048,7351,7886,15237,22588,1170541
101,101,15696,6689,8344,15034,21723,1170541
101,100,39652,7174,32963,40137,47311,outlier
100,105,14161,7040,6987,14027,21067,1170541
99,101,7870,6118,14427,20546,26664,1170541
99,101,7870,12007,14427,5888,17895,1170541
101,32,15502,8349,3496,11845,20194,1170541
32,113,11269,7703,2920,10623,18326,1170541
113,117,13043,6165,5340,11505,17670,1170541
117,101,9026,6703,2861,9564,16267,1170541
101,32,12459,9286,5756,15042,24328,1170541
32,109,19648,8188,10362,18550,26738,1170541
109,101,12563,7199,4375,11575,18774,1170541
101,32,20222,6971,13023,19995,26966,1170541
32,100,54735,7179,47764,54943,62122,outlier
101,101,14010,5920,8890,14810,20730,1170541
101,99,44570,13470,28930,42400,55870,outlier
99,117,14360,8180,890,9070,17250,1170541
97,115,9140,3620,13910,17530,21150,1170541
97,115,9140,15530,13910,11910,27440,outlier
115,101,30000,14470,14470,28940,43410,1170541
101,101,12670,4860,10040,14900,19760,1170541
100,101,17537,5224,10358,15583,20807,1170541
101,115,16098,8251,10874,19125,27376,1170541
115,99,20171,8780,11920,20700,29480,1170541
99,114,17663,9181,8882,18063,27244,1170541
114,105,19533,8209,10352,18561,26770,1170541
98,115,21048,5658,13397,19055,24713,1170541
115,115,48172,10333,42514,52847,63180,outlier
115,97,13674,9223,3341,12563,21786,1170541
97,32,14061,7665,4838,12503,20168,1170541
32,111,22609,7668,14944,22612,30280,1170541
111,32,21504,7694,13836,21531,29225,1170541
32,113,11766,10976,4072,15048,26024,1170541
113,117,12381,7632,1405,9037,16669,1170541
117,101,10827,6517,3195,9712,16229,1170541
101,32,13981,10687,7464,18151,28838,1170541
32,101,34588,5677,23901,29578,35255,1170541
101,115,18069,6660,12392,19052,25712,1170541
115,99,18575,9225,11915,21140,30365,1170541
99,114,19013,6461,9788,16249,22710,1170541
114,105,12351,7641,5890,13531,21172,1170541
105,98,19526,5671,11886,17557,23228,1170541
98,97,7515,7185,1844,9030,16215,1170541
97,32,17523,7230,10337,17567,24797,1170541
117,110,5030,6168,20943,27111,33279,1170541
117,110,5030,10840,20943,4672,15512,1170541
110,32,31794,9178,20954,30132,39310,1170541
32,101,18561,7218,9383,16601,23819,1170541
101,110,40741,8727,33523,42250,50977,outlier
110,115,19970,14472,11243,25715,40187,1170541
115,97,57092,11538,42620,54158,65696,outlier
111,32,9514,4224,21399,25622,29846,1170541
111,32,9514,12766,21399,8542,21308,1170541
32,115,21860,8411,9094,17505,25916,1170541
115,111,14288,7187,5877,13064,20251,1170541
111,98,21738,8233,14550,22783,31016,1170541
114,101,7898,7187,12381,19568,26755,1170541
114,101,7898,10716,12381,3530,14246,1170541
101,32,15569,9193,4853,14046,23239,1170541
32,109,16072,7147,6879,14025,21172,1170541
109,109,24063,8231,16917,25148,33379,1170541
109,237,20953,6530,12722,19252,25782,1170541
237,44,22439,8652,15909,24561,33213,1170541
44,32,18031,8677,9379,18056,26733,1170541
32,116,39135,7707,30458,38165,45872,outlier
116,97,20779,11094,13072,24166,35260,1170541
97,114,17952,6682,6858,13539,20221,1170541
114,100,18668,8193,11986,20179,28372,1170541
111,32,6998,3132,12404,15535,18667,1170541
111,32,6998,9702,12404,6571,16273,1170541
32,101,18523,9276,8821,18097,27373,1170541
110,32,7462,1627,16185,17812,19439,1170541
110,32,7462,10071,16185,8444,18515,1170541
101,114,9547,3670,19867,23537,27207,1170541
101,114,9547,8194,19867,4525,12719,1170541
114,114,50178,8024,41983,50007,58031,outlier
114,114,14531,5731,6867,12598,18329,1170541
114,114,10997,5164,5266,10430,15594,1170541
114,114,13465,5046,8301,13347,18393,1170541
114,114,12397,7169,7352,14520,21689,1170541
114,109,52157,8724,44988,53712,62436,outlier
109,117,19680,7125,10956,18081,25206,1170541
117,99,19890,7957,12765,20723,28680,1170541
104,111,10514,2246,16869,19115,21361,1170541
104,111,10514,13775,16869,11529,25304,1170541
111,32,17580,12703,3805,16508,29211,1170541
32,112,14030,11694,1326,13021,24715,1170541
112,101,13114,5139,1420,6559,11698,1170541
101,110,12058,8078,6918,14997,23075,1170541
110,97,29737,8186,21658,29844,38030,1170541
97,110,17056,7694,8870,16564,24258,1170541
110,110,17029,7167,9348,16516,23683,1170541
115,97,8012,6196,18893,25089,31285,1170541
115,97,8012,11692,18893,5497,17189,1170541
97,100,30052,4257,18359,22616,26873,1170541
100,100,30860,7676,26603,34279,41955,outlier
100,110,26445,7223,18769,25992,33215,1170541
110,100,12675,7200,5452,12652,19852,1170541
112,32,9074,4168,14922,19090,23258,1170541
32,101,10037,1618,5869,7487,9105,1170541
32,101,10037,6179,5869,4561,10740,1170541
110,32,7075,4098,17047,21145,25243,1170541
110,32,7075,11116,17047,7018,18134,1170541
32,113,11319,9443,204,9647,19090,1170541
113,113,14548,11300,8254,19554,30854,1170541
113,113,18555,9794,7254,17048,26842,1170541
113,113,18574,6787,8780,15567,22354,1170541
113,113,17965,5426,11177,16604,22030,1170541
113,111,6038,3650,46859,50509,54159,outlier
113,111,6038,7680,46859,4031,11711,outlier
111,111,28737,16381,21057,37438,53819,outlier
117,117,38111,8453,31440,39893,48346,outlier
117,233,8687,8234,234,8468,16702,1170541
233,32,28622,10209,20388,30597,40806,1170541
101,101,14530,5410,9670,15080,20490,1170541
101,101,14330,6250,8920,15170,21420,1170541
117,115,12380,11010,980,11990,23000,1170541
101,32,9330,5710,20720,26430,32140,1170541
101,32,9330,14590,20720,8880,23470,1170541
32,32,15150,6360,8080,14440,20800,1170541
32,32,12270,10130,5910,16040,26170,1170541
32,101,33154,7154,22945,30099,37253,1170541
101,115,19427,9209,12273,21482,30691,1170541
115,99,20393,9659,11183,20842,30501,1170541
99,114,19032,7176,9373,16549,23725,1170541
114,105,16550,6166,9374,15540,21706,1170541
98,105,8443,4175,31863,36039,40214,outlier
98,105,8443,14859,31863,10684,25543,outlier
105,114,21017,7538,6158,13695,21233,1170541
114,114,13598,5272,12893,18165,23437,1170541
32,32,18150,6310,8020,14330,20640,1170541
32,32,13610,8710,7300,16010,24720,1170541
32,32,14380,9530,5670,15200,24730,1170541
32,32,18410,7920,8880,16800,24720,1170541
32,32,14390,9530,6470,16000,25530,1170541
32,32,12790,9550,3260,12810,22360,1170541
32,108,21620,7920,8920,16840,24760,1170541
108,105,20010,3880,12090,15970,19850,1170541
105,105,47250,4670,32930,37600,42270,outlier
101,32,13600,3950,32060,36010,39960,outlier
101,32,13600,14370,32060,10420,24790,outlier
32,32,15160,3930,10490,14420,18350,1170541
32,32,12830,6300,8900,15200,21500,1170541
114,114,18182,5183,12910,18093,23276,1170541
114,114,17714,5512,12531,18043,23555,1170541
32,111,9001,1210,18850,20060,21270,1170541
32,111,9001,8700,18850,7490,16190,1170541
111,32,41122,9717,32423,42140,51857,outlier
32,116,17982,4292,8266,12558,16850,1170541
116,97,19864,9694,15571,25265,34959,1170541
97,109,13538,10710,3844,14554,25264,1170541
109,98,25079,7617,14370,21987,29604,1170541
98,105,12064,6718,4447,11165,17883,1170541
105,105,22550,8697,15832,24529,33226,1170541
105,233,8917,10952,219,11171,22123,1170541
110,32,6974,3222,15904,19127,22349,1170541
110,32,6974,10167,15904,6945,17112,1170541
99,117,14052,8205,5850,14055,22260,1170541
117,97,11703,8202,3497,11699,19901,1170541
97,110,13590,7711,5389,13100,20811,1170541
110,100,13534,7163,5823,12987,20150,1170541
111,118,28880,9460,19360,28820,38280,1170541
118,101,15130,15090,5670,20760,35850,1170541
101,32,16010,11970,920,12890,24860,1170541
32,32,13550,5520,8890,14410,19930,1170541
32,32,15200,7130,9680,16810,23940,1170541
32,32,15170,5540,8040,13580,19120,1170541
32,32,15210,6320,9670,15990,22310,1170541
32,32,17610,4790,11290,16080,20870,1170541
100,32,19456,10798,12293,23090,33888,1170541
32,32,49635,8551,38837,47389,55940,outlier
111,32,8113,3582,23992,27574,31156,1170541
111,32,8113,9613,23992,6031,15644,1170541
114,101,7707,4530,7934,12465,16995,1170541
114,101,7707,8569,7934,4038,12607,1170541
101,115,19494,9044,10926,19970,29014,1170541
115,112,11565,9189,2521,11709,20898,1170541
111,110,11658,1392,15521,16913,18305,1170541
111,110,11658,12799,15521,11407,24206,1170541
110,100,26633,8677,13834,22512,31189,1170541
111,32,7501,2674,9383,12057,14731,1170541
111,32,7501,9722,9383,7048,16770,1170541
32,32,16162,8146,7848,15994,24140,1170541
32,32,16571,5688,8425,14113,19801,1170541
32,32,15579,3869,9891,13761,17630,1170541
32,32,11348,5515,7479,12994,18509,1170541
32,32,11914,6558,6399,12958,19516,1170541
32,32,25047,5678,18488,24166,29844,1170541
32,32,14035,5683,8357,14040,19723,1170541
32,32,19183,10128,13501,23628,33756,1170541
109,101,12578,7711,2841,10552,18263,1170541
101,32,14396,9063,6685,15748,24811,1170541
32,112,22932,8683,13869,22552,31235,1170541
114,101,10594,5181,20922,26103,31284,1170541
114,101,10594,12210,20922,7029,19239,1170541
101,101,31329,9499,19119,28618,38117,1170541
101,101,19464,4779,9965,14744,19523,1170541
101,101,14779,7118,10000,17118,24236,1170541
101,100,53506,7744,46388,54132,61876,outlier
100,105,12081,10702,4337,15039,25741,1170541
99,101,8111,4169,14129,18298,22467,1170541
99,101,8111,10691,14129,6523,17214,1170541
110,32,10627,1203,10848,12052,13255,1170541
110,32,10627,11617,10848,10414,22031,1170541
32,113,14060,9765,2442,12208,21973,1170541
113,117,13043,8172,3277,11449,19621,1170541
117,101,8369,6848,197,7046,13894,1170541
101,32,19751,9186,12903,22088,31274,1170541
114,101,10497,3593,43187,46780,50373,outlier
114,101,10497,10715,43187,7122,17837,outlier
101,108,20580,6095,9866,15961,22056,1170541
108,108,15036,7251,8941,16192,23443,1170541
108,101,14177,6578,6926,13504,20082,1170541
101,110,10438,6638,3860,10498,17136,1170541
110,101,10321,6688,3683,10371,17059,1170541
101,32,14970,8172,8282,16453,24625,1170541
117,110,7114,4176,18413,22590,26766,1170541
117,110,7114,8682,18413,4506,13188,1170541
110,97,8933,9776,250,10027,19803,1170541
97,32,33519,10096,23743,33839,43935,1170541
32,101,19943,5706,9846,15552,21258,1170541
101,110,23835,6550,18129,24678,31228,1170541
110,99,19457,7124,12907,20031,27155,1170541
99,117,11542,8160,4419,12579,20739,1170541
117,101,15727,6553,7566,14119,20672,1170541
101,115,17396,7832,10842,18674,26506,1170541
115,116,20327,3148,12496,15644,18792,1170541
116,97,18037,6128,14889,21017,27145,1170541
97,44,22589,4609,16461,21070,25679,1170541
44,32,40599,4540,35990,40530,45070,outlier
97,114,21091,1657,11419,13076,14733,1170541
114,100,18139,6291,16482,22772,29063,1170541
100,111,18685,7667,12395,20061,27728,1170541
111,32,16950,8850,9283,18133,26983,1170541
32,101,12657,4647,3807,8454,13101,1170541
101,110,11530,9241,6882,16124,25365,1170541
32,32,41680,11060,36890,47950,59010,outlier
105,112,43120,15410,24850,40260,55670,outlier
112,112,44840,13500,35270,48770,62270,outlier
105,110,7960,3130,880,4010,7140,1170541
105,110,7960,11150,880,8020,19170,1170541
101,32,2400,2300,20080,22380,24680,1170541
101,32,2400,12710,20080,10410,23120,1170541
110,110,14500,6790,6711,13502,20292,1170541
110,110,15576,7326,8786,16112,23438,1170541
110,110,14583,5275,7257,12532,17807,1170541
110,110,13814,4203,8539,12743,16946,1170541
110,110,12471,5303,8268,13571,18874,1170541
110,110,14043,6237,8740,14978,21215,1170541
110,116,12840,7695,6603,14298,21993,1170541
116,116,16235,2344,8539,10883,13227,1170541
32,112,28218,9226,22105,31330,40556,1170541
112,101,17624,9647,8398,18045,27692,1170541
101,110,16237,8941,6590,15531,24472,1170541
110,115,10770,8687,1828,10515,19202,1170541
115,97,41170,6446,32483,38929,45375,outlier
97,114,10124,13385,3678,17063,30448,1170541
114,32,33369,9614,19984,29598,39212,1170541
117,110,7406,5710,23883,29594,35304,1170541
117,110,7406,9259,23883,3549,12808,1170541
110,97,9500,9200,241,9441,18641,1170541
97,32,19171,9655,9972,19626,29281,1170541
114,101,6414,4178,11062,15239,19417,1170541
114,101,6414,6716,11062,2538,9254,1170541
101,115,17118,10229,10403,20632,30861,1170541
115,112,10406,7272,176,7448,14720,1170541
112,117,18135,5667,10864,16531,22198,1170541
117,101,5948,6750,281,7031,13781,1170541
101,115,20261,9098,13511,22609,31707,1170541
115,116,19207,1158,10110,11268,12426,1170541
116,97,13500,6102,12342,18443,24545,1170541
97,32,16624,9602,10522,20124,29726,1170541
112,111,8039,3187,12391,15578,18765,1170541
112,111,8039,8190,12391,5003,13193,1170541
114,113,17848,8698,9361,18060,26758,1170541
113,117,12533,7685,3835,11520,19205,1170541
117,101,10027,6708,2342,9050,15758,1170541
101,32,14104,8177,7396,15574,23751,1170541
110,111,7132,5563,18725,24288,29851,1170541
110,111,7132,11584,18725,6021,17605,1170541
111,32,20868,10773,9285,20058,30831,1170541
32,109,34683,8679,23910,32590,41269,1170541
109,101,10021,6558,1341,7900,14458,1170541
101,32,16112,10192,9553,19745,29937,1170541
32,103,45391,7634,35200,42834,50468,outlier
117,115,8010,1242,12888,14129,15371,1170541
117,115,8010,11178,12888,9936,21114,1170541
115,116,19049,5704,7872,13575,19279,1170541
116,97,16170,8090,10466,18556,26646,1170541
97,32,13186,9132,5096,14229,23361,1170541
112,101,15509,7705,3879,11584,19289,1170541
101,98,36206,3598,28502,32100,35698,outlier
98,98,43265,11184,39666,50851,62035,outlier
98,110,25071,9172,13887,23059,32231,1170541
115,97,8037,6200,11891,18092,24292,1170541
115,97,8037,14227,11891,8026,22253,1170541
97,114,24305,5228,10079,15306,20534,1170541
114,32,14615,8520,9388,17908,26428,1170541
32,109,21017,10059,12497,22556,32615,1170541
109,117,22573,9150,12514,21664,30814,1170541
117,121,14519,7529,5369,12898,20427,1170541
121,32,25622,9432,18094,27525,36957,1170541
32,114,23640,6697,14208,20905,27602,1170541
97,97,46853,9255,38132,47387,56642,outlier
97,225,9495,7714,240,7954,15668,1170541
225,112,12067,8233,4353,12586,20819,1170541
112,105,18594,6183,10361,16544,22727,1170541
105,100,26096,7685,19913,27598,35283,1170541
100,111,9625,14467,1940,16407,30874,1170541
111,44,16283,9610,1816,11426,21036,1170541
44,32,23503,8176,13893,22069,30245,1170541
101,98,27573,11198,12366,23564,34762,1170541
111,32,1979,6214,4825,11039,17253,1170541
111,32,1979,11741,4825,5527,17268,1170541
100,101,17613,5644,9390,15034,20678,1170541
101,32,9894,8790,4251,13040,21830,1170541
32,99,12199,7166,3410,10575,17741,1170541
111,110,9320,3377,14186,17563,20940,1170541
111,110,9320,8081,14186,4705,12786,1170541
110,115,10431,7792,2349,10141,17933,1170541
115,105,17544,9686,9752,19438,29124,1170541
105,114,19564,8185,9878,18063,26248,1170541
114,100,7055,1138,34006,35144,36282,outlier
114,100,7055,8675,34006,7538,16213,outlier
101,32,2400,17530,20080,4820,22350,outlier
32,32,14330,5530,10470,16000,21530,1170541
32,32,15260,4670,9730,14400,19070,1170541
32,32,16010,3850,11340,15190,19040,1170541
32,32,20790,5490,16940,22430,27920,1170541
32,32,16770,4690,11280,15970,20660,1170541
100,101,29699,8190,21024,29214,37404,1170541
101,114,27678,4656,19488,24144,28800,1170541
114,97,6536,2671,33478,36149,38820,outlier
114,97,6536,13682,33478,11010,24692,outlier
97,97,44830,7216,31148,38364,45580,outlier
97,97,17067,6160,9851,16011,22171,1170541
97,97,9523,9682,3363,13045,22727,1170541
97,114,10221,14038,539,14577,28615,1170541
114,32,38379,10956,24341,35297,46253,1170541
32,109,26920,10563,15964,26527,37090,1170541
109,117,19476,9648,8913,18561,28209,1170541
117,99,21048,6701,11400,18101,24802,1170541
99,104,11142,8105,4441,12547,20652,1170541
97,115,5072,6492,6933,13424,19916,1170541
97,115,5072,10852,6933,4360,15212,1170541
115,32,17798,10646,6946,17593,28239,1170541
111,112,8561,7643,19896,27539,35182,1170541
111,112,8561,12662,19896,5019,17681,1170541
112,99,20583,8148,7921,16070,24218,1170541
111,110,7481,6197,21420,27617,33814,1170541
111,110,7481,7977,21420,1779,9756,1170541
110,101,10890,4864,2913,7777,12641,1170541
110,101,10890,6133,2913,1270,7403,1170541
101,115,19565,8021,13431,21452,29473,1170541
32,44,11357,10291,230,10522,20813,1170541
44,44,30302,6102,20011,26113,32215,1170541
44,44,15710,8667,9608,18275,26942,1170541
44,44,8918,8290,250,8541,16831,1170541
44,32,22303,7102,14013,21115,28217,1170541
13,13,22280,10310,14480,24790,35100,1170541
13,13,36780,13550,26470,40020,53570,outlier
13,13,53690,10280,29700,39980,50260,outlier
102,103,600,3320,2410,5730,9050,1170541
102,103,600,4810,2410,1490,6300,1170541
102,103,600,5550,2410,740,6290,1170541
103,115,13300,5900,7750,13650,19550,1170541
115,103,6720,8800,820,9620,18420,1170541
117,115,2410,760,7280,8040,8800,1170541
117,115,2410,3850,7280,3090,6940,1170541
32,97,15427,11201,8325,19525,30726,1170541
