@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1170145', 'outlier'}

@DATA
121,121,33550,4170,28700,32870,37040,1170145
101,32,8090,1095,15849,16944,18039,1170145
101,32,8090,8556,15849,7461,16017,1170145
32,113,13427,14545,4871,19416,33961,1170145
113,117,19487,11191,4943,16133,27324,1170145
117,101,28390,14044,17199,31243,45287,1170145
101,32,15457,15519,1412,16931,32450,1170145
32,97,28267,14833,12749,27582,42415,1170145
97,97,42799,15127,27966,43093,58220,1170145
97,115,16162,13972,1033,15004,28976,1170145
111,121,31150,6290,20810,27100,33390,1170145
121,32,16840,10020,10550,20570,30590,1170145
32,109,21530,10330,11510,21840,32170,1170145
109,101,15220,9070,4890,13960,23030,1170145
101,32,10550,9380,1480,10860,20240,1170145
115,105,6520,2170,24210,26380,28550,1170145
115,105,6520,9450,24210,7280,16730,1170145
101,110,1670,9970,7300,17270,27240,1170145
101,110,1670,21580,7300,11610,33190,outlier
116,111,850,7850,12030,19880,27730,1170145
115,115,20276,12849,6305,19154,32003,1170145
115,237,26427,10593,13578,24171,34764,1170145
32,112,9521,2393,16482,18874,21267,1170145
32,112,9521,8399,16482,6006,14405,1170145
111,100,5422,6184,14313,20497,26681,1170145
111,100,5422,9583,14313,3400,12983,1170145
100,114,15996,8548,6413,14962,23510,1170145
114,101,14431,12733,5883,18616,31349,1170145
101,32,17442,12038,4708,16747,28785,1170145
32,97,15865,15173,3827,18999,34172,1170145
