@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1100746', 'outlier'}

@DATA
77,69,11492,12758,1018,9668,22426,1100746
69,32,19828,8424,7070,15493,23917,1100746
32,32,58389,8963,49965,58928,67891,outlier
32,32,15957,6806,6994,13799,20605,1100746
32,32,17926,2984,11120,14104,17088,1100746
32,101,7525,9380,4541,13921,23301,1100746
108,97,8800,9600,1400,11000,20600,1100746
97,118,22400,8000,12800,20800,28800,1100746
118,105,16100,6000,8100,14100,20100,1100746
105,116,13100,6000,7100,13100,19100,1100746
116,111,9500,6100,3500,9600,15700,1100746
111,32,20500,19800,14400,34200,54000,outlier
100,101,8000,5100,19300,24400,29500,1100746
101,32,10800,2000,5700,7700,9700,1100746
101,32,10800,8700,5700,6700,15400,1100746
32,99,13100,8700,4400,13100,21800,1100746
105,32,24592,8349,16959,25307,33656,1100746
32,109,20693,6268,12344,18613,24881,1100746
109,109,19718,6140,13450,19590,25730,1100746
109,97,16853,13212,11303,24515,37727,1100746
97,109,22030,7031,8819,15849,22880,1100746
109,97,10504,8387,3473,11860,20247,1100746
97,32,18934,6344,10547,16891,23235,1100746
32,99,29636,11732,23292,35024,46756,outlier
99,117,20085,5603,8353,13956,19559,1100746
101,114,19990,8010,11140,19150,27160,1100746
111,32,10230,860,17220,18080,18940,outlier
111,32,10230,18500,17220,17640,36140,outlier
32,102,26590,9460,8090,17550,27010,1100746
102,117,16470,8730,7010,15740,24470,1100746
117,101,9890,9390,1160,10550,19940,1100746
101,114,17540,8800,8150,16950,25750,1100746
114,97,30030,9340,21230,30570,39910,1100746
115,32,11800,13100,400,13500,26600,1100746
100,105,11900,2900,13900,16800,19700,1100746
100,105,11900,8300,13900,5400,13700,1100746
105,110,26000,9900,17700,27600,37500,1100746
110,101,14800,8700,4900,13600,22300,1100746
101,114,19100,14400,10400,24800,39200,1100746
114,111,15800,7000,1400,8400,15400,1100746
110,110,37730,6690,34150,40840,47530,outlier
121,32,11650,7130,2860,9990,17120,1100746
32,109,15640,6310,8510,14820,21130,1100746
101,32,7540,350,14380,14730,15080,outlier
101,32,7540,5190,14380,4840,10030,1100746
32,112,8840,9520,3650,13170,22690,1100746
112,117,20430,8310,10910,19220,27530,1100746
117,115,13970,7150,5660,12810,19960,1100746
99,111,9100,11600,400,12000,23600,1100746
111,108,25200,7500,13600,21100,28600,1100746
108,111,17800,6600,10300,16900,23500,1100746
111,114,15300,7300,8700,16000,23300,1100746
114,32,11600,7700,4300,12000,19700,1100746
32,98,52800,8100,45100,53200,61300,outlier
98,111,12400,6700,4300,11000,17700,1100746
111,110,18400,7500,11700,19200,26700,1100746
110,105,13200,7900,5700,13600,21500,1100746
105,116,12200,7100,4300,11400,18500,1100746
32,100,12620,900,18790,19690,20590,outlier
32,100,12620,8150,18790,7250,15400,1100746
100,101,16490,9060,8340,17400,26460,1100746
101,32,10480,10510,1420,11930,22440,1100746
32,101,12800,7510,2290,9800,17310,1100746
101,115,19460,9390,11950,21340,30730,1100746
111,32,10890,4560,12350,16910,21470,1100746
111,32,10890,16290,12350,11730,28020,outlier
116,111,18350,9930,8830,18760,28690,1100746
79,85,31300,7300,47600,54900,62200,outlier
79,85,31300,7800,47600,500,8300,outlier
110,111,13500,4100,25100,29200,33300,1100746
111,32,16400,1700,12300,14000,15700,1100746
111,32,16400,12300,12300,10600,22900,1100746
100,101,13500,5400,17400,22800,28200,1100746
101,32,9900,6500,4500,11000,17500,1100746
32,108,15600,1500,9100,10600,12100,1100746
101,77,16275,2333,36331,38664,40997,outlier
101,77,16275,9470,36331,7137,16607,outlier
77,101,15240,11722,5770,17492,29214,1100746
101,32,25779,7071,14057,21128,28199,1100746
