@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1190061', 'outlier'}

@DATA
32,101,20690,8888,10611,19499,28387,1190061
101,115,18095,11764,9207,20970,32734,1190061
115,99,59233,10771,47469,58240,69011,outlier
99,111,12569,9077,1797,10875,19952,1190061
111,103,30295,9849,21217,31066,40915,1190061
103,105,40715,8163,30866,39029,47192,1190061
112,117,23310,7960,10600,18560,26520,1190061
117,116,23080,7130,15120,22250,29380,1190061
97,99,17000,750,18650,19400,20150,outlier
97,99,17000,16620,18650,15870,32490,outlier
99,105,36700,5770,20080,25850,31620,1190061
105,105,49570,7260,43800,51060,58320,outlier
243,110,10630,2850,24980,27830,30680,outlier
243,110,10630,8490,24980,5640,14130,1190061
121,32,9770,1400,15400,16800,18200,outlier
116,111,15800,11800,2100,13900,25700,1190061
111,32,27900,15800,16100,31900,47700,outlier
115,97,16500,18700,2000,20700,39400,outlier
116,105,24100,11600,14100,25700,37300,1190061
115,102,34600,11900,17700,29600,41500,1190061
102,121,47900,11600,36000,47600,59200,outlier
105,32,41366,9603,33203,42807,52410,1190061
32,112,56816,4535,47213,51748,56283,outlier
112,112,18102,9039,13567,22606,31645,1190061
112,111,15183,8344,6144,14487,22831,1190061
111,111,44781,4212,36437,40649,44861,outlier
111,111,11560,8404,7349,15753,24157,1190061
111,111,14162,9129,5911,15040,24169,1190061
111,111,13319,11229,4190,15418,26647,1190061
121,32,9770,11780,15400,10380,22160,1190061
99,104,13200,1500,15020,16520,18020,outlier
99,104,13200,7380,15020,5880,13260,1190061
97,115,7220,9510,8900,18410,27920,1190061
115,32,11240,5470,1730,7200,12670,1190061
115,32,11240,9470,1730,4000,13470,1190061
121,32,26000,15600,14400,30000,45600,outlier
109,121,32500,8100,25700,33800,41900,1190061
121,32,22800,15300,14700,30000,45300,outlier
102,117,43200,9200,33400,42600,51800,1190061
117,116,34800,13300,25600,38900,52200,1190061
116,117,58600,9200,45300,54500,63700,outlier
114,101,19900,14700,12100,26800,41500,1190061
105,32,17563,11380,8313,19692,31072,1190061
112,111,15350,8281,7017,15298,23579,1190061
114,32,11164,773,17376,18149,18922,outlier
114,32,11164,12384,17376,11612,23996,1190061
98,97,9581,8778,449,9227,18005,1190061
97,115,20753,9083,11975,21058,30141,1190061
115,105,20054,8597,10971,19567,28164,1190061
225,114,52250,7690,37890,45580,53270,outlier
114,101,18980,9520,11290,20810,30330,1190061
97,115,8790,11160,19270,30430,41590,1190061
97,115,8790,17570,19270,6410,23980,outlier
115,32,20800,16740,3230,19970,36710,outlier
101,32,10330,3130,19270,22400,25530,outlier
101,32,10330,10330,19270,7200,17530,1190061
101,32,23000,14000,8300,22300,36300,1190061
103,101,30200,14400,18400,32800,47200,1190061
110,101,17500,14800,5100,19900,34700,1190061
101,114,27700,8900,12900,21800,30700,1190061
114,97,20900,14800,12000,26800,41600,1190061
97,116,29900,12600,15100,27700,40300,1190061
105,111,11900,5000,16000,21000,26000,1190061
105,111,11900,21900,16000,16900,38800,outlier
99,97,13161,8686,4004,12690,21376,1190061
97,109,18339,9202,9652,18855,28057,1190061
101,110,5570,5289,20757,26046,31335,1190061
101,110,5570,11459,20757,6170,17629,1190061
110,116,43509,10066,32050,42116,52182,1190061
116,101,11944,7763,1878,9640,17403,1190061
101,32,10247,10106,2484,12590,22696,1190061
32,101,19487,8687,9380,18067,26754,1190061
101,115,19039,7598,10352,17950,25548,1190061
115,32,8317,8183,719,8902,17085,1190061
105,101,11220,11870,110,11980,23850,1190061
101,110,11990,12720,120,12840,25560,1190061
99,105,10380,2470,21620,24090,26560,outlier
99,105,10380,9510,21620,7040,16550,1190061
97,115,7590,10130,10850,20980,31110,1190061
97,115,7590,17160,10850,7030,24190,outlier
115,32,22300,16490,5140,21630,38120,outlier
121,32,11230,3890,38460,42350,46240,outlier
108,111,12390,8643,4410,13053,21696,1190061
32,113,31856,113,43,156,269,outlier
113,117,147,6557,35,6592,13149,1190061
101,32,8321,624,14302,14926,15550,outlier
101,32,8321,9623,14302,8998,18621,1190061
32,115,18793,9650,9170,18820,28470,1190061
115,105,15197,8985,5547,14532,23517,1190061
105,101,16336,8898,7351,16249,25147,1190061
111,110,30800,10100,8900,19000,29100,1190061
110,32,18000,18000,7900,25900,43900,outlier
