@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150244', 'outlier'}

@DATA
101,32,11214,6998,6580,13578,20576,1150244
32,115,7975,7046,977,8023,15069,1150244
115,105,12000,5444,4954,10398,15842,1150244
105,101,7993,7055,2549,9604,16659,1150244
101,110,11998,5461,4944,10405,15866,1150244
110,116,7205,5465,1744,7209,12674,1150244
32,32,41764,8872,35574,44446,53318,outlier
32,111,25345,6847,16473,23320,30167,1150244
111,32,18757,5700,11909,17610,23310,1150244
32,101,27318,10462,21617,32080,42542,1150244
101,32,10678,6973,215,7188,14161,1150244
32,99,20276,7036,13303,20339,27375,1150244
99,111,8506,4439,1470,5909,10348,1150244
111,111,29290,7763,24851,32614,40377,1150244
111,111,15780,6169,8017,14186,20355,1150244
111,111,9661,6574,3492,10066,16640,1150244
32,115,18500,9800,11800,21600,31400,1150244
115,101,16800,9500,7000,16500,26000,1150244
101,114,18200,12400,8700,21100,33500,1150244
114,32,18300,10100,5900,16000,26100,1150244
32,102,31500,6600,21400,28000,34600,1150244
102,101,17300,4300,10700,15000,19300,1150244
108,105,11600,3900,14200,18100,22000,1150244
108,105,11600,11100,14200,7200,18300,1150244
105,99,13200,8700,2100,10800,19500,1150244
99,101,18000,6200,9300,15500,21700,1150244
111,114,12200,610,6880,7490,8100,1150244
114,32,8580,1280,7970,9250,10530,1150244
114,32,8580,11490,7970,10210,21700,1150244
109,97,12080,350,21420,21770,22120,1150244
97,110,11320,200,10970,11170,11370,1150244
110,101,11460,2290,11260,13550,15840,1150244
110,101,11460,10560,11260,8270,18830,1150244
97,32,7290,6870,2660,9530,16400,1150244
97,32,7290,13940,2660,7070,21010,1150244
111,32,5650,3816,8181,11997,15813,1150244
111,32,5650,9401,8181,5584,14985,1150244
117,110,7190,3846,15363,19209,23055,1150244
110,32,4782,7864,936,8800,16664,1150244
110,32,4782,10239,936,2375,12614,1150244
112,111,3975,3049,35373,38422,41471,outlier
111,99,6407,1449,3358,4807,6256,1150244
111,99,6407,7803,3358,6354,14157,1150244
111,32,5634,2256,9789,12045,14301,1150244
111,32,5634,9450,9789,7194,16644,1150244
114,111,9199,9841,17982,9158,18999,1150244
111,108,19886,7848,10045,17893,25741,1150244
108,108,14807,9031,6959,15990,25021,1150244
108,111,17973,5465,8942,14407,19872,1150244
111,32,18525,20240,13060,33299,53539,outlier
32,32,18503,6643,14560,21203,27846,1150244
32,105,57607,7441,50964,58405,65846,outlier
115,32,7976,934,15439,16373,17307,1150244
115,32,7976,6662,15439,5728,12390,1150244
101,101,15165,6769,7477,14246,21015,1150244
101,101,15088,4596,8318,12915,17511,1150244
101,101,13125,6121,8529,14650,20771,1150244
101,101,14589,9727,8467,18194,27921,1150244
122,105,5173,2091,14167,16258,18349,1150244
122,105,5173,6619,14167,4528,11147,1150244
44,32,11452,2242,24455,26698,28940,1150244
44,32,11452,13310,24455,11068,24378,1150244
32,32,23637,6818,10327,17146,23964,1150244
32,32,14711,7101,7893,14994,22095,1150244
114,101,8241,13077,13910,6660,19737,1150244
101,110,20406,8743,7330,16073,24816,1150244
100,101,10518,4496,12345,16841,21337,1150244
100,101,10518,15456,12345,10960,26416,outlier
101,115,28416,13152,12960,26112,39264,1150244
115,115,44371,8121,31219,39340,47461,outlier
115,114,16344,10809,8223,19033,29842,1150244
114,32,19782,8950,8973,17923,26873,1150244
32,97,54740,10878,45791,56668,67546,outlier
99,101,17005,2396,18906,21302,23698,1150244
111,111,15622,7800,9048,16848,24648,1150244
111,100,45346,8475,37546,46021,54496,outlier
101,32,6929,1901,17165,19067,20968,1150244
101,32,6929,8763,17165,6861,15624,1150244
99,111,3911,4600,13571,18171,22771,1150244
99,111,3911,8009,13571,3409,11418,1150244
111,109,11908,7860,3899,11759,19619,1150244
109,111,9460,6194,1600,7794,13988,1150244
111,32,14250,6305,8056,14361,20666,1150244
32,115,9992,10503,3687,14190,24693,1150244
32,32,15141,6741,8040,14781,21522,1150244
32,32,14693,7019,7951,14970,21989,1150244
32,105,14517,7650,7498,15148,22798,1150244
105,122,13558,7849,5908,13756,21605,1150244
44,32,7692,4257,9411,13667,17924,1150244
44,32,7692,12202,9411,7945,20147,1150244
116,101,7222,3381,13342,16722,20103,1150244
101,110,7144,2095,3763,5858,7953,1150244
101,110,7144,7145,3763,5050,12195,1150244
110,103,13266,9469,6121,15590,25059,1150244
111,108,23590,7090,16120,23210,30300,1150244
108,117,23520,5490,16430,21920,27410,1150244
99,105,7980,1560,16500,18060,19620,1150244
105,111,10030,4350,8470,12820,17170,1150244
105,111,10030,9550,8470,5200,14750,1150244
110,32,7510,2440,15580,18020,20460,1150244
110,32,7510,8410,15580,5970,14380,1150244
101,100,5550,9220,10790,20010,29230,1150244
101,100,5550,11290,10790,2070,13360,1150244
100,101,9660,1630,22210,23840,25470,1150244
100,101,9660,6830,22210,5200,12030,1150244
101,32,11130,11990,4300,16290,28280,1150244
114,101,17780,11140,8570,19710,30850,1150244
101,115,21630,9160,10490,19650,28810,1150244
115,111,11030,4260,1870,6130,10390,1150244
111,108,13430,7960,9170,17130,25090,1150244
108,118,8010,11370,50,11420,22790,1150244
118,101,11980,11540,610,12150,23690,1150244
111,98,20615,15404,7967,23371,38775,outlier
98,105,17200,6228,1796,8024,14252,1150244
105,105,54474,10250,48246,58496,68746,outlier
98,105,11628,4283,23763,28046,32329,1150244
105,101,11986,710,7703,8413,9123,1150244
105,101,11986,7444,7703,6734,14178,1150244
115,32,10494,276,18633,18909,19185,1150244
115,32,10494,8966,18633,8691,17657,1150244
99,101,17005,13134,18906,10738,23872,1150244
101,114,24427,8864,11292,20156,29020,1150244
114,99,24196,17466,15332,32798,50264,outlier
99,97,25172,12900,7706,20606,33506,1150244
97,32,25977,8742,13077,21819,30561,1150244
100,101,10887,4152,17052,21204,25356,1150244
100,101,10887,10695,17052,6543,17238,1150244
101,32,14375,8407,3680,12087,20494,1150244
32,110,31099,8788,22692,31480,40268,1150244
110,117,21119,8590,12331,20921,29511,1150244
108,32,6402,2248,7369,9617,11865,1150244
108,32,6402,11033,7369,8785,19818,1150244
112,111,4804,3031,12966,15996,19027,1150244
112,111,4804,8608,12966,5578,14186,1150244
111,114,11996,9451,3388,12839,22290,1150244
32,113,6414,1424,11349,12773,14197,1150244
32,113,6414,9444,11349,8020,17464,1150244
113,117,10399,5434,955,6389,11823,1150244
111,32,10590,1499,30886,32385,33884,outlier
111,32,10590,9374,30886,7875,17249,outlier
32,117,14685,8498,5311,13809,22307,1150244
110,32,7981,1082,17995,19077,20159,1150244
110,32,7981,8871,17995,7789,16660,1150244
32,104,16475,9897,7604,17501,27398,1150244
101,114,9489,1291,11454,12745,14036,1150244
114,109,8661,1125,7370,8495,9620,1150244
114,109,8661,9825,7370,8700,18525,1150244
109,97,12101,9178,2276,11454,20632,1150244
100,100,15480,8370,6770,15140,23510,1150244
100,101,8750,6000,15650,21650,27650,1150244
100,101,8750,9210,15650,3210,12420,1150244
101,32,9970,10850,760,11610,22460,1150244
32,112,14880,11160,4030,15190,26350,1150244
114,111,9130,2400,23580,25980,28380,1150244
114,111,9130,7990,23580,5590,13580,1150244
111,98,25320,12310,17330,29640,41950,1150244
98,108,17530,7940,5220,13160,21100,1150244
108,101,9570,7990,1630,9620,17610,1150244
101,115,17100,14500,10900,25400,39900,1150244
115,32,40900,6800,26400,33200,40000,outlier
32,97,19200,10300,12400,22700,33000,1150244
108,32,24700,8500,14200,22700,31200,1150244
32,100,46300,8200,37800,46000,54200,outlier
100,101,14600,10300,6400,16700,27000,1150244
109,111,7600,3800,13100,16900,20700,1150244
109,111,7600,14600,13100,10800,25400,1150244
111,115,20200,10500,5600,16100,26600,1150244
115,111,15304,6436,3143,9578,16014,1150244
111,121,22150,8786,15714,24500,33286,1150244
121,32,19642,9219,10856,20075,29294,1150244
32,109,18301,8131,9082,17213,25344,1150244
109,105,13167,7844,5037,12881,20725,1150244
105,32,13709,8156,5865,14021,22177,1150244
112,101,8343,245,20078,20323,20568,1150244
112,101,8343,7203,20078,6958,14161,1150244
117,101,8795,7837,3361,11198,19035,1150244
101,32,8779,8671,942,9613,18284,1150244
32,101,35232,7837,26561,34397,42234,outlier
110,32,3984,3907,7325,11233,15140,1150244
110,32,3984,9450,7325,5543,14993,1150244
32,108,14394,8681,4944,13624,22305,1150244
108,108,28027,4632,19346,23978,28610,1150244
108,108,11984,7070,7352,14422,21492,1150244
108,108,40030,4638,32960,37599,42237,outlier
108,108,11142,7878,6503,14381,22259,1150244
115,111,12450,281,27603,27885,28166,1150244
115,111,12450,10999,27603,10718,21717,1150244
111,110,16938,11458,5939,17397,28855,1150244
110,32,21364,12690,9906,22596,35286,1150244
32,32,53359,8533,40669,49202,57735,outlier
32,32,17685,10240,9152,19391,29631,1150244
32,32,17404,8639,7164,15803,24442,1150244
32,32,16992,7446,8353,15799,23245,1150244
32,111,19206,9061,11759,20821,29882,1150244
111,114,10910,9034,1849,10882,19916,1150244
110,111,10752,5561,11682,17242,22803,1150244
111,32,7989,2392,2428,4820,7212,1150244
111,32,7989,10224,2428,7833,18057,1150244
109,101,7476,6259,1404,7663,13922,1150244
110,111,7562,3612,12860,16472,20084,1150244
110,111,7562,7688,12860,4075,11763,1150244
111,114,11155,7596,3468,11064,18660,1150244
114,32,15989,12329,8393,20722,33051,1150244
32,113,19318,6070,6989,13059,19129,1150244
117,101,10574,15130,1983,17113,32243,1150244
101,118,27688,10725,12559,23284,34009,1150244
118,97,27701,12673,16976,29650,42323,1150244
97,115,17814,10856,5140,15996,26852,1150244
115,32,19489,8634,8632,17266,25900,1150244
32,99,24506,12670,15872,28542,41212,1150244
99,117,19144,6202,6474,12675,18877,1150244
117,108,25550,8402,19348,27750,36152,1150244
108,116,35812,11194,27411,38604,49798,outlier
116,117,18519,6528,7326,13854,20382,1150244
115,116,13200,7100,2700,9800,16900,1150244
116,114,15800,7900,8700,16600,24500,1150244
114,97,10100,9700,2200,11900,21600,1150244
97,114,11400,8100,1700,9800,17900,1150244
114,32,24900,11700,16800,28500,40200,1150244
32,116,35900,7700,24200,31900,39600,outlier
116,117,17000,10600,9300,19900,30500,1150244
117,32,25900,6900,15300,22200,29100,1150244
32,115,15200,13500,8300,21800,35300,1150244
115,115,31900,8000,18400,26400,34400,1150244
114,108,8630,4350,15300,19650,24000,1150244
114,108,8630,9160,15300,4810,13970,1150244
108,111,16500,10540,7340,17880,28420,1150244
111,46,20670,11800,10130,21930,33730,1150244
46,32,30280,9720,18480,28200,37920,1150244
83,83,49680,8220,35800,44020,52240,outlier
83,65,11300,4630,37670,42300,46930,outlier
83,65,11300,12240,37670,7610,19850,outlier
108,100,14459,10230,6581,16810,27040,1150244
117,114,3972,1454,11362,12817,14271,1150244
114,97,7255,2185,5801,7985,10170,1150244
114,97,7255,7808,5801,5623,13431,1150244
97,110,8751,7022,943,7965,14987,1150244
116,101,3981,3067,4951,8018,11085,1150244
101,32,8829,1408,5762,7170,8578,1150244
101,32,8829,4638,5762,3230,7868,1150244
108,97,8024,598,15357,15956,16554,1150244
108,97,8024,8650,15357,8051,16701,1150244
113,113,24850,6959,18780,25739,32698,1150244
99,111,8733,919,11213,12132,13051,1150244
99,111,8733,3905,11213,2986,6891,1150244
110,32,5010,4114,17598,21713,25827,1150244
32,113,9161,1072,5047,6118,7190,1150244
32,113,9161,8408,5047,7336,15744,1150244
113,117,11348,6838,2941,9778,16616,1150244
117,105,15829,5083,8992,14074,19157,1150244
101,110,8136,1025,12115,13140,14165,1150244
110,32,8738,1080,7713,8792,9872,1150244
101,114,16793,6217,9590,15807,22024,1150244
115,111,3068,7021,15957,22978,29999,1150244
115,111,3068,7390,15957,369,7759,1150244
110,97,14098,12014,7269,19283,31297,1150244
97,108,18286,8192,6271,14463,22655,1150244
108,105,18783,6492,10591,17083,23575,1150244
105,100,9610,9914,3117,13032,22946,1150244
100,97,25439,7840,15525,23365,31205,1150244
97,100,20905,8534,13066,21600,30134,1150244
97,32,13599,7854,4949,12803,20657,1150244
32,109,19988,4656,12134,16790,21446,1150244
97,241,4794,2201,8963,11163,13364,1150244
97,241,4794,7826,8963,5625,13451,1150244
241,97,16799,7839,8973,16813,24652,1150244
97,110,9593,6245,1754,7999,14244,1150244
110,97,8803,6232,2558,8791,15023,1150244
97,32,8007,7828,1775,9603,17431,1150244
110,111,7306,3765,8239,12003,15768,1150244
111,32,5535,4647,1770,6417,11064,1150244
114,101,19286,9840,10252,20092,29932,1150244
101,101,15896,7478,6056,13534,21012,1150244
101,101,15296,10246,7818,18065,28311,1150244
101,101,16892,8656,6646,15301,23957,1150244
112,114,8380,5447,17547,22994,28441,1150244
112,114,8380,11060,17547,5613,16673,1150244
114,101,18711,8654,7651,16305,24959,1150244
101,102,42195,18632,33541,52173,70805,outlier
102,101,32294,7443,13661,21105,28548,1150244
101,114,19708,9846,12265,22112,31958,1150244
115,115,16100,7500,8100,15600,23100,1150244
115,115,16200,6400,8700,15100,21500,1150244
115,115,16500,7900,10100,18000,25900,1150244
115,115,11300,11800,3400,15200,27000,1150244
115,117,21000,6200,9200,15400,21600,1150244
117,32,21900,7200,15700,22900,30100,1150244
32,115,13500,9400,6300,15700,25100,1150244
115,111,12100,7400,2700,10100,17500,1150244
111,110,14700,9600,7300,16900,26500,1150244
110,114,10000,7900,400,8300,16200,1150244
65,32,19070,12640,6830,19470,32110,1150244
32,112,21300,14560,8660,23220,37780,1150244
112,101,26980,16450,12420,28870,45320,outlier
115,97,10540,6370,16680,23050,29420,1150244
115,97,10540,14810,16680,8440,23250,1150244
114,32,9360,4250,13550,17800,22050,1150244
114,32,9360,12840,13550,8590,21430,1150244
101,32,2960,3060,16570,19630,22690,1150244
101,32,2960,11970,16570,8910,20880,1150244
101,32,2960,12650,16570,680,13330,1150244
110,32,8738,9200,7713,8120,17320,1150244
32,115,10008,6943,808,7752,14695,1150244
115,105,7957,7201,1014,8215,15416,1150244
101,109,8131,1707,11499,13205,14912,1150244
101,109,8131,7775,11499,6068,13843,1150244
112,114,3997,1167,16316,17482,18649,1150244
114,101,6605,5712,5438,11150,16862,1150244
101,32,12294,990,6582,7572,8562,1150244
101,32,12294,9158,6582,8168,17326,1150244
104,101,5616,2745,13393,16138,18883,1150244
117,114,27690,11219,21162,32381,43600,1150244
114,97,12738,14408,1519,15927,30335,1150244
97,115,39575,12800,25167,37967,50767,outlier
115,44,23897,6399,11096,17495,23894,1150244
44,32,21837,6423,15439,21862,28285,1150244
32,99,13525,10536,7102,17638,28174,1150244
99,111,22920,8392,12384,20777,29169,1150244
111,110,22880,6258,14487,20745,27003,1150244
110,32,17882,8430,11624,20054,28484,1150244
32,108,59190,8281,50760,59041,67322,outlier
111,32,5535,10237,1770,5590,15827,1150244
114,101,2534,2910,22688,25598,28508,1150244
114,101,2534,10102,22688,7192,17294,1150244
101,97,15054,10290,4953,15243,25533,1150244
108,105,7128,1461,7311,8772,10233,1150244
105,122,4807,3052,3346,6398,9450,1150244
105,122,4807,7856,3346,4804,12660,1150244
122,122,31992,5448,24136,29584,35032,1150244
99,101,740,3901,8097,11997,15898,1150244
99,101,740,9512,8097,5612,15124,1150244
104,101,5616,8105,13393,5360,13465,1150244
101,32,12110,9828,4005,13833,23661,1150244
112,97,5556,5159,10818,15977,21136,1150244
112,97,5556,9584,10818,4424,14008,1150244
115,97,9016,4607,14117,18724,23331,1150244
115,97,9016,10680,14117,6074,16754,1150244
97,100,14736,5564,4056,9620,15184,1150244
111,32,9153,5077,10204,15281,20358,1150244
111,32,9153,11957,10204,6880,18837,1150244
32,109,27414,7758,15457,23215,30973,1150244
114,101,17596,9037,7750,16787,25824,1150244
101,101,33296,10144,24258,34402,44546,outlier
101,105,19250,12476,9107,21582,34058,1150244
105,100,18753,13454,6277,19731,33185,1150244
100,111,19100,8633,5645,14278,22911,1150244
111,115,11589,9442,2957,12399,21841,1150244
115,32,11962,11385,2520,13905,25290,1150244
32,115,15261,10620,3876,14496,25116,1150244
115,111,12890,10236,2270,12506,22742,1150244
111,110,15197,13832,4961,18793,32625,1150244
114,32,12320,650,19160,19810,20460,1150244
114,32,12320,16120,19160,15470,31590,outlier
99,97,7950,5320,17600,22920,28240,1150244
97,108,9520,2980,4200,7180,10160,1150244
97,108,9520,7930,4200,4950,12880,1150244
108,108,15220,8200,7290,15490,23690,1150244
97,100,12280,2300,18330,20630,22930,1150244
100,111,14090,3010,11790,14800,17810,1150244
101,32,20051,5476,10538,16014,21490,1150244
32,101,12830,6228,7353,13581,19809,1150244
108,32,4800,3840,7356,11196,15036,1150244
108,32,4800,10242,7356,6402,16644,1150244
32,32,22408,5434,12166,17600,23034,1150244
32,32,12844,4575,7410,11985,16560,1150244
32,32,22343,6248,17768,24016,30264,1150244
32,32,10389,4660,4140,8800,13460,1150244
32,32,32886,5391,28226,33617,39008,outlier
32,32,8103,148,39402,39550,39698,outlier
108,97,13325,12473,5043,17516,29989,1150244
97,32,13934,8050,1461,9511,17561,1150244
32,105,40762,6296,32712,39007,45303,outlier
105,110,19766,8656,13471,22126,30782,1150244
110,116,23018,8434,14362,22796,31230,1150244
116,101,9656,10905,1223,12127,23032,1150244
101,110,17846,8461,6942,15403,23864,1150244
110,99,19585,10962,11123,22086,33048,1150244
99,105,16927,8614,5965,14579,23193,1150244
105,111,20537,8379,11923,20302,28681,1150244
109,117,20185,5890,12428,18318,24208,1150244
99,104,3313,1082,11764,12846,13928,1150244
104,111,4721,7150,3639,10789,17939,1150244
104,111,4721,11725,3639,4575,16300,1150244
111,115,15178,7177,3453,10630,17807,1150244
115,32,14049,9632,6873,16505,26137,1150244
109,111,11222,4012,34799,38811,42823,outlier
109,111,11222,9170,34799,5158,14328,outlier
111,109,16011,8305,6841,15147,23452,1150244
101,110,10146,1110,11420,12530,13640,1150244
