@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1140796', 'outlier'}

@DATA
32,109,17506,8620,8519,17139,25759,1140796
109,101,10609,9724,1989,11713,21437,1140796
101,32,10138,7743,414,8157,15900,1140796
32,115,32361,9116,24618,33733,42849,1140796
115,105,12714,5605,3598,9204,14809,outlier
105,103,43800,16000,25200,41200,57200,outlier
103,104,25600,12800,9600,22400,35200,outlier
104,116,40700,13800,27900,41700,55500,outlier
105,110,38700,12900,23800,36700,49600,outlier
105,110,23800,18000,10000,28000,46000,outlier
110,103,48400,13000,30400,43400,56400,outlier
103,32,13200,8900,200,9100,18000,1140796
105,101,18588,8595,12983,21578,30173,1140796
101,110,10891,8649,2295,10945,19594,1140796
110,116,30394,7838,21744,29582,37420,1140796
116,111,41008,8368,33170,41538,49906,1140796
111,32,17595,10077,9228,19305,29382,1140796
97,108,13374,9420,2633,12053,21473,1140796
108,103,39594,9574,30174,39749,49323,1140796
103,111,48531,9546,38956,48503,58049,outlier
111,32,17760,8349,8213,16562,24911,1140796
32,99,35674,8505,27325,35830,44335,1140796
99,97,11578,10269,3073,13342,23611,1140796
97,110,14090,9034,3821,12855,21889,1140796
110,115,29372,8112,20338,28450,36562,1140796
115,97,16501,10997,8389,19385,30382,1140796
97,100,21623,9065,10626,19691,28756,1140796
100,111,13971,9725,4906,14631,24356,1140796
111,32,19551,9172,9827,18998,28170,1140796
32,44,38515,7947,29959,37906,45853,1140796
44,32,15574,7989,7627,15616,23605,1140796
32,108,53051,6760,45061,51821,58581,outlier
108,108,12036,9303,5277,14580,23883,1140796
108,101,13666,11964,4362,16326,28290,outlier
118,111,19547,7925,9347,17271,25196,1140796
111,32,19472,7460,11547,19008,26468,1140796
32,98,27891,9118,20430,29549,38667,1140796
98,97,11404,9766,2286,12052,21818,1140796
97,115,16775,7487,7009,14496,21983,1140796
116,104,16300,14500,200,14700,29200,outlier
104,101,10900,1400,11900,13300,14700,outlier
101,32,11900,1500,10500,12000,13500,outlier
101,32,11900,16200,10500,14700,30900,outlier
119,111,16000,12900,1100,14000,26900,outlier
111,114,20800,12100,7900,20000,32100,outlier
115,116,12697,9266,5210,14477,23743,1140796
116,97,11285,8928,2019,10946,19874,1140796
97,110,26920,8300,17992,26292,34592,1140796
116,101,9004,559,23485,24045,24604,outlier
116,101,9004,9646,23485,9087,18733,1140796
101,32,12869,9671,3223,12894,22565,1140796
32,116,54505,9043,44834,53877,62920,outlier
116,105,18887,8497,9843,18340,26837,1140796
105,101,10615,11156,2118,13274,24430,1140796
101,109,16082,7436,4926,12362,19798,1140796
109,112,27214,9303,19778,29081,38384,1140796
112,111,14919,8637,5616,14253,22890,1140796
111,32,19748,9147,11111,20258,29405,1140796
32,116,47013,9459,37866,47325,56784,outlier
116,114,14893,9122,5435,14557,23679,1140796
114,97,13144,8185,4022,12207,20392,1140796
97,98,15727,9502,7542,17044,26546,1140796
98,97,15606,7889,6104,13993,21882,1140796
97,106,54453,8089,46564,54653,62742,outlier
106,97,12488,8095,4398,12493,20588,1140796
97,110,19077,7411,10982,18393,25804,1140796
110,100,31478,9817,24067,33884,43701,1140796
100,111,19158,8210,9342,17552,25762,1140796
111,32,19581,8141,11371,19512,27653,1140796
32,101,12436,9129,4295,13424,22553,1140796
101,110,16657,8084,7528,15612,23696,1140796
110,32,14845,8628,6762,15390,24018,1140796
32,109,25384,7656,16756,24413,32069,1140796
109,105,19588,7573,11931,19505,27078,1140796
105,32,17787,9285,10214,19499,28784,1140796
112,114,16991,11435,8636,20071,31506,1140796
114,111,22217,7676,10781,18457,26133,1140796
121,101,10030,9539,1257,10796,20335,1140796
101,99,27850,12063,18311,30373,42436,outlier
99,116,23294,8313,11231,19544,27857,1140796
116,111,37077,8568,28764,37332,45900,1140796
111,32,17000,11896,8432,20328,32224,outlier
32,100,15768,11961,3872,15834,27795,outlier
101,32,5678,4930,10080,15010,19940,outlier
101,32,5678,10424,10080,5494,15918,1140796
32,32,13604,8108,5061,13169,21277,1140796
32,32,12775,8615,4668,13283,21898,1140796
32,32,13771,8046,5155,13201,21247,1140796
32,102,45249,8730,36112,44841,53571,1140796
102,105,26226,6592,17496,24088,30680,1140796
105,110,20492,7151,13900,21051,28202,1140796
110,97,9462,10981,2311,13292,24273,1140796
97,108,19194,9464,8213,17677,27141,1140796
108,32,19260,9655,9796,19452,29107,1140796
32,100,12710,14066,3054,17120,31186,outlier
101,32,7385,684,12090,12774,13458,outlier
101,32,7385,9042,12090,8358,17400,1140796
32,99,56402,9423,47360,56783,66206,outlier
99,97,14294,9031,4872,13903,22934,1140796
97,114,19364,9752,10333,20086,29838,1140796
114,114,14896,8272,5143,13416,21688,1140796
114,101,12442,9388,4169,13557,22945,1140796
114,97,7091,1383,15327,16710,18093,outlier
114,97,7091,10908,15327,9525,20433,1140796
97,32,18767,8944,7859,16803,25747,1140796
121,32,19142,9853,10548,20401,30254,1140796
32,97,49817,8662,39964,48626,57288,outlier
97,108,20888,8526,12226,20752,29278,1140796
108,32,15715,8089,7190,15279,23368,1140796
32,108,57876,7937,49787,57724,65661,outlier
