@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1149134', 'outlier'}

@DATA
32,100,14576,12782,10661,11302,24084,1149134
100,105,17427,13979,4646,18625,32604,1149134
105,100,17667,8379,3688,12067,20446,1149134
32,121,19825,8112,5949,14061,22173,1149134
121,111,10517,14206,2405,16611,30817,1149134
117,32,7244,3715,8938,12653,16368,1149134
117,32,7244,11899,8938,8184,20083,1149134
104,111,11700,8285,4895,13179,21464,1149134
111,115,9999,291,20152,20443,20734,1149134
111,115,9999,9125,20152,8834,17959,1149134
101,32,9612,1689,15399,17088,18777,1149134
101,32,9612,11091,15399,9402,20493,1149134
116,104,7464,1083,12994,14077,15160,1149134
116,104,7464,7396,12994,6313,13709,1149134
105,115,11014,426,18784,19210,19636,1149134
105,115,11014,9060,18784,8634,17694,1149134
115,32,10628,10651,1568,12220,22871,1149134
99,97,12180,3317,17917,21235,24552,1149134
99,97,12180,10368,17917,7050,17418,1149134
97,114,18337,6645,7969,14614,21259,1149134
114,101,16356,7413,9712,17125,24538,1149134
101,114,9824,2732,19071,21803,24535,1149134
101,114,9824,11802,19071,9070,20872,1149134
114,13,57651,7419,45849,53268,60687,outlier
104,111,16536,14032,9760,23792,37824,1149134
111,119,17136,12804,3105,15908,28712,1149134
119,32,16280,13298,3477,16774,30072,1149134
32,105,19549,8943,6251,15194,24137,1149134
105,115,10108,9954,1166,11120,21074,1149134
115,32,10190,8295,236,8531,16826,1149134
32,121,31466,10982,23170,34152,45134,1149134
111,117,10641,5504,14995,20499,26003,1149134
111,117,10641,15018,14995,9514,24532,1149134
114,32,9686,1309,10421,11730,13039,1149134
114,32,9686,12025,10421,10716,22741,1149134
32,32,31594,9071,28702,37773,46844,1149134
32,32,33563,6302,24492,30793,37095,1149134
32,121,21132,5835,12402,18237,24072,1149134
111,117,8198,8248,23305,31552,39800,1149134
117,114,10151,376,1904,2279,2655,1149134
117,114,10151,14093,1904,13717,27810,1149134
114,32,15001,11403,908,12310,23713,1149134
32,119,23987,10679,12585,23263,33942,1149134
119,111,21012,10543,10333,20876,31419,1149134
111,114,55241,9240,44698,53938,63178,outlier
114,108,17517,8623,8277,16901,25524,1149134
108,100,12248,11533,3625,15158,26691,1149134
100,32,48721,9828,37187,47015,56843,outlier
32,118,28563,10542,18735,29277,39819,1149134
118,105,12918,9238,2376,11614,20852,1149134
101,119,10566,8856,20773,29629,38485,1149134
101,119,10566,15373,20773,6517,21890,1149134
44,32,7487,3011,56775,59786,62797,outlier
32,101,13483,110,10472,10582,10692,1149134
101,120,9959,5640,9849,15490,21130,1149134
101,120,9959,12837,9849,7196,20033,1149134
120,112,14802,7759,1966,9725,17484,1149134
112,108,23141,5374,15382,20756,26130,1149134
108,97,12380,15675,7006,22681,38356,1149134
110,32,10200,947,3734,4681,5628,1149134
110,32,10200,8846,3734,7899,16745,1149134
110,32,9580,5805,5722,11527,17332,1149134
32,97,10290,3245,4485,7730,10975,1149134
32,97,10290,12775,4485,9530,22305,1149134
97,98,9756,4971,12301,17272,22243,1149134
97,98,9756,11345,12301,6375,17720,1149134
98,111,19802,13657,8457,22114,35771,1149134
117,116,13361,504,17241,17745,18249,1149134
117,116,13361,13588,17241,13084,26672,1149134
116,32,14061,11186,473,11659,22845,1149134
51,48,22767,5964,10666,16630,22594,1149134
48,48,15758,7341,9794,17135,24476,1149134
48,32,53593,11573,46253,57826,69399,outlier
119,111,10662,1605,29088,30694,32299,1149134
119,111,10662,10648,29088,9043,19691,1149134
111,114,15065,6261,4417,10677,16938,1149134
114,100,20395,6998,14134,21132,28130,1149134
100,115,49670,5826,42672,48499,54325,outlier
46,32,26312,11712,19071,30782,42494,1149134
119,101,6657,6381,39013,45393,51774,outlier
101,108,9853,3220,3473,6692,9912,1149134
101,108,9853,6459,3473,3239,9698,1149134
108,108,14678,5390,8219,13608,18998,1149134
44,32,3777,6754,17081,23836,30590,1149134
44,32,3777,12989,17081,6234,19223,1149134
32,109,24805,8926,11816,20742,29668,1149134
109,121,25795,6820,16869,23689,30509,1149134
32,108,17474,230,18745,18975,19205,1149134
108,105,4768,14328,4538,18866,33194,1149134
108,105,4768,16650,4538,2322,18972,1149134
102,101,11198,7276,13611,20887,28163,1149134
101,32,8030,3187,754,3941,7128,1149134
32,105,16062,807,12874,13681,14488,1149134
105,115,9693,3585,8886,12471,16056,1149134
115,32,7727,1356,4143,5498,6854,1149134
115,32,7727,13732,4143,12376,26108,1149134
32,109,14412,12195,680,12875,25070,1149134
109,121,24751,7783,12556,20339,28122,1149134
121,32,11257,11794,3474,15268,27062,1149134
32,108,19539,9022,7745,16767,25789,1149134
108,105,19792,8411,10770,19181,27592,1149134
102,101,9444,5573,10657,16230,21803,1149134
102,101,9444,12661,10657,7088,19749,1149134
101,32,15332,12395,2670,15066,27461,1149134
32,97,22692,15189,10297,25486,40675,1149134
110,100,9125,1833,12049,13882,15715,1149134
100,32,7431,2950,5598,8548,11498,1149134
100,32,7431,12752,5598,9801,22553,1149134
32,105,14454,9709,1703,11412,21121,1149134
105,32,10776,12446,1067,13513,25959,1149134
100,111,12746,178,30246,30424,30602,1149134
100,111,12746,15230,30246,15052,30282,1149134
110,111,10898,9328,12500,21827,31155,1149134
111,116,11984,4654,2656,7311,11965,1149134
116,32,11209,123,6554,6678,6801,1149134
116,32,11209,13992,6554,13868,27860,1149134
32,101,15663,13948,1672,15620,29568,1149134
101,99,19751,11149,5803,16952,28101,1149134
118,101,8635,6609,16595,23203,29812,1149134
118,101,8635,12984,16595,6375,19359,1149134
32,110,13982,2434,19379,21813,24247,1149134
32,110,13982,12252,19379,9818,22070,1149134
110,110,38895,9137,26643,35780,44917,1149134
107,110,10531,2272,33776,36048,38320,outlier
110,111,13022,3063,10750,13812,16875,1149134
111,119,11399,3640,8336,11976,15616,1149134
119,32,10462,2626,6822,9448,12074,1149134
119,32,10462,13506,6822,10880,24386,1149134
32,104,29479,8382,15973,24355,32737,1149134
104,97,12820,8344,4437,12782,21126,1149134
116,32,6614,2940,11758,14698,17638,1149134
116,32,6614,14777,11758,11837,26614,1149134
32,97,9627,2839,10858,13697,16536,1149134
97,109,9209,3365,6370,9735,13100,1149134
109,32,7480,4435,4115,8550,12985,1149134
109,32,7480,12504,4115,8069,20573,1149134
32,119,20930,10820,9705,20525,31345,1149134
119,104,12571,11747,1750,13497,25244,1149134
97,116,10729,684,12606,13289,13973,1149134
97,116,10729,13408,12606,12724,26132,1149134
116,32,15466,8415,2058,10474,18889,1149134
105,32,10184,3530,36215,39745,43275,outlier
32,97,11079,2532,7549,10082,12614,1149134
97,109,8826,2772,6294,9066,11838,1149134
109,32,6806,3485,4033,7518,11003,1149134
109,32,6806,12754,4033,9269,22023,1149134
32,115,16388,10858,3634,14492,25350,1149134
115,117,18435,7285,7577,14862,22147,1149134
