@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1180791', 'outlier'}

@DATA
113,117,14905,976,34039,35014,35990,outlier
113,117,14905,11712,34039,10737,22449,outlier
117,101,15294,14018,3582,17599,31617,1180791
101,32,14490,12071,473,12543,24614,1180791
101,110,16041,8915,2951,11866,20781,1180791
32,32,25658,8283,15840,24123,32406,1180791
32,32,30641,9919,22358,32277,42196,1180791
32,32,23105,7117,13187,20303,27420,1180791
32,32,21925,7536,14809,22344,29880,1180791
32,32,41182,11510,33646,45156,56666,outlier
32,32,33833,8658,22324,30982,39640,outlier
32,32,21607,11498,10888,22386,33884,1180791
99,105,19180,10150,6300,16450,26600,1180791
105,111,10620,13910,470,14380,28290,1180791
111,110,20290,10770,6380,17150,27920,1180791
110,110,15250,10800,13920,24720,35520,1180791
110,110,19690,11230,8890,20120,31350,1180791
110,110,23920,11210,12690,23900,35110,1180791
110,110,18100,9190,6890,16080,25270,1180791
110,110,14320,11190,5130,16320,27510,1180791
110,110,15570,14090,4380,18470,32560,1180791
117,110,16298,9976,8284,18260,28236,1180791
100,111,4259,7918,7842,15760,23678,1180791
100,111,4259,8892,7842,973,9865,1180791
111,32,17585,11622,8694,20315,31937,1180791
100,111,5063,4742,8895,13637,18379,1180791
100,111,5063,10914,8895,6172,17086,1180791
110,100,9020,281,17170,17450,17731,1180791
110,100,9020,11557,17170,11276,22833,1180791
100,101,18118,12494,6562,19056,31550,1180791
101,32,14631,12765,2137,14902,27667,1180791
111,115,10395,10911,4911,15822,26733,1180791
115,32,11167,7161,256,7417,14578,1180791
32,97,13639,11895,6478,18373,30268,1180791
97,121,14404,4480,2508,6988,11468,1180791
121,117,15174,6326,10694,17020,23346,1180791
117,100,8005,9511,1679,11190,20701,1180791
100,97,21745,8571,12234,20804,29375,1180791
97,114,21470,11898,12899,24798,36696,1180791
114,32,15198,6304,3299,9603,15907,1180791
97,32,10412,3003,19316,22320,25323,1180791
114,99,26700,13300,18400,31700,45000,1180791
99,101,22700,9600,9400,19000,28600,1180791
101,114,15800,6800,6200,13000,19800,1180791
114,32,14300,9700,7500,17200,26900,1180791
109,105,15300,9600,6500,16100,25700,1180791
105,115,16000,8400,6400,14800,23200,1180791
115,32,9600,8400,1200,9600,18000,1180791
32,112,23200,6800,14800,21600,28400,1180791
112,114,9000,7200,2200,9400,16600,1180791
32,32,34800,5200,14500,19700,24900,outlier
32,32,15500,11200,9100,20300,31500,1180791
32,73,10700,7200,21200,28400,35600,1180791
73,32,9500,5300,2300,7600,12900,1180791
32,118,16500,4800,11200,16000,20800,1180791
110,110,34423,16630,23392,40022,56652,outlier
121,32,16718,7103,11267,18370,25473,1180791
112,111,10367,4655,21760,26415,31070,1180791
112,111,10367,10273,21760,5618,15891,1180791
111,114,12102,8753,1829,10582,19335,1180791
114,32,11852,7085,3099,10184,17269,1180791
101,108,9200,400,11200,11600,12000,1180791
101,108,9200,8000,11200,7600,15600,1180791
108,105,8800,9600,800,10400,20000,1180791
105,118,12400,3500,2800,6300,9800,1180791
118,101,9600,10400,6100,16500,26900,1180791
101,32,13300,5800,2900,8700,14500,1180791
101,32,13300,13100,2900,7300,20400,1180791
116,103,5700,5900,7800,13700,19600,1180791
103,104,6000,600,100,700,1300,outlier
97,116,9600,1600,10900,12500,14100,1180791
99,105,20300,5900,6700,12600,18500,1180791
105,108,19100,3600,13200,16800,20400,1180791
108,105,14900,7600,11300,18900,26500,1180791
105,116,11200,13600,3600,17200,30800,1180791
116,105,27000,10300,13400,23700,34000,1180791
105,101,21800,6300,11500,17800,24100,1180791
101,115,15000,11800,8700,20500,32300,1180791
115,32,17100,9500,5300,14800,24300,1180791
