@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1160659', 'outlier'}

@DATA
121,32,15920,8690,8230,16920,25610,1160659
97,98,6430,5260,15290,20550,25810,1160659
97,98,6430,6180,15290,920,7100,1160659
98,97,15830,10800,9650,20450,31250,1160659
97,108,19150,6360,8350,14710,21070,1160659
101,32,12646,7582,2784,10366,17948,1160659
32,113,19536,9012,11954,20966,29978,1160659
113,117,12558,8017,3546,11562,19579,1160659
117,101,10442,8128,2425,10553,18681,1160659
101,32,11407,7543,3280,10822,18365,1160659
32,101,13519,11515,5976,17491,29006,1160659
101,117,15432,7136,3917,11053,18189,1160659
117,32,17647,9376,10511,19888,29264,1160659
32,102,18824,8026,9448,17474,25500,1160659
108,101,14610,8570,8250,16820,25390,1160659
101,32,13070,7480,4500,11980,19460,1160659
32,99,18240,6760,10760,17520,24280,1160659
99,111,11790,6760,5030,11790,18550,1160659
111,98,31130,9180,24370,33550,42730,1160659
98,32,23660,6260,14480,20740,27000,1160659
32,32,15300,4370,9230,13600,17970,1160659
32,32,13110,3840,8740,12580,16420,1160659
32,32,10580,4550,6740,11290,15840,1160659
97,114,28644,10500,15903,26403,36903,1160659
116,111,9185,1551,21578,23128,24679,1160659
116,111,9185,15630,21578,14079,29709,outlier
111,32,23011,8927,7381,16308,25235,1160659
32,97,14614,17521,5687,23208,40729,outlier
97,241,40061,9935,22540,32475,42410,1160659
241,111,25677,11098,15742,26839,37937,1160659
44,32,30882,8278,18484,26763,35041,1160659
32,115,48291,10711,40012,50723,61434,outlier
102,111,21183,9319,13158,22477,31796,1160659
111,105,20224,9631,10905,20536,30167,1160659
44,32,16933,8870,11896,20766,29636,1160659
110,97,9486,7474,970,8443,15917,1160659
97,111,11089,7942,3615,11557,19499,1160659
111,32,18415,8453,10473,18926,27379,1160659
32,116,19405,8059,10952,19012,27071,1160659
116,105,38075,7393,30016,37409,44802,1160659
105,110,28300,11210,17260,28470,39680,1160659
110,99,44440,18920,33230,52150,71070,outlier
99,105,34170,10300,15250,25550,35850,1160659
105,112,41500,10110,31200,41310,51420,1160659
105,111,30640,10080,20330,30410,40490,1160659
32,32,11990,4550,7440,11990,16540,1160659
32,32,10880,5630,6330,11960,17590,1160659
32,32,35650,6260,30020,36280,42540,1160659
32,108,43320,8680,37060,45740,54420,outlier
108,101,12680,9600,4000,13600,23200,1160659
101,32,12890,7980,3290,11270,19250,1160659
32,99,15930,7970,7950,15920,23890,1160659
99,111,40190,6270,32220,38490,44760,1160659
111,110,21370,6750,15100,21850,28600,1160659
110,32,11270,7480,4520,12000,19480,1160659
115,111,13285,14875,2574,17449,32324,1160659
111,121,42548,10200,27673,37872,48072,1160659
121,32,17406,8769,7206,15975,24744,1160659
32,111,19159,10795,10390,21185,31980,1160659
