@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1140806', 'outlier'}

@DATA
32,115,8904,1916,13976,15891,17807,1140806
32,115,8904,10373,13976,8457,18830,1140806
105,101,9203,2935,10160,13096,16031,1140806
101,110,10670,3122,7735,10857,13979,1140806
110,116,8128,4690,5007,9697,14387,1140806
110,116,8128,11568,5007,6877,18445,1140806
116,111,13188,12516,1621,14136,26652,1140806
111,32,16018,11139,3502,14642,25781,1140806
32,99,38830,9821,27690,37511,47332,outlier
97,110,7873,4609,14759,19368,23977,1140806
97,110,7873,8485,14759,3876,12361,1140806
115,97,11518,930,16018,16949,17879,outlier
115,97,11518,15436,16018,14505,29941,1140806
97,100,16685,11456,1250,12705,24161,1140806
100,111,13253,8912,1798,10709,19621,1140806
111,44,28342,8243,19430,27673,35916,1140806
116,111,12762,8244,5856,14100,22344,1140806
111,32,17329,8663,9085,17748,26411,1140806
98,97,15083,6735,6855,13590,20325,1140806
97,106,12301,7532,5565,13097,20629,1140806
106,111,18811,8959,11279,20238,29197,1140806
111,32,15916,7643,6957,14600,22243,1140806
32,109,14238,8376,6595,14971,23347,1140806
109,101,13836,5626,5460,11086,16712,1140806
101,100,18033,4813,12407,17220,22033,1140806
44,32,14915,8856,6672,15527,24383,1140806
108,111,15710,9810,7540,17350,27160,1140806
115,32,7668,3317,10418,13735,17052,1140806
115,32,7668,10825,10418,7509,18334,1140806
101,115,18263,10462,9791,20252,30714,1140806
115,116,18830,10283,8368,18652,28935,1140806
116,117,49498,8190,39215,47405,55595,outlier
117,100,10774,11814,2584,14398,26212,1140806
97,32,11272,8623,382,9005,17628,1140806
112,114,10796,2693,29638,32331,35024,outlier
114,101,10308,4476,7615,12091,16567,1140806
114,101,10308,14511,7615,10036,24547,1140806
101,99,25291,11277,10780,22057,33334,1140806
99,105,12380,6581,1103,7684,14265,1140806
105,111,13792,8808,7211,16019,24827,1140806
111,110,18539,8129,9731,17859,25988,1140806
110,32,11905,10660,3776,14436,25096,1140806
32,32,15639,9672,13471,23143,32815,1140806
32,32,17296,8888,7623,16512,25400,1140806
32,32,15050,8848,6162,15010,23858,1140806
32,32,16226,7504,7378,14882,22386,1140806
32,32,13698,9537,6195,15732,25269,1140806
32,32,16244,11117,6707,17824,28941,1140806
32,32,41258,15370,7937,23307,38677,1140806
100,105,12023,8692,7210,15902,24594,1140806
105,99,16980,6432,8288,14720,21152,1140806
99,97,19827,5733,13395,19127,24860,1140806
97,99,17277,6993,11544,18537,25530,1140806
99,105,14073,5500,7080,12580,18080,1140806
105,111,14879,5724,9379,15103,20827,1140806
111,110,18242,7025,12519,19544,26569,1140806
110,46,47846,7847,40821,48669,56516,outlier
46,32,20140,6845,12292,19137,25982,1140806
32,32,45900,14797,30531,45327,60124,outlier
44,32,13305,10080,5156,15236,25316,1140806
112,101,11623,3660,14765,18425,22085,1140806
112,101,11623,20705,14765,17045,37750,outlier
101,114,37120,12849,16415,29264,42113,1140806
114,111,13880,10560,1031,11590,22150,1140806
111,32,13212,11371,2653,14023,25394,1140806
32,97,14979,12821,3608,16429,29250,1140806
97,117,25713,12347,12893,25240,37587,1140806
99,105,48250,10700,34130,44830,55530,outlier
105,32,31680,9140,20980,30120,39260,1140806
108,186,15360,9280,5860,15140,24420,1140806
110,32,11555,621,12458,13079,13700,outlier
110,32,11555,12687,12458,12066,24753,1140806
99,111,8903,1924,31347,33271,35195,outlier
99,111,8903,13149,31347,11225,24374,outlier
111,110,19742,13174,6593,19768,32942,1140806
110,32,14691,11669,1517,13185,24854,1140806
97,112,15147,7914,2305,10219,18133,1140806
112,116,19264,11362,11350,22712,34074,1140806
116,105,40915,8862,29553,38415,47277,outlier
101,116,51310,9330,36180,45510,54840,outlier
116,117,39470,10220,30140,40360,50580,outlier
117,100,45990,15960,35770,51730,67690,outlier
115,116,40320,10270,23610,33880,44150,1140806
99,115,47570,10650,35910,46560,57210,outlier
115,115,18400,9320,7750,17070,26390,1140806
115,111,30390,10230,21070,31300,41530,1140806
99,105,38990,9870,23650,33520,43390,1140806
105,101,38250,15670,28380,44050,59720,outlier
32,32,50687,199,175,375,574,outlier
32,115,31970,7320,31771,39091,46411,outlier
115,115,18678,10959,7438,18397,29356,1140806
115,115,39009,6694,28050,34744,41438,outlier
115,105,21862,9237,14912,24149,33386,1140806
105,243,22358,7126,14821,21947,29073,1140806
118,101,26610,13790,15550,29340,43130,1140806
101,99,41980,18060,28190,46250,64310,outlier
108,97,25300,17740,11680,29420,47160,outlier
97,32,34320,10650,16580,27230,37880,1140806
