@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'9412060', 'outlier'}

@DATA
101,32,15500,18600,600,19200,37800,9412060
115,105,15000,900,21500,22400,23300,9412060
115,105,15000,14900,21500,14000,28900,9412060
101,110,15600,500,16000,16500,17000,9412060
101,110,15600,10600,16000,10100,20700,9412060
110,116,38200,14300,27600,41900,56200,outlier
116,111,16400,11800,2100,13900,25700,9412060
32,100,15900,500,20700,21200,21700,9412060
100,101,10900,8300,10400,18700,27000,9412060
100,101,10900,18400,10400,10100,28500,9412060
101,115,36700,10600,18300,28900,39500,9412060
115,99,17300,16000,6700,22700,38700,9412060
97,110,11200,3200,16800,20000,23200,9412060
97,110,11200,13300,16800,10100,23400,9412060
110,122,17600,14300,4300,18600,32900,9412060
122,97,24200,11200,9900,21100,32300,9412060
97,100,15200,19100,4000,23100,42200,9412060
100,111,22100,12800,3000,15800,28600,9412060
111,32,14500,11100,1700,12800,23900,9412060
32,32,31300,14200,20200,34400,48600,9412060
32,44,28600,14900,14400,29300,44200,9412060
44,32,15400,15500,500,16000,31500,9412060
32,109,27500,12600,12000,24600,37200,9412060
97,115,15400,1000,18300,19300,20300,9412060
97,115,15400,17000,18300,16000,33000,9412060
115,32,29800,15300,12800,28100,43400,9412060
32,116,23700,15500,8400,23900,39400,9412060
116,114,23100,12700,7600,20300,33000,9412060
97,110,11200,4100,17600,21700,25800,9412060
97,110,11200,12700,17600,8600,21300,9412060
110,113,19100,13300,6400,19700,33000,9412060
113,117,13900,12700,600,13300,26000,9412060
117,105,23000,10300,10300,20600,30900,9412060
105,108,24900,12100,14600,26700,38800,9412060
108,111,50600,8900,38500,47400,56300,outlier
32,100,14900,1700,22500,24200,25900,9412060
100,101,9700,7400,8000,15400,22800,9412060
100,101,9700,17600,8000,10200,27800,9412060
98,105,13400,2600,23800,26400,29000,9412060
98,105,13400,13400,23800,10800,24200,9412060
100,111,15900,1000,33500,34500,35500,9412060
100,111,15900,11800,33500,10800,22600,9412060
111,32,14100,14300,2300,16600,30900,9412060
32,97,20000,14900,5700,20600,35500,9412060
97,32,17900,15900,3000,18900,34800,9412060
32,116,49100,14700,33200,47900,62600,outlier
101,110,10200,5300,15500,20800,26100,9412060
101,110,10200,12200,15500,6900,19100,9412060
101,114,10700,4700,14200,18900,23600,9412060
101,114,10700,17000,14200,12300,29300,9412060
114,32,31000,14900,14000,28900,43800,9412060
101,110,20600,9100,5200,14300,23400,9412060
110,111,19600,9100,10500,19600,28700,9412060
111,115,10300,16300,1200,17500,33800,9412060
115,32,20100,19100,3800,22900,42000,9412060
32,32,46700,6300,27600,33900,40200,outlier
32,99,36700,15300,30400,45700,61000,outlier
99,97,26300,15500,11000,26500,42000,9412060
97,114,21700,14200,6200,20400,34600,9412060
114,103,37200,14900,23000,37900,52800,outlier
97,32,12400,2500,21900,24400,26900,9412060
97,32,12400,17400,21900,14900,32300,9412060
108,97,12700,1100,16100,17200,18300,9412060
108,97,12700,11700,16100,10600,22300,9412060
112,97,23100,2000,21100,23100,25100,9412060
97,114,21900,1900,19900,21800,23700,9412060
114,97,7500,1500,5600,7100,8600,9412060
97,99,36200,1800,34700,36500,38300,9412060
99,105,12700,1800,10900,12700,14500,9412060
105,111,21400,2300,19600,21900,24200,9412060
111,110,15500,2000,13200,15200,17200,9412060
83,101,19600,2100,14800,16900,19000,9412060
101,114,19900,6900,17800,24700,31600,9412060
114,105,15200,3400,8300,11700,15100,9412060
105,97,11400,2200,8000,10200,12400,9412060
97,32,8300,3700,6100,9800,13500,9412060
32,100,17300,2000,13600,15600,17600,9412060
100,101,17600,2300,15600,17900,20200,9412060
101,109,19500,1900,17200,19100,21000,9412060
109,97,8800,1900,6900,8800,10700,9412060
97,115,43900,2800,42000,44800,47600,outlier
115,105,11200,1700,8400,10100,11800,9412060
105,97,10800,2200,9100,11300,13500,9412060
97,98,25300,14900,13600,28500,43400,9412060
98,111,20200,14300,5300,19600,33900,9412060
111,114,46000,14300,31700,46000,60300,outlier
97,108,14900,600,26300,26900,27500,9412060
97,108,14900,12800,26300,12200,25000,9412060
32,32,52700,10600,34700,45300,55900,outlier
32,44,27900,14400,17300,31700,46100,9412060
44,32,17700,14800,3300,18100,32900,9412060
32,106,50300,10000,35500,45500,55500,outlier
97,111,19600,2400,17400,19800,22200,9412060
111,100,9500,1800,7100,8900,10700,9412060
100,32,7700,7100,5900,13000,20100,9412060
32,116,18700,1800,11600,13400,15200,9412060
116,105,13400,2200,11600,13800,16000,9412060
105,101,8500,2200,6300,8500,10700,9412060
101,109,16400,1500,14200,15700,17200,9412060
109,112,21800,1800,20300,22100,23900,9412060
112,111,18700,2300,16900,19200,21500,9412060
111,32,26500,4000,24200,28200,32200,9412060
117,115,5900,5200,14300,19500,24700,9412060
117,115,5900,12100,14300,6900,19000,9412060
115,116,22400,12800,10300,23100,35900,9412060
116,111,16700,10100,3900,14000,24100,9412060
111,32,12500,13700,2400,16100,29800,9412060
32,97,16900,14800,3200,18000,32800,9412060
97,104,17300,12700,2500,15200,27900,9412060
104,111,23900,11100,11200,22300,33400,9412060
111,114,11700,15400,600,16000,31400,9412060
114,97,23100,12800,7700,20500,33300,9412060
97,32,16900,16500,4100,20600,37100,9412060
32,69,24500,11200,47700,58900,70100,outlier
32,69,24500,14300,47700,3100,17400,outlier
69,69,41500,12700,27200,39900,52600,outlier
69,101,19000,14900,6300,21200,36100,9412060
101,115,24500,15400,9600,25000,40400,9412060
32,109,14400,500,24200,24700,25200,9412060
32,109,14400,12700,24200,12200,24900,9412060
105,32,13400,500,21300,21800,22300,9412060
105,32,13400,18100,21300,17600,35700,9412060
32,105,23600,2200,19600,21800,24000,9412060
105,110,18900,1900,16700,18600,20500,9412060
110,116,17700,2000,15800,17800,19800,9412060
116,101,9900,1600,7900,9500,11100,9412060
101,110,8800,2500,7200,9700,12200,9412060
110,116,12900,1700,10400,12100,13800,9412060
116,97,13200,1800,11500,13300,15100,9412060
97,116,5100,2400,3300,5700,8100,9412060
116,110,33400,1600,31000,32600,34200,9412060
110,110,19600,1500,17600,19100,20600,9412060
110,110,58000,1800,56500,58300,60100,outlier
32,101,31500,2200,27800,30000,32200,9412060
101,115,23100,1800,20900,22700,24500,9412060
115,32,46800,3700,45000,48700,52400,outlier
32,114,17200,3400,13500,16900,20300,9412060
114,105,13500,2400,10100,12500,14900,9412060
105,98,9200,1800,6800,8600,10400,9412060
98,105,6800,2100,5000,7100,9200,9412060
105,114,10500,2900,8400,11300,14200,9412060
114,32,9400,4300,6500,10800,15100,9412060
32,32,18800,1500,16800,18300,19800,9412060
32,32,29600,1200,28100,29300,30500,9412060
32,32,19600,1000,18400,19400,20400,9412060
32,32,20500,1400,19500,20900,22300,9412060
32,32,18800,1900,17400,19300,21200,9412060
32,32,16200,1400,14300,15700,17100,9412060
32,32,3300,1600,1900,3500,5100,9412060
32,32,18100,2000,16500,18500,20500,9412060
101,115,21500,1500,18400,19900,21400,9412060
115,99,35000,2200,33500,35700,37900,9412060
99,114,7400,4200,5200,9400,13600,9412060
114,105,22400,1400,18200,19600,21000,9412060
105,98,7500,1900,6100,8000,9900,9412060
98,105,6600,2000,4700,6700,8700,9412060
105,114,16200,1900,14200,16100,18000,9412060
114,32,14600,2500,12700,15200,17700,9412060
32,117,30300,3700,27800,31500,35200,9412060
117,110,18200,1700,14500,16200,17900,9412060
110,32,21800,2200,20100,22300,24500,9412060
32,101,21800,2300,19600,21900,24200,9412060
101,110,25100,1700,22800,24500,26200,9412060
110,115,12000,2400,10300,12700,15100,9412060
115,97,22900,1900,20500,22400,24300,9412060
97,121,9100,3200,7200,10400,13600,9412060
121,111,34400,2100,31200,33300,35400,9412060
32,115,23400,3000,19200,22200,25200,9412060
115,111,14000,2300,11000,13300,15600,9412060
111,98,20900,1600,18600,20200,21800,9412060
98,114,20000,1800,18400,20200,22000,9412060
114,101,25000,3000,23200,26200,29200,9412060
101,32,10100,3700,7100,10800,14500,9412060
32,116,16100,2400,12400,14800,17200,9412060
116,111,10900,1800,8500,10300,12100,9412060
111,100,19600,2200,17800,20000,22200,9412060
100,97,6700,2000,4500,6500,8500,9412060
97,32,16100,2600,14100,16700,19300,9412060
32,109,34000,2500,31400,33900,36400,9412060
109,105,19700,2100,17200,19300,21400,9412060
105,32,14900,2700,12800,15500,18200,9412060
32,118,28100,1700,25400,27100,28800,9412060
118,105,16600,1300,14900,16200,17500,9412060
105,100,25600,3400,24300,27700,31100,9412060
100,97,6600,2400,3200,5600,8000,9412060
97,32,14600,2600,12200,14800,17400,9412060
112,111,9500,2700,6000,8700,11400,9412060
111,114,8900,1800,6200,8000,9800,9412060
114,32,12700,2200,10900,13100,15300,9412060
32,108,28500,1900,26300,28200,30100,9412060
108,111,16900,2000,15000,17000,19000,9412060
111,32,22900,2700,20900,23600,26300,9412060
32,119,20300,3300,17600,20900,24200,9412060
119,117,12300,2400,9000,11400,13800,9412060
117,114,12700,1900,10300,12200,14100,9412060
114,32,13200,4200,11300,15500,19700,9412060
110,111,21900,2000,18600,20600,22600,9412060
111,32,16700,2300,14700,17000,19300,9412060
112,105,14200,2800,10800,13600,16400,9412060
105,100,10300,2300,7500,9800,12100,9412060
100,114,18400,2100,16100,18200,20300,9412060
114,101,7500,2200,5400,7600,9800,9412060
101,32,13900,4200,11700,15900,20100,9412060
32,104,22200,2500,18000,20500,23000,9412060
104,97,33700,4300,31200,35500,39800,9412060
97,32,5500,6300,1200,7500,13800,9412060
32,101,8700,3000,2400,5400,8400,9412060
101,114,17700,3000,14700,17700,20700,9412060
114,108,9300,2400,6300,8700,11100,9412060
108,111,11500,1600,9100,10700,12300,9412060
111,32,25400,5200,23800,29000,34200,9412060
32,99,35100,2800,29900,32700,35500,9412060
99,111,31300,2100,28500,30600,32700,9412060
111,109,10500,2100,8400,10500,12600,9412060
32,100,22700,17500,4600,22100,39600,9412060
105,115,11200,1500,13700,15200,16700,9412060
105,115,11200,14900,13700,13400,28300,9412060
115,102,47000,14300,32100,46400,60700,outlier
114,117,10700,3600,19700,23300,26900,9412060
114,117,10700,13800,19700,10200,24000,9412060
117,116,24700,14800,10900,25700,40500,9412060
116,101,21800,16400,7000,23400,39800,9412060
101,32,20500,17100,4100,21200,38300,9412060
109,111,9300,2000,7200,9200,11200,9412060
111,32,19800,3400,17800,21200,24600,9412060
32,115,49000,2900,45600,48500,51400,outlier
115,114,15000,2000,12100,14100,16100,9412060
114,32,8200,4300,6200,10500,14800,9412060
112,101,17100,2100,12000,14100,16200,9412060
101,100,12100,2100,10000,12100,14200,9412060
100,105,8200,2800,6100,8900,11700,9412060
105,97,11200,1700,8400,10100,11800,9412060
101,108,45200,17000,25100,42100,59100,outlier
108,32,22800,17000,5800,22800,39800,9412060
102,105,8100,4700,22100,26800,31500,9412060
102,105,8100,12100,22100,7400,19500,9412060
110,97,9500,1700,13200,14900,16600,9412060
110,97,9500,14900,13200,13200,28100,9412060
97,108,20200,10100,5300,15400,25500,9412060
32,100,13400,400,20900,21300,21700,9412060
100,101,11100,7900,10700,18600,26500,9412060
101,32,14900,1000,7000,8000,9000,9412060
101,32,14900,15400,7000,14400,29800,9412060
32,115,25300,14900,9900,24800,39700,9412060
115,101,23100,14900,8200,23100,38000,9412060
109,101,10100,2100,13500,15600,17700,9412060
109,101,10100,15900,13500,13800,29700,9412060
101,115,33600,15000,17700,32700,47700,9412060
115,116,25400,10600,10400,21000,31600,9412060
116,114,23300,13300,12700,26000,39300,9412060
114,101,17600,14300,4300,18600,32900,9412060
88,68,30500,15800,9800,25600,41400,9412060
88,68,30500,20100,9800,4300,24400,9412060
68,68,26200,11100,6100,17200,28300,9412060
68,68,19100,13400,8000,21400,34800,9412060
68,32,14700,13200,1300,14500,27700,9412060
32,32,16300,10000,3100,13100,23100,9412060
32,46,52400,17000,42400,59400,76400,outlier
