@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1130464', 'outlier'}

@DATA
109,32,20609,11709,13697,25406,37115,1130464
100,105,21316,7613,6681,14294,21907,1130464
105,97,8561,8709,948,9657,18366,1130464
97,32,17081,7542,8371,15913,23455,1130464
32,32,9996,4273,6966,11239,15512,1130464
32,32,19213,5839,14940,20779,26618,1130464
32,32,28219,8213,22380,30594,38807,outlier
32,101,9614,907,46912,47819,48726,outlier
32,101,9614,7394,46912,6487,13881,outlier
115,116,8836,4194,17788,21983,26177,1130464
115,116,8836,7416,17788,3221,10637,1130464
116,111,12071,10227,4656,14883,25110,1130464
112,111,5197,3426,20269,23695,27121,1130464
111,114,7192,2093,3766,5859,7952,1130464
99,101,13709,1004,24733,25737,26741,1130464
99,101,13709,9210,24733,8206,17416,1130464
101,114,15999,13230,6789,20019,33249,1130464
106,101,9509,2903,11435,14337,17240,1130464
106,101,9509,9452,11435,6549,16001,1130464
101,114,14641,14875,5189,20064,34939,1130464
114,99,28288,12147,13413,25560,37707,outlier
105,99,11225,4364,13444,17808,22172,1130464
32,101,22390,8380,9190,17570,25950,1130464
109,112,11400,3990,19550,23540,27530,1130464
112,105,15370,9660,11380,21040,30700,1130464
105,101,11900,5270,2240,7510,12780,1130464
105,101,11900,7880,2240,2610,10490,1130464
101,122,40430,9210,32550,41760,50970,outlier
111,32,13530,2080,24870,26950,29030,1130464
111,32,13530,13390,24870,11310,24700,1130464
