@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150061', 'outlier'}

@DATA
68,101,9260,4811,1353,6163,10974,1150061
68,101,9260,13848,1353,9037,22885,1150061
44,32,32600,7100,25500,32600,39700,outlier
116,101,7600,9500,900,10400,19900,1150061
101,110,20800,7500,11300,18800,26300,1150061
110,101,8800,7900,1300,9200,17100,1150061
101,114,16200,7900,8300,16200,24100,1150061
114,32,10800,6700,2900,9600,16300,1150061
109,105,15400,5500,25000,30500,36000,1150061
109,105,15400,12400,25000,6900,19300,1150061
110,32,9550,680,19210,19890,20570,1150061
110,32,9550,9180,19210,8500,17680,1150061
32,109,13180,7150,4000,11150,18300,1150061
97,115,12410,6380,14440,20820,27200,1150061
97,115,12410,10420,14440,4040,14460,1150061
115,32,12030,9230,1610,10840,20070,1150061
112,97,10730,18000,1670,19670,37670,outlier
97,114,32510,18700,14510,33210,51910,outlier
101,108,5194,11047,8867,2800,13847,1150061
108,32,19802,11443,8755,20197,31640,1150061
32,101,41106,13432,29663,43095,56527,outlier
101,104,18283,5452,4851,10304,15756,1150061
104,104,21005,7043,15553,22596,29639,1150061
104,104,15402,8235,8358,16594,24829,1150061
104,101,7609,1442,20683,22125,23567,1150061
104,101,7609,12224,20683,10782,23006,1150061
101,99,16875,11840,4651,16491,28331,1150061
99,104,13601,10274,1761,12034,22308,1150061
122,97,13981,12353,38772,7329,19682,outlier
97,114,24780,7450,12428,19877,27327,1150061
114,32,20846,6199,13396,19595,25794,1150061
121,32,18767,8050,13225,21275,29325,1150061
32,104,15011,5494,6961,12454,17948,1150061
104,97,5597,7983,103,8087,16070,1150061
97,99,14243,9893,6260,16153,26046,1150061
101,114,12389,4062,14332,18394,22456,1150061
114,32,5334,1687,1272,2959,4646,1150061
117,110,4802,6261,15338,21600,27861,1150061
110,32,10401,4666,4140,8806,13472,1150061
110,32,10401,9483,4140,4817,14300,1150061
115,101,17568,8655,8933,17587,26242,1150061
101,115,19197,8652,12151,20803,29455,1150061
115,116,13560,8686,4908,13594,22280,1150061
114,101,7196,3047,15360,18408,21455,1150061
101,115,22887,13681,9039,22720,36401,1150061
101,32,15455,3418,6922,10340,13758,1150061
101,32,15455,10876,6922,7457,18333,1150061
112,101,10495,9644,2417,12061,21705,1150061
113,117,12053,5117,21958,27075,32192,1150061
117,101,8587,1405,3470,4875,6280,1150061
101,110,10542,1572,9138,10710,12282,1150061
101,110,10542,10413,9138,8841,19254,1150061
114,32,5334,9766,1272,8079,17845,1150061
99,111,8364,581,15334,15916,16497,1150061
99,111,8364,6315,15334,5734,12049,1150061
115,97,10781,1409,20785,22194,23603,1150061
97,115,11536,2093,10127,12220,14313,1150061
97,115,11536,10216,10127,8123,18339,1150061
115,32,11597,8659,1382,10041,18700,1150061
32,110,25283,7364,16625,23989,31353,1150061
110,117,13831,6041,6467,12508,18549,1150061
117,101,7753,7471,1712,9184,16655,1150061
104,111,35708,10241,25435,35676,45917,outlier
32,113,10408,4249,21067,25316,29565,1150061
113,117,11592,3026,7343,10369,13395,1150061
117,101,8004,1007,4978,5985,6992,1150061
101,32,8793,3831,7786,11617,15448,1150061
101,32,8793,13043,7786,9212,22255,1150061
108,97,14415,669,22161,22830,23499,1150061
97,115,5192,7841,4523,12364,20205,1150061
115,32,9194,5037,1352,6389,11426,1150061
115,32,9194,11044,1352,6007,17051,1150061
32,97,51050,9150,37970,47120,56270,outlier
97,97,33480,9390,15220,24610,34000,outlier
32,101,19180,9870,4860,14730,24600,1150061
101,116,25330,9470,11190,20660,30130,1150061
116,101,11970,7320,2500,9820,17140,1150061
110,105,16860,3800,24680,28480,32280,1150061
105,97,6810,3540,3010,6550,10090,1150061
114,101,7196,9439,15360,6391,15830,1150061
101,32,18388,10254,8949,19203,29457,1150061
32,101,55997,8664,45743,54407,63071,outlier
108,32,8033,656,9742,10398,11054,1150061
108,32,8033,7857,9742,7201,15058,1150061
112,114,3271,3863,8949,12811,16674,1150061
114,101,5588,3075,1725,4801,7876,1150061
114,101,5588,11060,1725,7985,19045,1150061
101,100,16003,9443,4943,14386,23829,1150061
100,100,27171,7079,17728,24807,31886,1150061
97,46,44502,12493,36333,48825,61318,outlier
83,111,9145,1054,577,1631,2685,1150061
111,121,12345,909,11292,12201,13110,1150061
111,121,12345,7483,11292,6574,14057,1150061
121,32,8437,8851,954,9805,18656,1150061
32,117,14117,7919,5266,13186,21105,1150061
110,32,6460,3202,18221,21423,24625,1150061
110,32,6460,10369,18221,7167,17536,1150061
106,111,9484,6812,19353,26164,32976,1150061
105,32,18600,10200,6200,16400,26600,1150061
32,99,10700,8700,500,9200,17900,1150061
99,99,37500,13600,28800,42400,56000,outlier
112,114,10900,1000,44700,45700,46700,outlier
112,114,10900,10200,44700,9200,19400,outlier
114,111,22300,7100,12100,19200,26300,1150061
111,111,28300,7500,21200,28700,36200,1150061
112,105,15800,1500,54400,55900,57400,outlier
105,111,19100,3100,17600,20700,23800,1150061
100,115,8828,6258,1748,8007,14265,1150061
115,105,14411,5409,8152,13562,18971,1150061
100,101,7995,3861,12183,16044,19905,1150061
100,101,7995,9451,12183,5590,15041,1150061
110,116,6412,1468,14549,16016,17484,1150061
116,101,5597,597,4129,4726,5323,1150061
116,101,5597,7049,4129,6452,13501,1150061
32,100,3992,1460,8954,10414,11874,1150061
100,101,4796,3067,3335,6402,9469,1150061
100,101,4796,8660,3335,5594,14254,1150061
105,97,6810,9410,3010,5870,15280,1150061
32,101,16150,8540,1480,10020,18560,1150061
110,32,11340,4500,32710,37210,41710,1150061
110,32,11340,15270,32710,10770,26040,1150061
32,115,19090,8430,3820,12250,20680,1150061
117,32,9150,1490,15220,16710,18200,1150061
32,97,13380,660,11890,12550,13210,1150061
32,97,13380,10100,11890,9440,19540,1150061
114,101,9280,460,17730,18190,18650,1150061
99,111,10420,2591,22895,25486,28077,1150061
111,109,9578,2599,6987,9586,12185,1150061
109,112,12494,658,9895,10553,11211,1150061
109,112,12494,15339,9895,14681,30020,1150061
112,117,20789,12703,5451,18153,30856,1150061
117,114,42198,6040,29495,35535,41575,outlier
114,114,54990,10945,48951,59896,70841,outlier
114,114,53390,9047,42445,51491,60538,outlier
114,114,15897,9849,6850,16699,26548,1150061
114,114,17031,7019,7182,14201,21220,1150061
105,111,19100,14800,17600,11700,26500,1150061
111,32,31000,12200,16200,28400,40600,outlier
32,99,22600,11500,10400,21900,33400,1150061
99,111,13700,11100,2200,13300,24400,1150061
111,110,19600,12300,8500,20800,33100,1150061
110,115,21500,11500,9200,20700,32200,1150061
115,117,14300,7500,2800,10300,17800,1150061
117,108,20400,10600,12900,23500,34100,1150061
108,116,25900,9000,15300,24300,33300,1150061
116,111,17000,8900,8000,16900,25800,1150061
110,111,28673,13957,18260,32217,46174,outlier
111,32,29163,7464,15206,22670,30134,1150061
32,32,42946,6806,35482,42289,49095,outlier
32,32,13083,5169,6276,11445,16614,1150061
32,32,9685,5362,4516,9878,15240,1150061
241,111,17670,6905,10357,17262,24167,1150061
111,32,17560,4423,10655,15078,19501,1150061
101,32,7566,6173,12094,18267,24440,1150061
101,32,9598,5456,938,6394,11850,1150061
108,97,5582,3037,12129,15166,18203,1150061
108,97,5582,6277,12129,3240,9517,1150061
97,32,13616,7059,7340,14399,21458,1150061
97,115,7994,5471,15341,20811,26282,1150061
97,115,7994,12658,15341,7187,19845,1150061
111,99,12766,9458,8941,18399,27857,1150061
105,97,4838,616,7326,7942,8558,1150061
105,97,4838,10279,7326,9663,19942,1150061
121,32,14560,10634,7417,18051,28685,1150061
32,101,15348,7502,4714,12216,19718,1150061
101,115,21162,9510,13660,23170,32680,1150061
116,117,8439,249,24597,24846,25095,1150061
116,117,8439,6303,24597,6055,12358,1150061
100,105,9115,1212,18071,19283,20495,1150061
100,105,9115,7046,18071,5834,12880,1150061
105,111,18377,6797,11331,18129,24926,1150061
111,32,15680,8501,8882,17383,25884,1150061
106,111,9484,9816,19353,3004,12820,1150061
118,101,8664,1541,21568,23109,24650,1150061
118,101,8664,10098,21568,8557,18655,1150061
110,32,10038,4164,40788,44953,49117,outlier
110,32,10038,12868,40788,8703,21571,outlier
97,108,28289,6712,18159,24871,31583,1150061
108,109,16571,6636,9859,16495,23131,1150061
109,97,7572,9607,936,10542,20149,1150061
97,99,16015,9451,5736,15187,24638,1150061
99,105,13699,5356,4248,9604,14960,1150061
105,105,25478,7074,20122,27196,34270,1150061
110,32,6394,689,26547,27235,27924,1150061
110,32,6394,5458,26547,4770,10228,1150061
110,32,6394,9436,26547,3978,13414,1150061
32,101,27203,7851,17767,25619,33470,1150061
115,116,8005,2292,20159,22451,24743,1150061
115,116,8005,5419,20159,3127,8546,1150061
116,117,15192,3830,9773,13603,17433,1150061
