@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1130599', 'outlier'}

@DATA
114,97,7780,90,10463,10554,10644,outlier
114,97,7780,10704,10463,10614,21318,1130599
97,32,24330,12459,13626,26086,38545,1130599
32,97,30258,10380,17799,28179,38559,1130599
97,100,22351,9124,11971,21094,30218,1130599
100,113,31636,13935,22512,36448,50383,outlier
117,105,10465,1471,13849,15319,16790,outlier
117,105,10465,12533,13849,11062,23595,1130599
105,114,16225,9671,3692,13363,23034,1130599
105,114,23274,2608,12324,14932,17540,1130599
114,32,39621,11907,37013,48920,60827,outlier
99,111,9018,1854,47116,48971,50825,outlier
99,111,9018,10436,47116,8581,19017,outlier
110,111,9154,2961,11131,14092,17053,1130599
110,111,9154,10450,11131,7489,17939,1130599
111,99,17234,9998,6783,16781,26779,1130599
99,105,11955,8554,1957,10511,19065,1130599
109,105,12510,10899,1505,12404,23303,1130599
105,101,13855,10276,2956,13232,23508,1130599
101,110,12429,10563,2152,12716,23279,1130599
110,116,12807,9805,2243,12048,21853,1130599
116,111,16358,12512,6553,19065,31577,1130599
115,32,9321,541,15423,15964,16505,outlier
115,32,9321,15965,15423,15424,31389,1130599
113,117,10803,1344,25438,26782,28126,outlier
113,117,10803,7757,25438,6413,14170,1130599
117,101,14129,10004,6371,16375,26379,1130599
101,32,10756,12341,752,13093,25434,1130599
32,115,15128,8518,2787,11305,19823,1130599
115,101,10466,9397,1948,11345,20742,1130599
101,97,18964,12474,9566,22040,34514,1130599
110,32,13341,185,13604,13789,13974,outlier
110,32,13341,13801,13604,13616,27417,1130599
32,117,43729,9563,29928,39491,49054,outlier
117,116,25942,9438,16380,25817,35255,1130599
116,105,12092,9774,2654,12428,22202,1130599
105,108,19377,13730,9603,23333,37063,1130599
108,101,15188,10408,1458,11867,22275,1130599
101,115,18519,9845,8110,17956,27801,1130599
115,32,12652,10777,2807,13584,24361,1130599
114,101,11488,9780,1387,11167,20947,1130599
101,115,16562,7528,6782,14309,21837,1130599
115,112,12033,11547,4505,16053,27600,1130599
112,101,15302,8959,3754,12713,21672,1130599
101,99,31667,5159,22709,27867,33026,1130599
116,111,9599,1813,24941,26753,28566,1130599
116,111,9599,12357,24941,10544,22901,1130599
32,108,17591,8904,7352,16256,25160,1130599
108,111,16301,10310,7397,17707,28017,1130599
111,115,11497,10957,1188,12144,23101,1130599
115,32,12964,9766,2008,11774,21540,1130599
110,101,8673,1103,16300,17403,18506,outlier
110,101,8673,9848,16300,8745,18593,1130599
101,103,24691,8922,14843,23765,32687,1130599
103,111,9675,10763,753,11516,22279,1130599
99,105,7612,948,19705,20653,21601,outlier
105,111,9834,1976,8886,10862,12838,1130599
105,111,9834,12679,8886,10704,23383,1130599
111,115,19509,13148,6829,19977,33125,1130599
44,32,23554,10011,15222,25233,35244,1130599
32,32,22658,6243,11033,17276,23519,1130599
32,121,22560,12289,9955,22244,34533,1130599
121,32,16925,10735,4635,15371,26106,1130599
32,99,28437,12869,17702,30572,43441,1130599
114,101,11185,2693,23693,26386,29079,1130599
114,101,11185,12396,23693,9703,22099,1130599
101,97,21275,13405,8879,22284,35689,1130599
97,114,16678,11116,3273,14389,25505,1130599
114,32,19351,11666,8235,19901,31567,1130599
117,110,21929,8524,15156,23680,32204,1130599
97,32,9393,2777,14068,16846,19623,1130599
97,32,9393,9116,14068,6339,15455,1130599
32,101,37389,10157,28272,38429,48586,outlier
101,109,10632,9969,476,10444,20413,1130599
109,112,13166,11272,3197,14470,25742,1130599
114,101,11029,3480,17300,20780,24260,1130599
114,101,11029,13520,17300,10040,23560,1130599
101,115,25843,9789,12323,22112,31901,1130599
115,97,16068,14500,6279,20780,35280,1130599
97,32,17004,9666,2503,12169,21835,1130599
32,112,26041,11381,16375,27756,39137,1130599
114,111,12840,331,17144,17476,17807,outlier
114,111,12840,9911,17144,9580,19491,1130599
111,112,20506,10401,10595,20996,31397,1130599
112,105,11796,11145,1396,12541,23686,1130599
105,97,22649,13993,11504,25497,39490,1130599
97,32,15130,12036,1137,13173,25209,1130599
44,32,27024,9973,18528,28501,38474,1130599
32,32,20153,4015,11624,15639,19654,1130599
32,32,50808,8948,40317,49265,58213,outlier
46,32,31221,10885,25105,35990,46875,1130599
32,117,23134,7399,12249,19648,27047,1130599
117,110,20780,9840,13381,23222,33062,1130599
110,111,13573,12234,3732,15966,28200,1130599
111,32,18949,12727,6715,19443,32170,1130599
101,32,10090,3891,17443,21334,25225,1130599
101,32,10090,10979,17443,7087,18066,1130599
32,108,21936,6791,10957,17748,24539,1130599
108,111,16533,10809,9742,20552,31361,1130599
115,32,12925,853,13879,14733,15586,outlier
115,32,12925,11241,13879,10388,21629,1130599
111,98,16418,10907,6908,17815,28722,1130599
98,106,50642,9715,39735,49449,59164,outlier
106,101,16515,9459,6801,16260,25719,1130599
101,116,16319,6797,6860,13657,20454,1130599
116,105,9066,7643,2269,9912,17555,1130599
105,118,14934,12311,7291,19602,31913,1130599
118,111,12820,12249,509,12758,25007,1130599
111,115,20751,10984,8502,19486,30470,1130599
115,32,37881,15349,26897,42247,57596,outlier
32,112,22630,11753,7280,19033,30786,1130599
114,105,10135,2076,16245,18321,20397,1130599
114,105,10135,8726,16245,6650,15376,1130599
112,97,12689,10801,954,11755,22556,1130599
105,110,14764,9726,6038,15764,25490,1130599
114,97,7780,90,10463,10554,10644,outlier
99,105,8148,2398,17592,19990,22388,1130599
114,97,7780,10704,10463,10614,21318,1130599
99,105,8148,9756,17592,7357,17113,1130599
105,112,21125,10461,11369,21829,32290,1130599
112,97,17897,11544,7437,18981,30525,1130599
97,108,13909,10326,2365,12691,23017,1130599
108,101,15343,11721,5017,16738,28459,1130599
101,115,14946,11168,3225,14393,25561,1130599
115,32,11643,9819,475,10294,20113,1130599
32,101,25113,11686,15293,26980,38666,1130599
101,115,23097,8740,11411,20151,28891,1130599
115,32,9883,9776,1143,10919,20695,1130599
32,117,23221,5417,13445,18863,24280,1130599
117,116,18101,8869,12683,21553,30422,1130599
116,116,18238,11417,12387,23805,35222,1130599
114,101,9449,2876,20104,22981,25857,1130599
114,101,9449,12603,20104,9726,22329,1130599
101,97,20894,12510,8291,20801,33311,1130599
97,114,16872,9891,4362,14253,24144,1130599
114,32,15981,11394,6090,17484,28878,1130599
108,105,16497,8524,6799,15323,23847,1130599
32,98,180,1534,11016,12550,14084,outlier
32,98,180,1909,11016,374,2283,outlier
113,117,10803,1344,25438,26782,28126,outlier
