@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1150379', 'outlier'}

@DATA
101,114,13486,8206,1731,9937,18143,1150379
114,121,34635,8039,26429,34468,42507,1150379
121,32,12928,9539,4889,14428,23967,1150379
32,116,18030,6111,8491,14602,20713,1150379
116,105,19490,7006,13379,20385,27391,1150379
105,109,17870,6633,10864,17497,24130,1150379
114,101,6362,9475,14784,4802,14277,1150379
97,108,9629,3564,18845,22410,25974,1150379
97,108,9629,9226,18845,5661,14887,1150379
108,105,20956,7410,11730,19140,26550,1150379
105,122,28666,13254,21256,34510,47764,1150379
122,97,17363,12221,4109,16330,28551,1150379
97,114,22995,10211,10774,20986,31197,1150379
114,32,14420,10378,4209,14587,24965,1150379
32,101,12039,10598,1661,12259,22857,1150379
101,115,20421,11923,9823,21746,33669,1150379
109,101,17568,6114,10935,17049,23163,1150379
101,32,20561,6541,14447,20988,27529,1150379
32,119,42043,8943,35502,44445,53388,outlier
119,101,34940,7510,25997,33507,41017,1150379
101,32,11377,6595,3866,10461,17056,1150379
32,115,18701,9424,12106,21530,30954,1150379
115,97,18854,5527,9430,14957,20484,1150379
97,121,21992,7148,16465,23612,30760,1150379
121,32,10060,9508,2913,12421,21929,1150379
32,103,44472,6494,34964,41459,47953,outlier
111,32,32360,8900,21680,30580,39480,1150379
97,114,29480,10920,9490,20410,31330,1150379
113,117,36820,12050,19320,31370,43420,1150379
117,101,26920,18010,14870,32880,50890,outlier
101,32,23240,10810,5230,16040,26850,1150379
115,32,14327,13346,2404,15749,29095,1150379
111,114,14749,10024,1255,11279,21303,1150379
114,114,19231,6712,9208,15920,22632,1150379
101,114,9742,4193,21927,26120,30313,1150379
101,114,9742,11685,21927,7492,19177,1150379
32,121,34825,11418,21018,32437,43855,1150379
121,32,26721,8737,15303,24040,32777,1150379
97,109,29330,7110,18600,25710,32820,1150379
109,97,15210,12430,8100,20530,32960,1150379
98,108,37790,6570,30810,37380,43950,1150379
108,101,8550,10210,1980,12190,22400,1150379
101,32,14100,8890,3890,12780,21670,1150379
32,44,29700,7000,23530,30530,37530,1150379
44,32,13010,8290,6010,14300,22590,1150379
103,111,18006,5526,11511,17037,22563,1150379
111,111,14443,6100,8917,15016,21116,1150379
111,100,11070,7982,4970,12952,20934,1150379
100,32,13453,6055,5471,11527,17582,1150379
98,121,24136,8897,14057,22954,31851,1150379
121,101,26485,11369,17589,28958,40327,1150379
101,44,39943,5073,28574,33647,38720,1150379
44,32,17914,6527,12841,19368,25895,1150379
97,99,37182,6777,29290,36066,42843,1150379
101,114,10436,4273,27182,31455,35728,1150379
101,114,10436,11636,27182,7362,18998,1150379
114,32,24030,11944,12395,24338,36282,1150379
32,101,15971,9281,4027,13308,22589,1150379
106,101,10043,1997,12837,14834,16831,1150379
101,114,9488,4797,7490,12288,17085,1150379
101,114,9488,10749,7490,5952,16701,1150379
114,115,21163,10396,10414,20810,31206,1150379
115,105,13634,7148,3238,10385,17533,1150379
105,99,10413,9246,3265,12512,21758,1150379
105,111,4751,9584,4787,14371,23955,1150379
105,111,4751,14772,4787,5188,19960,1150379
111,32,25592,9617,10820,20437,30054,1150379
32,32,15573,8689,10339,19028,27717,1150379
32,32,19503,7959,10814,18773,26732,1150379
32,32,18039,11103,10080,21183,32286,1150379
105,32,21397,4277,14877,19154,23431,1150379
32,102,15522,9596,11245,20842,30438,1150379
102,101,13508,9007,3912,12918,21925,1150379
101,108,15580,5500,6573,12073,17573,1150379
108,108,13442,9052,7943,16994,26046,1150379
108,32,28496,9038,19445,28482,37520,1150379
32,32,43584,1098,34546,35644,36742,outlier
32,32,13858,1567,12760,14327,15894,1150379
32,101,34039,8095,32472,40567,48662,outlier
101,101,31949,5077,23854,28931,34008,1150379
32,32,16830,4110,10360,14470,18580,1150379
32,121,16890,8110,8220,16330,24440,1150379
121,32,16630,8410,8520,16930,25340,1150379
109,117,17820,5490,12160,17650,23140,1150379
117,121,20250,4980,14760,19740,24720,1150379
121,32,11890,8810,6910,15720,24530,1150379
104,117,15420,3160,11200,14360,17520,1150379
68,105,46330,10150,22450,32600,42750,1150379
105,111,21540,9660,11390,21050,30710,1150379
115,32,28240,10390,12090,22480,32870,1150379
109,101,31140,15460,18580,34040,49500,outlier
101,32,22300,11070,6840,17910,28980,1150379
101,101,12036,4156,6959,11115,15271,1150379
101,101,11965,9501,7809,17309,26810,1150379
101,108,15460,6123,5959,12082,18205,1150379
108,32,22057,8035,15934,23969,32004,1150379
118,118,30937,8064,21420,29484,37548,1150379
118,118,36565,10489,28500,38989,49478,1150379
101,114,10504,1670,17469,19139,20809,1150379
101,114,10504,10703,17469,9033,19736,1150379
114,121,21954,9010,11251,20261,29271,1150379
117,109,21850,7080,18690,25770,32850,1150379
109,105,19450,3970,12370,16340,20310,1150379
105,108,23860,6100,19890,25990,32090,1150379
100,101,8570,3390,33310,36700,40090,outlier
100,101,8570,15240,33310,11850,27090,outlier
44,32,19250,8990,10850,19840,28830,1150379
112,111,15310,5920,10920,16840,22760,1150379
111,114,10590,7390,4670,12060,19450,1150379
121,32,12211,9317,3201,12518,21835,1150379
117,110,16553,8001,11470,19471,27472,1150379
110,99,15591,8906,7590,16496,25402,1150379
99,111,11907,9972,3001,12973,22945,1150379
111,110,18404,6523,8431,14955,21478,1150379
110,99,14172,7907,7648,15556,23463,1150379
99,105,11809,7113,3901,11015,18128,1150379
105,111,40052,10132,32939,43070,53202,outlier
111,117,20026,5517,9894,15411,20928,1150379
114,113,29720,12430,22330,34760,47190,1150379
113,117,22660,6980,10230,17210,24190,1150379
117,101,11890,9800,4910,14710,24510,1150379
101,32,14000,6490,4200,10690,17180,1150379
32,32,35970,6800,29480,36280,43080,1150379
32,32,18150,4870,11350,16220,21090,1150379
32,32,12790,5970,7920,13890,19860,1150379
32,32,14200,5680,8230,13910,19590,1150379
32,32,11080,5470,5400,10870,16340,1150379
32,32,12180,5990,6710,12700,18690,1150379
32,32,21042,10806,9939,20745,31551,1150379
32,32,24996,13021,14189,27210,40231,1150379
115,105,16866,9515,5671,15186,24701,1150379
99,105,10316,429,12026,12455,12884,outlier
105,111,8450,5505,8021,13526,19031,1150379
105,111,8450,12298,8021,6792,19090,1150379
