@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1234567', 'outlier'}

@DATA
97,32,21100,6900,9500,16400,23300,1234567
32,113,20200,11400,13300,24700,36100,1234567
113,117,13300,9300,1900,11200,20500,1234567
117,101,12500,8500,3200,11700,20200,1234567
101,32,12400,7900,3900,11800,19700,1234567
97,32,43700,3300,40200,43500,46800,outlier
32,105,34700,6700,31400,38100,44800,1234567
105,110,24800,2300,18100,20400,22700,1234567
110,118,40000,1800,37700,39500,41300,outlier
118,101,16600,1900,14800,16700,18600,1234567
101,115,22300,2600,20400,23000,25600,1234567
115,116,6900,2900,4300,7200,10100,1234567
32,116,23900,6100,16000,22100,28200,1234567
116,97,10400,11100,4300,15400,26500,1234567
97,108,21400,7400,10300,17700,25100,1234567
108,32,22900,6400,15500,21900,28300,1234567
32,109,16700,8000,10300,18300,26300,1234567
109,105,19500,7400,11500,18900,26300,1234567
105,32,23000,6800,15600,22400,29200,1234567
32,110,22600,6400,15800,22200,28600,1234567
110,111,20700,7400,14300,21700,29100,1234567
111,109,22100,8500,14700,23200,31700,1234567
109,98,27600,6800,19100,25900,32700,1234567
98,114,19500,10100,12700,22800,32900,1234567
114,101,20000,7800,9900,17700,25500,1234567
101,32,16600,7200,8800,16000,23200,1234567
32,101,9600,9600,2400,12000,21600,1234567
115,32,10700,1500,23100,24600,26100,1234567
115,32,10700,7900,23100,6400,14300,1234567
32,106,20100,7300,12200,19500,26800,1234567
106,117,17000,8600,9700,18300,26900,1234567
117,97,37700,12200,29100,41300,53500,outlier
97,110,16600,7400,4400,11800,19200,1234567
110,97,8500,11600,1100,12700,24300,1234567
97,32,17100,6900,5500,12400,19300,1234567
32,105,28400,7900,21500,29400,37300,1234567
105,116,25700,7400,17800,25200,32600,1234567
116,115,14100,8400,6700,15100,23500,1234567
115,101,20300,11500,11900,23400,34900,1234567
101,108,19800,7800,8300,16100,23900,1234567
108,32,24100,6300,16300,22600,28900,1234567
32,118,21700,7000,15400,22400,29400,1234567
118,97,9500,11600,2500,14100,25700,1234567
97,122,38400,7300,26800,34100,41400,1234567
113,117,14400,500,25200,25700,26200,1234567
113,117,14400,8600,25200,8100,16700,1234567
117,101,11600,9600,3000,12600,22200,1234567
122,32,10700,2100,27700,29800,31900,1234567
122,32,10700,8500,27700,6400,14900,1234567
118,101,8000,500,19500,20000,20500,1234567
118,101,8000,9100,19500,8600,17700,1234567
101,108,19600,7800,10500,18300,26100,1234567
103,97,22500,2400,20000,22400,24800,1234567
97,99,36600,2200,34200,36400,38600,outlier
99,105,18400,2000,16200,18200,20200,1234567
121,32,57300,2800,54200,57000,59800,outlier
97,32,14600,2600,11500,14100,16700,1234567
32,114,40200,2600,37600,40200,42800,outlier
114,101,15300,2300,12700,15000,17300,1234567
108,97,12400,9000,4600,13600,22600,1234567
97,122,21400,9600,12400,22000,31600,1234567
122,113,21300,12200,11700,23900,36100,1234567
113,117,19200,6900,7000,13900,20800,1234567
117,101,18600,9500,11700,21200,30700,1234567
101,122,38200,12800,28700,41500,54300,outlier
122,32,40800,7400,28000,35400,42800,outlier
32,110,19800,6800,12400,19200,26000,1234567
110,97,8000,10100,1200,11300,21400,1234567
97,99,26100,10000,16000,26000,36000,1234567
99,105,10700,7900,700,8600,16500,1234567
105,32,21200,9000,13300,22300,31300,1234567
32,101,15400,9000,6400,15400,24400,1234567
101,110,12100,5800,3100,8900,14700,1234567
110,32,17200,7800,11400,19200,27000,1234567
32,117,35900,8500,28100,36600,45100,1234567
117,120,43100,8500,34600,43100,51600,outlier
120,116,17700,8400,9200,17600,26000,1234567
116,101,12900,9400,4500,13900,23300,1234567
112,101,8000,1000,18900,19900,20900,1234567
101,115,24400,1800,22100,23900,25700,1234567
115,111,21700,2200,19900,22100,24300,1234567
111,108,20200,1700,18000,19700,21400,1234567
108,117,35300,2200,33600,35800,38000,outlier
117,99,38200,2100,36000,38100,40200,outlier
99,105,14900,2200,12800,15000,17200,1234567
100,101,50200,3000,46500,49500,52500,outlier
32,112,36500,2600,33000,35600,38200,1234567
112,101,8000,9600,18900,8600,18200,1234567
101,99,25200,8500,15600,24100,32600,1234567
99,32,11900,7900,3400,11300,19200,1234567
32,106,49500,8400,41600,50000,58400,outlier
106,117,17300,8500,8900,17400,25900,1234567
117,97,11500,14200,3000,17200,31400,1234567
97,97,19000,9000,11700,20700,29700,1234567
97,97,21700,10600,12700,23300,33900,1234567
108,111,23374,7141,14346,21488,28629,1234567
111,115,14490,12588,7349,19937,32525,1234567
115,32,14095,8988,1507,10495,19483,1234567
111,97,28400,11900,20600,32500,44400,1234567
120,97,5800,2100,18300,20400,22500,1234567
120,97,5800,11200,18300,9100,20300,1234567
99,97,7500,400,11700,12100,12500,1234567
99,97,7500,10600,11700,10200,20800,1234567
97,32,25200,7300,14600,21900,29200,1234567
32,98,500,4200,17400,21600,25800,1234567
32,98,500,5300,17400,1100,6400,1234567
98,32,38600,5200,29200,34400,39600,1234567
32,101,36300,16400,31100,47500,63900,outlier
101,104,33900,7700,17500,25200,32900,1234567
104,32,21100,7800,13400,21200,29000,1234567
32,118,21400,7300,13600,20900,28200,1234567
118,105,22600,8500,15300,23800,32300,1234567
105,118,23600,7500,15100,22600,30100,1234567
118,105,20200,10000,12700,22700,32700,1234567
100,111,10200,500,17900,18400,18900,1234567
100,111,10200,9500,17900,9000,18500,1234567
111,32,27100,8900,17600,26500,35400,1234567
32,101,15800,11100,6900,18000,29100,1234567
101,110,18200,8400,7100,15500,23900,1234567
110,32,22600,6400,14200,20600,27000,1234567
109,111,23500,9200,15600,24800,34000,1234567
111,110,22900,7800,13700,21500,29300,1234567
110,116,23600,7900,15800,23700,31600,1234567
116,101,15600,11200,7700,18900,30100,1234567
101,109,25200,10600,14000,24600,35200,1234567
112,114,26600,1900,24000,25900,27800,1234567
114,111,8300,2700,6400,9100,11800,1234567
111,98,33800,2000,31100,33100,35100,1234567
98,108,29600,2600,27600,30200,32800,1234567
108,101,19800,2000,17200,19200,21200,1234567
101,109,20800,2100,18800,20900,23000,1234567
109,97,17400,1900,15300,17200,19100,1234567
97,115,25400,2000,23500,25500,27500,1234567
109,111,18900,8500,8300,16800,25300,1234567
111,114,14700,6900,6200,13100,20000,1234567
114,101,18700,9300,11800,21100,30400,1234567
101,108,9900,9000,600,9600,18600,1234567
108,111,18000,7900,9000,16900,24800,1234567
111,115,16700,9000,8800,17800,26800,1234567
115,32,10700,7900,1700,9600,17500,1234567
32,110,28800,7900,20900,28800,36700,1234567
110,117,19600,8000,11700,19700,27700,1234567
