@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1170906', 'outlier'}

@DATA
32,32,48790,5300,39470,44770,50070,outlier
32,32,15200,5330,9900,15230,20560,1170906
32,32,13600,6130,8270,14400,20530,1170906
32,77,16160,11750,31460,43210,54960,outlier
32,77,16160,12610,31460,860,13470,outlier
77,114,26400,9350,13790,23140,32490,1170906
109,44,971,1192,4823,6016,7208,1170906
109,44,971,2205,4823,1012,3217,1170906
109,44,971,3210,4823,1005,4215,1170906
109,46,948,1183,2824,4007,5190,1170906
109,46,948,9767,2824,8584,18351,1170906
46,44,10606,2657,839,3495,6152,1170906
44,104,3882,1702,1226,2928,4630,1170906
104,98,5132,1139,3430,4569,5708,1170906
104,98,5132,2196,3430,1057,3253,1170906
99,120,1473,856,4143,5000,5856,1170906
32,105,44131,11266,34794,46060,57326,outlier
105,32,19946,9881,8680,18561,28442,1170906
32,110,37110,9856,27230,37086,46942,outlier
110,101,51505,13893,41649,55542,69435,outlier
101,101,49613,13592,35720,49312,62904,outlier
101,100,26117,12132,12525,24657,36789,1170906
110,101,29088,19098,19750,38849,57947,1170906
118,60,934,1179,4186,5365,6544,1170906
118,60,934,2176,4186,997,3173,1170906
118,60,934,14286,4186,12110,26396,1170906
60,122,15111,1386,825,2211,3597,1170906
60,122,15111,2204,825,818,3022,1170906
60,122,15111,3178,825,975,4153,1170906
99,110,1023,1169,6224,7394,8563,1170906
99,110,1023,2188,6224,1019,3207,1170906
110,118,3000,2690,812,3501,6191,1170906
110,118,3000,3685,812,995,4680,1170906
32,32,18265,10403,11116,21519,31922,1170906
32,32,17425,10089,7022,17111,27200,1170906
115,101,15909,7070,7759,14829,21899,1170906
101,32,12809,14304,5739,20043,34347,1170906
32,100,18483,9485,4179,13664,23149,1170906
100,105,11023,10189,1537,11726,21915,1170906
105,115,13385,7835,3196,11031,18866,1170906
115,116,13333,5501,5497,10998,16499,1170906
116,114,14167,7804,8667,16471,24275,1170906
97,32,11988,8026,783,8809,16835,1170906
32,109,16104,7111,8078,15190,22301,1170906
109,105,16002,5480,8891,14371,19851,1170906
105,32,12004,7885,6524,14408,22293,1170906
32,112,19201,6304,11317,17620,23924,1170906
112,111,31975,5502,25671,31173,36675,outlier
111,114,16014,7944,10513,18456,26400,1170906
114,116,23298,6184,15354,21538,27722,1170906
116,97,12711,9263,6527,15790,25053,1170906
97,102,24817,10266,15554,25820,36086,1170906
