@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC
@ATTRIBUTE P1R2  NUMERIC

@ATTRIBUTE class {'1120644', 'outlier'}

@DATA
115,116,20000,8500,9600,18100,26600,1120644
111,121,7800,1700,9800,11500,13200,1120644
111,121,7800,7500,9800,5800,13300,1120644
121,32,12000,11200,4500,15700,26900,1120644
32,32,14400,6700,6000,12700,19400,1120644
121,32,9510,13250,26840,12580,25830,1120644
32,97,26910,13110,13660,26770,39880,1120644
97,121,53790,8970,40680,49650,58620,outlier
121,117,16520,9630,7550,17180,26810,1120644
117,100,32600,7190,22970,30160,37350,1120644
100,97,12600,13760,5410,19170,32930,1120644
97,110,30970,9190,17210,26400,35590,1120644
110,100,17990,14500,8800,23300,37800,1120644
111,32,9050,1960,11390,13350,15310,1120644
111,32,9050,12900,11390,10940,23840,1120644
32,32,11300,6300,4600,10900,17200,1120644
97,32,7300,2700,25500,28200,30900,1120644
97,32,7300,9800,25500,7100,16900,1120644
112,111,8700,5400,24100,29500,34900,1120644
112,111,8700,10800,24100,5400,16200,1120644
111,114,12900,8200,2100,10300,18500,1120644
114,32,8400,11000,200,11200,22200,1120644
32,101,15600,17600,4600,22200,39800,1120644
101,109,20100,9500,2500,12000,21500,1120644
109,112,23300,9500,13800,23300,32800,1120644
97,32,10030,3600,13250,16850,20450,1120644
97,32,10030,15000,13250,11400,26400,1120644
105,32,8790,130,25990,26120,26250,1120644
105,32,8790,4640,25990,4510,9150,1120644
105,32,8790,13100,25990,8460,21560,1120644
32,97,23240,14110,10140,24250,38360,1120644
109,105,14530,3310,16220,19530,22840,1120644
109,105,14530,11190,16220,7880,19070,1120644
105,103,37080,11850,25890,37740,49590,1120644
111,32,13140,980,19980,20960,21940,1120644
114,32,8276,1040,14138,15178,16218,1120644
114,32,8276,8271,14138,7231,15502,1120644
112,97,7365,1393,20604,21998,23391,1120644
112,97,7365,10955,20604,9561,20516,1120644
97,114,15441,10480,4487,14966,25446,1120644
114,112,26731,6488,20072,26560,33048,1120644
112,105,19586,8749,13098,21846,30595,1120644
105,114,23733,2611,14984,17595,20206,1120644
114,111,9003,6240,6392,12632,18872,1120644
112,101,18900,11700,9400,21100,32800,1120644
101,122,39000,12100,27300,39400,51500,outlier
122,97,21900,10400,9800,20200,30600,1120644
97,114,11900,9100,1500,10600,19700,1120644
114,32,10200,11500,1100,12600,24100,1120644
32,108,23400,11300,11900,23200,34500,1120644
97,32,10200,700,15700,16400,17100,1120644
97,32,10200,9700,15700,9000,18700,1120644
32,99,20600,13700,10900,24600,38300,1120644
108,97,8300,1500,10200,11700,13200,1120644
111,32,13140,16440,19980,15460,31900,1120644
32,65,21300,4600,28720,33320,37920,1120644
32,65,21300,12180,28720,7580,19760,1120644
65,110,23150,8990,10970,19960,28950,1120644
110,106,22600,10160,13610,23770,33930,1120644
106,97,15450,11520,5290,16810,28330,1120644
110,32,7780,3580,9960,13540,17120,1120644
110,32,7780,12560,9960,8980,21540,1120644
32,97,19080,10920,6520,17440,28360,1120644
97,32,13300,13130,2380,15510,28640,1120644
97,115,8300,2600,6800,9400,12000,1120644
115,101,7700,3900,5100,9000,12900,1120644
115,101,7700,11000,5100,7100,18100,1120644
101,32,12200,10500,1200,11700,22200,1120644
100,101,6400,4000,11000,15000,19000,1120644
101,32,7000,3300,3000,6300,9600,1120644
101,32,7000,9900,3000,6600,16500,1120644
99,111,13500,12600,3700,16300,28900,1120644
111,110,31100,8900,18500,27400,36300,1120644
32,102,31182,9159,21715,30874,40033,1120644
108,101,9643,3580,11682,15262,18842,1120644
108,101,9643,13107,11682,9527,22634,1120644
101,99,27912,9791,14805,24596,34387,1120644
99,99,16643,10419,6852,17271,27690,1120644
99,105,22945,6998,12526,19523,26521,1120644
105,111,16254,5784,9256,15040,20824,1120644
111,111,46647,6516,40862,47378,53894,outlier
111,111,13317,7781,6801,14583,22364,1120644
32,112,26040,8200,12910,21110,29310,1120644
112,114,22780,11070,14580,25650,36720,1120644
114,111,15590,8840,4520,13360,22200,1120644
111,98,29600,11500,20760,32260,43760,1120644
98,97,13570,13470,2070,15540,29010,1120644
97,114,18120,9740,4650,14390,24130,1120644
114,32,12450,12490,2710,15200,27690,1120644
32,115,23350,13460,10860,24320,37780,1120644
117,32,11240,960,15690,16650,17610,1120644
117,32,11240,11610,15690,10650,22260,1120644
115,117,9800,3500,18200,21700,25200,1120644
115,117,9800,7600,18200,4100,11700,1120644
117,108,16600,11600,9000,20600,32200,1120644
108,116,24700,12000,13100,25100,37100,1120644
116,111,12200,12600,200,12800,25400,1120644
114,105,9300,3100,10500,13600,16700,1120644
114,105,9300,10400,10500,7300,17700,1120644
105,97,12900,11900,2500,14400,26300,1120644
97,44,13700,11200,1800,13000,24200,1120644
44,32,23500,9400,12300,21700,31100,1120644
32,115,20370,14490,8760,23250,37740,1120644
115,105,16900,8600,2410,11010,19610,1120644
105,115,20980,14170,12380,26550,40720,1120644
115,116,22060,8390,7890,16280,24670,1120644
116,101,17850,12230,9460,21690,33920,1120644
101,109,20720,12830,8490,21320,34150,1120644
109,97,15590,12610,2760,15370,27980,1120644
97,32,19770,12780,7160,19940,32720,1120644
100,101,7720,6890,11530,18420,25310,1120644
100,101,7720,17560,11530,10670,28230,1120644
101,32,18740,13840,1180,15020,28860,1120644
32,114,21590,9560,7750,17310,26870,1120644
114,101,19980,8980,10420,19400,28380,1120644
101,99,24050,14070,15070,29140,43210,1120644
99,111,14420,7610,350,7960,15570,1120644
111,110,22190,10210,14580,24790,35000,1120644
110,111,22620,8040,12410,20450,28490,1120644
111,99,34500,13470,26460,39930,53400,outlier
99,105,15290,7880,1820,9700,17580,1120644
109,105,11160,7580,30070,37650,45230,1120644
111,121,9300,1600,10600,12200,13800,1120644
111,121,9300,7400,10600,5800,13200,1120644
121,32,9700,11000,2300,13300,24300,1120644
32,32,54200,7300,43200,50500,57800,outlier
32,32,15000,6700,7700,14400,21100,1120644
32,32,12500,7500,5800,13300,20800,1120644
97,109,9700,2900,16500,19400,22300,1120644
109,105,11160,15280,30070,7700,22980,1120644
105,101,16460,14130,1180,15310,29440,1120644
101,110,21760,7800,7630,15430,23230,1120644
110,116,9790,9410,1990,11400,20810,1120644
116,111,13810,12500,4400,16900,29400,1120644
111,32,12850,13030,350,13380,26410,1120644
100,101,10380,6720,33010,39730,46450,outlier
100,101,10380,16590,33010,9870,26460,outlier
101,32,38750,12630,22160,34790,47420,outlier
109,111,11900,3600,9000,12600,16200,1120644
109,111,11900,9800,9000,6200,16000,1120644
115,32,6200,3800,8700,12500,16300,1120644
115,32,6200,10100,8700,6300,16400,1120644
